wavelength_nm,n,k,region,quality_flag
532,1.515,0.0,aligned_derived,medium_confidence
533,1.515,0.0,aligned_derived,medium_confidence
534,1.515,0.0,aligned_derived,medium_confidence
535,1.515,0.0,aligned_derived,medium_confidence
536,1.515,0.0,aligned_derived,medium_confidence
537,1.515,0.0,aligned_derived,medium_confidence
538,1.515,0.0,aligned_derived,medium_confidence
539,1.515,0.0,aligned_derived,medium_confidence
540,1.515,0.0,aligned_derived,medium_confidence
541,1.515,0.0,aligned_derived,medium_confidence
542,1.515,0.0,aligned_derived,medium_confidence
543,1.515,0.0,aligned_derived,medium_confidence
544,1.515,0.0,aligned_derived,medium_confidence
545,1.515,0.0,aligned_derived,medium_confidence
546,1.515,0.0,aligned_derived,medium_confidence
547,1.515,0.0,aligned_derived,medium_confidence
548,1.515,0.0,aligned_derived,medium_confidence
549,1.515,0.0,aligned_derived,medium_confidence
550,1.515,0.0,aligned_derived,medium_confidence
551,1.515,0.0,aligned_derived,medium_confidence
552,1.515,0.0,aligned_derived,medium_confidence
553,1.515,0.0,aligned_derived,medium_confidence
554,1.515,0.0,aligned_derived,medium_confidence
555,1.515,0.0,aligned_derived,medium_confidence
556,1.515,0.0,aligned_derived,medium_confidence
557,1.515,0.0,aligned_derived,medium_confidence
558,1.515,0.0,aligned_derived,medium_confidence
559,1.515,0.0,aligned_derived,medium_confidence
560,1.515,0.0,aligned_derived,medium_confidence
561,1.515,0.0,aligned_derived,medium_confidence
562,1.515,0.0,aligned_derived,medium_confidence
563,1.515,0.0,aligned_derived,medium_confidence
564,1.515,0.0,aligned_derived,medium_confidence
565,1.515,0.0,aligned_derived,medium_confidence
566,1.515,0.0,aligned_derived,medium_confidence
567,1.515,0.0,aligned_derived,medium_confidence
568,1.515,0.0,aligned_derived,medium_confidence
569,1.515,0.0,aligned_derived,medium_confidence
570,1.515,0.0,aligned_derived,medium_confidence
571,1.515,0.0,aligned_derived,medium_confidence
572,1.515,0.0,aligned_derived,medium_confidence
573,1.515,0.0,aligned_derived,medium_confidence
574,1.515,0.0,aligned_derived,medium_confidence
575,1.515,0.0,aligned_derived,medium_confidence
576,1.515,0.0,aligned_derived,medium_confidence
577,1.515,0.0,aligned_derived,medium_confidence
578,1.515,0.0,aligned_derived,medium_confidence
579,1.515,0.0,aligned_derived,medium_confidence
580,1.515,0.0,aligned_derived,medium_confidence
581,1.515,0.0,aligned_derived,medium_confidence
582,1.515,0.0,aligned_derived,medium_confidence
583,1.515,0.0,aligned_derived,medium_confidence
584,1.515,0.0,aligned_derived,medium_confidence
