Wavelength,R_smooth
850.2128906482149,0.09100854806672778
850.6312442732617,0.09236830265962105
851.0495858151403,0.09364402770302771
851.4679152686883,0.09483902241484361
851.8862326287436,0.0959565860129646
852.3045378901445,0.0970000177152865
852.722831047731,0.09797261673970516
853.1411120963425,0.09887768230411641
853.5593810308197,0.09971851362641607
853.9776378460035,0.1004984099245
854.3958825367362,0.10122067041626404
854.8141150978596,0.10188859431960401
855.2323355242166,0.10250548085241576
855.6505438106507,0.10307462923259512
856.0687399520069,0.10359933867803793
856.486923943129,0.10408290840664003
856.9050957788621,0.10452863763629724
857.3232554540532,0.10493982558490543
857.7414029635479,0.10531977147036041
858.1595383021939,0.10567177451055802
858.5776614648387,0.1059991339233941
858.9957724463308,0.10630514892676449
859.4138712415192,0.10659311873856503
859.8319578452531,0.10686634257669156
860.2500322523836,0.10712811965903989
860.6680944577603,0.10738174920349552
861.0861444562352,0.10780218250741942
861.5041822426604,0.10762801756145421
861.922207811888,0.10788980116950822
862.3402211587721,0.10819348808075144
862.7582222781655,0.10880944606785652
863.1762111649239,0.10911194478484555
863.594187813901,0.1095681980692389
864.0121522199531,0.1099473189233248
864.4301043779367,0.11042717964762626
864.8480442827084,0.1108257405167593
865.2659719291254,0.11128937855351177
865.6838873120463,0.11179467885199339
866.1017904263293,0.11226197712985984
866.5196812668339,0.11276619975773955
866.9375598284208,0.11327450514040865
867.3554261059496,0.11379140005133564
867.7732800942816,0.11432944403913815
868.1911217882789,0.11489990981227212
868.6089511828035,0.11545363654621289
869.0267682727188,0.11602814047709827
869.4445730528876,0.11661623466822274
869.8623655181754,0.11717838777584176
870.2801456634464,0.1177778214245943
870.6979134835656,0.11836538555213666
871.1156689733992,0.11898776653319121
871.5334121278146,0.11959981425994015
871.9511429416784,0.12024899473932824
872.3688614098588,0.12090513016682988
872.7865675272242,0.12157551852065296
873.2042612886438,0.12226055407930149
873.6219426889875,0.12296461477963874
874.039611723126,0.12366688320220244
874.4572683859288,0.12435442121453516
874.8749126722695,0.12504043725118122
