Wavelength_nm,ensemble_id,n_PVK,k_PVK,eps1,eps2
730.0,nominal,2.5522337366974153,0.2077854821546036,6.47072224014223,1.060634235101836
731.0,nominal,2.550638056933069,0.2076418770792716,6.462639348358299,1.059238547782817
732.0,nominal,2.548615494949204,0.2077167268151517,6.452294702496377,1.0587801370424528
733.0,nominal,2.5467938540699437,0.2075543660384924,6.4430801202667976,1.0571963676244318
734.0,nominal,2.546535417162213,0.207424848113331,6.441817563246689,1.0564294442401803
735.0,nominal,2.546978225341865,0.2081810464549184,6.4437587322625305,1.0604651844991209
736.0,nominal,2.545316753884468,0.2097164938028819,6.434656369831991,1.067589810484767
737.0,nominal,2.5414747175393417,0.2108032915118818,6.414655712179433,1.0715024715030466
738.0,nominal,2.5387739014449635,0.2108705763769481,6.400906522676535,1.0707054317769054
739.0,nominal,2.538704000341989,0.2105025279050071,6.400706687098021,1.0688072193490854
740.0,nominal,2.5393700466119404,0.2102937014298304,6.40417679276887,1.0680270528041318
741.0,nominal,2.537797170877461,0.2105052354704191,6.396102026353188,1.0684391820634467
742.0,nominal,2.53658647731699,0.209954606089989,6.3901900202890145,1.065136029316563
743.0,nominal,2.5357299803186972,0.2086475774932249,6.386392721493269,1.0581478351408782
744.0,nominal,2.5352204083896717,0.2065918400386739,6.384662330744928,1.0475116981456412
745.0,nominal,2.5350507600070427,0.2037978443178256,6.384948794463692,1.0332757602514016
746.0,nominal,2.535213898060078,0.2002795294396,6.387197619004428,1.015502893064413
747.0,nominal,2.535702182883244,0.1960549455202435,6.3913480186159015,0.9942739066414737
748.0,nominal,2.536507143880223,0.1911467703786335,6.397331403129225,0.969690297190073
749.0,nominal,2.537619189738907,0.1855827204369906,6.405070206006353,0.9418765453297163
750.0,nominal,2.5390273572373445,0.1793958558269988,6.4144770477117525,0.9109819714395129
751.0,nominal,2.5407190986406576,0.1726247797013343,6.425454223630462,0.8771821493716323
752.0,nominal,2.542680102519445,0.1653137317506023,6.437893473842986,0.840679872790987
753.0,nominal,2.544894149549015,0.1575125759256809,6.451676020834062,0.8017056659073208
