ensemble_id,d_PVK_nm,rear_max_abs_deltaR_total,rear_max_abs_deltaR_stack,rear_mean_abs_deltaR_total,rear_mean_abs_deltaR_stack,rear_peak_wavelength_deltaR_total,transition_max_abs_deltaR_total,transition_max_abs_deltaR_stack,R_total_780nm
nominal,600.0,0.3036103212467536,0.3117848260342513,0.17016685884079102,0.1752429274914471,1068.0,0.21296776778513726,0.21984153573438825,0.5577874314511605
nominal,700.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.7130745311884237
nominal,800.0,0.2911839714365684,0.2991318597251996,0.16057802183203915,0.1653972622027038,1049.0,0.21755479321233817,0.22496055345338462,0.5490638959697296
more_absorptive,600.0,0.3036103212467536,0.3117848260342513,0.17192691796718124,0.17714509978064566,1068.0,0.21189164163526142,0.21875351656558317,0.38507128320136697
more_absorptive,700.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.4309230487060184
more_absorptive,800.0,0.2911839714365684,0.2991318597251996,0.15923511518328612,0.16402498350429878,1049.0,0.20580372106054612,0.2185033458768462,0.22543078398574734
less_absorptive,600.0,0.3036103212467536,0.3117848260342513,0.17144152385440095,0.17658190773666857,1068.0,0.21260429378815415,0.2194771543066596,0.5151539799249495
less_absorptive,700.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.6148956784793822
less_absorptive,800.0,0.2911839714365684,0.2991318597251996,0.1598220868268265,0.16462151766305633,1049.0,0.21222274608174269,0.2249230086088032,0.41459132277751953
