wavelength_nm,n,k,region,quality_flag
400,0.05397,2.139149,aligned_derived,medium_confidence
401,0.053525254204035456,2.150813917730173,aligned_derived,medium_confidence
402,0.05311628286995444,2.1624387140718704,aligned_derived,medium_confidence
403,0.05274185772421437,2.174024074734923,aligned_derived,medium_confidence
404,0.0524007504932726,2.1855706854291603,aligned_derived,medium_confidence
405,0.05209173290358653,2.197079231864415,aligned_derived,medium_confidence
406,0.051813576681613537,2.208550399750516,aligned_derived,medium_confidence
407,0.051565053553810976,2.2199848747972935,aligned_derived,medium_confidence
408,0.05134493524663631,2.231383342714581,aligned_derived,medium_confidence
409,0.051151993486546844,2.2427464892122053,aligned_derived,medium_confidence
410,0.050985,2.2540750000000003,aligned_derived,medium_confidence
411,0.05084272651345316,2.2653695607877946,aligned_derived,medium_confidence
412,0.05072394475336372,2.2766308572854204,aligned_derived,medium_confidence
413,0.05062742644618902,2.287859575202707,aligned_derived,medium_confidence
414,0.050551943318386486,2.299056400249485,aligned_derived,medium_confidence
415,0.05049626709641349,2.310222018135586,aligned_derived,medium_confidence
416,0.05045916950672741,2.32135711457084,aligned_derived,medium_confidence
417,0.05043942227578564,2.332462375265078,aligned_derived,medium_confidence
418,0.05043579713004557,2.3435384859281303,aligned_derived,medium_confidence
419,0.05044706579596455,2.3545861322698274,aligned_derived,medium_confidence
420,0.05047200000000001,2.365606,aligned_derived,medium_confidence
421,0.05050933174215192,2.376597837118649,aligned_derived,medium_confidence
422,0.05055763411659075,2.38755764078645,aligned_derived,medium_confidence
423,0.05061544049102959,2.398480470454252,aligned_derived,medium_confidence
424,0.0506812842331815,2.409361385572901,aligned_derived,medium_confidence
425,0.05075369871075957,2.4201954455932433,aligned_derived,medium_confidence
426,0.05083121729147688,2.4309777099661267,aligned_derived,medium_confidence
427,0.05091237334304649,2.4417032381423964,aligned_derived,medium_confidence
428,0.0509957002331815,2.452367089572901,aligned_derived,medium_confidence
429,0.05107973132959497,2.462964323708486,aligned_derived,medium_confidence
430,0.051163,2.47349,aligned_derived,medium_confidence
431,0.051244225517939196,2.4839409047376106,aligned_derived,medium_confidence
432,0.05132287078027332,2.494320731568779,aligned_derived,medium_confidence
433,0.05139858458969269,2.5046349009802866,aligned_derived,medium_confidence
434,0.05147101574888758,2.5148888334589135,aligned_derived,medium_confidence
435,0.05153981306054829,2.525087949491443,aligned_derived,medium_confidence
436,0.05160462532736515,2.535237669564658,aligned_derived,medium_confidence
437,0.05166510135202846,2.5453434141653393,aligned_derived,medium_confidence
438,0.05172088993722849,2.555410603780268,aligned_derived,medium_confidence
439,0.05177163988565558,2.5654446588962276,aligned_derived,medium_confidence
440,0.051817,2.575451,aligned_derived,medium_confidence
441,0.0518567221860913,2.585434547930907,aligned_derived,medium_confidence
442,0.051890970762315976,2.595398224938434,aligned_derived,medium_confidence
443,0.05192001315019973,2.605344453624606,aligned_derived,medium_confidence
444,0.05194411677126826,2.6152756565914483,aligned_derived,medium_confidence
445,0.05196354904704729,2.625194256440986,aligned_derived,medium_confidence
446,0.051978577399062545,2.635102675775245,aligned_derived,medium_confidence
447,0.05198946924883974,2.6450033371962505,aligned_derived,medium_confidence
448,0.051996492017904544,2.6548986633060276,aligned_derived,medium_confidence
449,0.05199991312778274,2.664791076706603,aligned_derived,medium_confidence
450,0.05199999999999999,2.674683,aligned_derived,medium_confidence
451,0.05199718873769557,2.6845752055387613,aligned_derived,medium_confidence
452,0.05199259017046275,2.6944618646774865,aligned_derived,medium_confidence
453,0.05198748380950844,2.7043354985212935,aligned_derived,medium_confidence
454,0.05198314916603942,2.7141886281752976,aligned_derived,medium_confidence
455,0.051980865751262546,2.7240137747446154,aligned_derived,medium_confidence
456,0.05198191307638469,2.733803459334365,aligned_derived,medium_confidence
457,0.051987570652612655,2.743550203049662,aligned_derived,medium_confidence
458,0.051999117991153296,2.7532465269956217,aligned_derived,medium_confidence
459,0.05201783460321347,2.7628849522773624,aligned_derived,medium_confidence
460,0.05204500000000001,2.772458,aligned_derived,medium_confidence
461,0.05208144086312643,2.7819609219140493,aligned_derived,medium_confidence
462,0.05212617255583297,2.7913998923516212,aligned_derived,medium_confidence
463,0.05217775761176657,2.800783816290224,aligned_derived,medium_confidence
464,0.05223475856457412,2.8101215987073647,aligned_derived,medium_confidence
465,0.052295737947902536,2.8194221445805527,aligned_derived,medium_confidence
466,0.05235925829539877,2.8286943588872964,aligned_derived,medium_confidence
467,0.05242388214070972,2.8379471466051056,aligned_derived,medium_confidence
468,0.052488172017482265,2.8471894127114856,aligned_derived,medium_confidence
469,0.0525506904593634,2.8564300621839482,aligned_derived,medium_confidence
470,0.05261,2.865678,aligned_derived,medium_confidence
471,0.05266478980979873,2.8749401668050405,aligned_derived,medium_confidence
472,0.05271425560620535,2.8842156459160284,aligned_derived,medium_confidence
473,0.05275771974342535,2.893501556317815,aligned_derived,medium_confidence
474,0.052794504575664175,2.9027950169952477,aligned_derived,medium_confidence
475,0.05282393245712731,2.912093146933176,aligned_derived,medium_confidence
476,0.05284532574202029,2.921393065116451,aligned_derived,medium_confidence
477,0.052858006784548564,2.930691890529921,aligned_derived,medium_confidence
478,0.05286129793891759,2.939986742158436,aligned_derived,medium_confidence
479,0.05285452155933293,2.949274738986846,aligned_derived,medium_confidence
480,0.052837,2.958553,aligned_derived,medium_confidence
481,0.05280844489767861,2.9678191358657893,aligned_derived,medium_confidence
482,0.052770125019345575,2.9770727239842647,aligned_derived,medium_confidence
483,0.05272369841453209,2.9863138334385217,aligned_derived,medium_confidence
484,0.052670823132769246,2.995542533311651,aligned_derived,medium_confidence
485,0.05261315722358821,3.004758892686748,aligned_derived,medium_confidence
486,0.05255235873652013,3.013962980646905,aligned_derived,medium_confidence
487,0.05249008572109612,3.023154866275215,aligned_derived,medium_confidence
488,0.05242799622684734,3.032334618654772,aligned_derived,medium_confidence
489,0.052367748303304915,3.041502306868669,aligned_derived,medium_confidence
490,0.052311,3.050658,aligned_derived,medium_confidence
491,0.05225910859948687,3.0598014427318048,aligned_derived,medium_confidence
492,0.05221222831641233,3.068931082146913,aligned_derived,medium_confidence
493,0.05217021259844636,3.0780450409281035,aligned_derived,medium_confidence
494,0.05213291489325888,3.0871414417581517,aligned_derived,medium_confidence
495,0.052100188648519855,3.096218407319836,aligned_derived,medium_confidence
496,0.052071887311899254,3.1052740602959332,aligned_derived,medium_confidence
497,0.052047864331067006,3.1143065233692213,aligned_derived,medium_confidence
498,0.052027973153693084,3.1233139192224764,aligned_derived,medium_confidence
499,0.05201206722744743,3.1322943705384776,aligned_derived,medium_confidence
500,0.052000000000000005,3.1412460000000006,aligned_derived,medium_confidence
501,0.051991566704373944,3.1501678182069934,aligned_derived,medium_confidence
502,0.0519863297150051,3.1590623874280834,aligned_derived,medium_confidence
503,0.051983793191682545,3.1679331578490695,aligned_derived,medium_confidence
504,0.05198346129419529,3.1767835796557455,aligned_derived,medium_confidence
505,0.051984838182332405,3.1856171030339118,aligned_derived,medium_confidence
506,0.05198742801588293,3.194437178169366,aligned_derived,medium_confidence
507,0.05199073495463591,3.2032472552479043,aligned_derived,medium_confidence
508,0.05199426315838036,3.212050784455324,aligned_derived,medium_confidence
509,0.051997516786905396,3.2208512159774236,aligned_derived,medium_confidence
