Wavelength_nm,n_Glass,k_Glass,n_ITO,k_ITO,n_NiOx,k_NiOx,n_PVK,k_PVK,n_C60,k_C60,n_SnOx,k_SnOx,n_Ag,k_Ag
400,1.515,0.0,2.258160748041458,0.0944932158948407,2.1620428852161067,0.23668430889044995,1.9774784447891443,1.13750820540264,2.2374568569690645,0.27662499090171866,1.8912320506702684,0.051902738236396115,0.05397,2.139149
401,1.515,0.0,2.256409827671544,0.09331229451095631,2.16070782225065,0.23598692794449957,1.986141057057759,1.134795770167112,2.232130638339425,0.2756368746033187,1.8911204014129084,0.051729797332309736,0.053525254204035456,2.150813917730173
402,1.515,0.0,2.2546673070990453,0.09215612730460129,2.1593796797738807,0.23530631525353904,1.9947391034055413,1.132083334931584,2.2269293629861173,0.2748634849188317,1.891009616252908,0.05155808813430679,0.05311628286995444,2.1624387140718704
403,1.515,0.0,2.252933264215697,0.09102418233425211,2.158058591365711,0.2346422604385907,2.00327322388954,1.1293708996960559,2.221856794588125,0.27429869743949015,1.8908996863075664,0.05138759715510772,0.05274185772421437,2.174024074734923
404,1.515,0.0,2.251207770103596,0.08991593994627615,2.1567446852220034,0.23399455321284085,2.011744050655121,1.126658464460528,2.2169167856104446,0.2739365945896115,1.8907906028070123,0.05121831110476618,0.0524007504932726,2.1855706854291603
405,1.515,0.0,2.2494908893427055,0.0888308925159498,2.1554380842535092,0.23336298349237966,2.0201522080530356,1.1239460292249999,2.2121133019891195,0.2737714202036127,1.8906823570927895,0.051050216887671696,0.05209173290358653,2.197079231864415
406,1.515,0.0,2.2477826803513716,0.08776854410532764,2.154138906223355,0.23274734149989318,2.028498312754463,1.1212335939894718,2.2074504340507803,0.2737975312042849,1.8905749406157408,0.05088330159815263,0.051813576681613537,2.208550399750516
407,1.515,0.0,2.2460831956835943,0.0867284101791084,2.1528472638607474,0.2321474178633818,2.0367829738640926,1.1185211587539439,2.20293240431383,0.2740093509235505,1.8904683449343567,0.05071755251701654,0.051565053553810976,2.2199848747972935
408,1.515,0.0,2.244392482288377,0.0857100173773387,2.1515632649512355,0.23156300371294936,2.0450067930312517,1.1158087235184158,2.198563578468561,0.27440131973034515,1.890362561713589,0.05055295710895633,0.05134493524663631,2.231383342714581
409,1.515,0.0,2.242710581789269,0.08471290323000476,2.15028701245404,0.23099389077069693,2.053170364559145,1.1130962882828876,2.194348466062824,0.2749678550106737,1.8902575827231793,0.050389503019029724,0.051151993486546844,2.2427464892122053
