sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
899.934335360487,1.87370872733948,899.934335360487,0.0202077677538304,,
899.154155892074,1.87371600227759,899.154155892074,0.0202264207870491,,
898.373976423666,1.8737232963733,898.373976423666,0.0202451092220149,,
897.593796955261,1.8737306096941,897.593796955261,0.0202638331618748,,
896.813617486854,1.87373794230775,896.813617486854,0.0202825927101777,,
896.033438018447,1.87374529428233,896.033438018447,0.0203013879708924,,
895.253258550037,1.87375266568622,895.253258550037,0.0203202190483989,,
894.473079081627,1.8737600565881,894.473079081627,0.020339086047473,,
893.692899613219,1.87376746705694,893.692899613219,0.0203579890733324,,
892.912720144812,1.87377489716203,892.912720144812,0.0203769282315998,,
892.132540676403,1.87378234697298,892.132540676403,0.0203959036283154,,
891.352361207997,1.87378981655969,891.352361207997,0.0204149153699496,,
890.572181739586,1.87379730599237,890.572181739586,0.0204339635633934,,
889.792002271177,1.87380481534155,889.792002271177,0.0204530483159713,,
889.011822802769,1.87381234467808,889.011822802769,0.020472169735426,,
888.231643334359,1.87381989407311,888.231643334359,0.020491327929942,,
887.451463865952,1.87382746359813,887.451463865952,0.0205105230081304,,
886.671284397547,1.87383505332493,886.671284397547,0.0205297550790418,,
885.891104929135,1.87384266332562,885.891104929135,0.0205490242521669,,
885.11092546073,1.87385029367265,885.11092546073,0.0205683306374224,,
884.330745992323,1.87385794443878,884.330745992323,0.0205876743451895,,
883.550566523915,1.87386561569709,883.550566523915,0.0206070554862782,,
882.770387055503,1.87387330752102,882.770387055503,0.0206264741719492,,
881.990207587098,1.87388101998431,881.990207587098,0.0206459305139108,,
881.21002811869,1.87388875316103,881.21002811869,0.0206654246243355,,
880.429848650278,1.87389650712561,880.429848650278,0.0206849566158238,,
879.649669181871,1.87390428195278,879.649669181871,0.0207045266014593,,
878.869489713466,1.87391207771764,878.869489713466,0.0207241346947718,,
878.089310245057,1.87391989449562,878.089310245057,0.020743781009739,,
877.309130776649,1.87392773236246,877.309130776649,0.0207634656608353,,
876.528951308238,1.87393559139429,876.528951308238,0.0207831887629688,,
875.748771839831,1.87394347166756,875.748771839831,0.0208029504315358,,
874.968592371423,1.87395137325906,874.968592371423,0.0208227507823842,,
874.188412903015,1.87395929624594,874.188412903015,0.0208425899318522,,
873.408233434608,1.87396724070569,873.408233434608,0.0208624679967476,,
872.628053966197,1.87397520671617,872.628053966197,0.0208823850943539,,
871.847874497787,1.87398319435558,871.847874497787,0.0209023413424367,,
871.067695029379,1.87399120370247,871.067695029379,0.0209223368592339,,
870.287515560971,1.87399923483576,870.287515560971,0.0209423717634934,,
869.507336092566,1.87400728783473,869.507336092566,0.0209624461744318,,
868.727156624158,1.87401536277901,868.727156624158,0.0209825602117507,,
867.946977155752,1.87402345974861,867.946977155752,0.0210027139956638,,
867.166797687339,1.87403157882388,867.166797687339,0.0210229076468661,,
866.38661821893,1.87403972008557,866.38661821893,0.0210431412865557,,
865.606438750527,1.87404788361478,865.606438750527,0.0210634150364285,,
864.826259282119,1.87405606949298,864.826259282119,0.0210837290186902,,
864.046079813707,1.87406427780203,864.046079813707,0.0211040833560402,,
863.265900345303,1.87407250862415,863.265900345303,0.0211244781717042,,
862.485720876894,1.87408076204194,862.485720876894,0.0211449135893974,,
861.705541408484,1.87408903813838,861.705541408484,0.0211653897333673,,
860.925361940076,1.87409733699685,860.925361940076,0.0211859067283731,,
860.145182471669,1.87410565870109,860.145182471669,0.0212064646996856,,
859.365003003261,1.87411400333523,859.365003003261,0.0212270637731088,,
