NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
805.5326197,2.033581972,805.5326197,0.022929788,,
804.7524402,2.033780542,804.7524402,0.022982673,,
803.9722607,2.033979858,803.9722607,0.023035815,,
803.1920813,2.034179926,803.1920813,0.023089217,,
802.4119018,2.034380749,802.4119018,0.023142881,,
801.6317223,2.034582332,801.6317223,0.023196807,,
800.8515429,2.034784677,800.8515429,0.023250998,,
800.0713634,2.03498779,800.0713634,0.023305457,,
799.2911839,2.035191674,799.2911839,0.023360184,,
798.5110045,2.035396334,798.5110045,0.023415182,,
797.730825,2.035601773,797.730825,0.023470453,,
796.9506455,2.035807997,796.9506455,0.023525999,,
796.1704661,2.036015008,796.1704661,0.023581822,,
795.3902866,2.036222811,795.3902866,0.023637924,,
794.6101071,2.036431412,794.6101071,0.023694307,,
793.8299277,2.036640813,793.8299277,0.023750973,,
793.0497482,2.036851019,793.0497482,0.023807924,,
792.2695687,2.037062035,792.2695687,0.023865163,,
791.4893893,2.037273865,791.4893893,0.023922691,,
790.7092098,2.037486513,790.7092098,0.023980511,,
789.9290303,2.037699984,789.9290303,0.024038624,,
789.1488508,2.037914282,789.1488508,0.024097034,,
788.3686714,2.038129413,788.3686714,0.024155742,,
787.5884919,2.038345379,787.5884919,0.02421475,,
786.8083124,2.038562187,786.8083124,0.024274062,,
786.028133,2.03877984,786.028133,0.024333678,,
785.2479535,2.038998344,785.2479535,0.024393602,,
784.467774,2.039217702,784.467774,0.024453836,,
783.6875946,2.03943792,783.6875946,0.024514382,,
782.9074151,2.039659003,782.9074151,0.024575243,,
782.1272356,2.039880954,782.1272356,0.024636421,,
781.3470562,2.04010378,781.3470562,0.024697918,,
780.5668767,2.040327484,780.5668767,0.024759737,,
779.7866972,2.040552073,779.7866972,0.02482188,,
779.0065178,2.04077755,779.0065178,0.02488435,,
778.2263383,2.04100392,778.2263383,0.02494715,,
777.4461588,2.041231189,777.4461588,0.025010282,,
776.6659794,2.041459362,776.6659794,0.025073748,,
775.8857999,2.041688443,775.8857999,0.025137552,,
775.1056204,2.041918439,775.1056204,0.025201695,,
774.3254409,2.042149353,774.3254409,0.025266182,,
773.5452615,2.042381191,773.5452615,0.025331013,,
772.765082,2.042613959,772.765082,0.025396192,,
771.9849025,2.042847661,771.9849025,0.025461722,,
771.2047231,2.043082303,771.2047231,0.025527606,,
770.4245436,2.043317891,770.4245436,0.025593846,,
769.6443641,2.043554429,769.6443641,0.025660445,,
768.8641847,2.043791923,768.8641847,0.025727406,,
768.0840052,2.044030379,768.0840052,0.025794733,,
767.3038257,2.044269801,767.3038257,0.025862427,,
766.5236463,2.044510196,766.5236463,0.025930492,,
765.7434668,2.044751569,765.7434668,0.025998931,,
764.9632873,2.044993926,764.9632873,0.026067747,,
