sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
899.934335360487,2.09675292108795,899.934335360487,0.262201773280861,,
899.154155892074,2.09658154755437,899.154155892074,0.262220108498016,,
898.373976423666,2.09641011415185,898.373976423666,0.262238180859442,,
897.593796955261,2.09623862177726,897.593796955261,0.262255989373485,,
896.813617486854,2.09606707133487,896.813617486854,0.262273533046011,,
896.033438018447,2.0958954637363,896.033438018447,0.262290810880406,,
895.253258550037,2.09572379990066,895.253258550037,0.262307821877575,,
894.473079081627,2.09555208075453,894.473079081627,0.26232456503595,,
893.692899613219,2.09538030723205,893.692899613219,0.26234103935149,,
892.912720144812,2.09520848027496,892.912720144812,0.262357243817684,,
892.132540676403,2.09503660083265,892.132540676403,0.262373177425553,,
891.352361207997,2.09486466986219,891.352361207997,0.262388839163655,,
890.572181739586,2.09469268832843,890.572181739586,0.262404228018088,,
889.792002271177,2.09452065720402,889.792002271177,0.26241934297249,,
889.011822802769,2.09434857746945,889.011822802769,0.26243418300805,,
888.231643334359,2.09417645011313,888.231643334359,0.262448747103501,,
887.451463865952,2.09400427613143,887.451463865952,0.262463034235132,,
886.671284397547,2.09383205652874,886.671284397547,0.262477043376791,,
885.891104929135,2.09365979231752,885.891104929135,0.262490773499882,,
885.11092546073,2.09348748451834,885.11092546073,0.262504223573383,,
884.330745992323,2.09331513415997,884.330745992323,0.262517392563834,,
883.550566523915,2.09314274227939,883.550566523915,0.262530279435352,,
882.770387055503,2.09297030992188,882.770387055503,0.262542883149636,,
881.990207587098,2.09279783814108,881.990207587098,0.262555202665963,,
881.21002811869,2.09262532799899,881.21002811869,0.262567236941203,,
880.429848650278,2.09245278056609,880.429848650278,0.262578984929818,,
879.649669181871,2.09228019692138,879.649669181871,0.262590445583872,,
878.869489713466,2.09210757815242,878.869489713466,0.262601617853029,,
878.089310245057,2.09193492535538,878.089310245057,0.262612500684566,,
877.309130776649,2.09176223963515,877.309130776649,0.262623093023375,,
876.528951308238,2.09158952210533,876.528951308238,0.262633393811971,,
875.748771839831,2.09141677388834,875.748771839831,0.262643401990494,,
874.968592371423,2.09124399611547,874.968592371423,0.262653116496722,,
874.188412903015,2.09107118992689,874.188412903015,0.26266253626607,,
873.408233434608,2.09089835647179,873.408233434608,0.262671660231604,,
872.628053966197,2.09072549690839,872.628053966197,0.262680487324042,,
871.847874497787,2.090552612404,871.847874497787,0.262689016471762,,
871.067695029379,2.0903797041351,871.067695029379,0.262697246600811,,
870.287515560971,2.09020677328738,870.287515560971,0.262705176634915,,
869.507336092566,2.09003382105585,869.507336092566,0.262712805495478,,
868.727156624158,2.08986084864481,868.727156624158,0.262720132101597,,
867.946977155752,2.08968785726803,867.946977155752,0.262727155370072,,
867.166797687339,2.08951484814871,867.166797687339,0.262733874215403,,
866.38661821893,2.08934182251961,866.38661821893,0.26274028754981,,
865.606438750527,2.08916878162307,865.606438750527,0.262746394283236,,
864.826259282119,2.08899572671111,864.826259282119,0.262752193323358,,
864.046079813707,2.08882265904548,864.046079813707,0.262757683575591,,
863.265900345303,2.08864957989772,863.265900345303,0.262762863943105,,
862.485720876894,2.08847649054923,862.485720876894,0.262767733326831,,
861.705541408484,2.08830339229132,861.705541408484,0.262772290625463,,
860.925361940076,2.08813028642533,860.925361940076,0.262776534735484,,
860.145182471669,2.08795717426264,860.145182471669,0.262780464551159,,
859.365003003261,2.08778405712473,859.365003003261,0.26278407896456,,
858.584823534849,2.08761093634333,858.584823534849,0.262787376865564,,
857.804644066442,2.0874378132604,857.804644066442,0.262790357141872,,
857.024464598036,2.08726468922822,857.024464598036,0.262793018679019,,
856.244285129624,2.08709156560951,856.244285129624,0.26279536036038,,
855.464105661217,2.08691844377744,855.464105661217,0.262797381067187,,
854.683926192812,2.08674532511571,854.683926192812,0.262799079678538,,
853.9037467244,2.08657221101865,853.9037467244,0.262800455071414,,
853.123567255993,2.08639910289128,853.123567255993,0.26280150612068,,
852.343387787586,2.08622600214935,852.343387787586,0.262802231699109,,
851.563208319179,2.08605291021946,851.563208319179,0.262802630677389,,
850.783028850772,2.0858798285391,850.783028850772,0.262802701924136,,
850.002849382358,2.08570675855674,850.002849382358,0.262802444305912,,
849.222669913951,2.08553370173188,849.222669913951,0.26280185668723,,
848.442490445547,2.08536065953517,848.442490445547,0.262800937930576,,
847.662310977139,2.08518763344842,847.662310977139,0.262799686896419,,
846.882131508728,2.08501462496475,846.882131508728,0.262798102443224,,
846.101952040322,2.08484163558859,846.101952040322,0.262796183427472,,
845.321772571909,2.08466866683581,845.321772571909,0.26279392870367,,
844.541593103505,2.08449572023379,844.541593103505,0.262791337124365,,
843.761413635093,2.08432279732145,843.761413635093,0.262788407540167,,
842.98123416669,2.08414989964942,842.98123416669,0.262785138799757,,
842.20105469828,2.08397702878,842.20105469828,0.262781529749905,,
841.42087522987,2.08380418628734,841.42087522987,0.262777579235491,,
840.640695761461,2.08363137375747,840.640695761461,0.262773286099514,,
839.860516293053,2.0834585927884,839.860516293053,0.262768649183117,,
839.080336824644,2.08328584499017,839.080336824644,0.262763667325595,,
838.300157356238,2.08311313198497,838.300157356238,0.262758339364424,,
837.519977887828,2.08294045540719,837.519977887828,0.262752664135269,,
836.739798419425,2.08276781690353,836.739798419425,0.262746640472006,,
835.959618951011,2.08259521813304,835.959618951011,0.262740267206743,,
835.179439482605,2.08242266076726,835.179439482605,0.262733543169834,,
834.399260014197,2.08225014649025,834.399260014197,0.262726467189905,,
833.619080545791,2.08207767699872,833.619080545791,0.262719038093864,,
