wavelength_nm,n,k,region,quality_flag
400,1.9774784447891443,1.13750820540264,aligned_derived,medium_confidence
401,1.986141057057759,1.134795770167112,aligned_derived,medium_confidence
402,1.9947391034055413,1.132083334931584,aligned_derived,medium_confidence
403,2.00327322388954,1.1293708996960559,aligned_derived,medium_confidence
404,2.011744050655121,1.126658464460528,aligned_derived,medium_confidence
405,2.0201522080530356,1.1239460292249999,aligned_derived,medium_confidence
406,2.028498312754463,1.1212335939894718,aligned_derived,medium_confidence
407,2.0367829738640926,1.1185211587539439,aligned_derived,medium_confidence
408,2.0450067930312517,1.1158087235184158,aligned_derived,medium_confidence
409,2.053170364559145,1.1130962882828876,aligned_derived,medium_confidence
410,2.0612742755122255,1.1103838530473598,aligned_derived,medium_confidence
411,2.0693191058217435,1.1076714178118316,aligned_derived,medium_confidence
412,2.077305428389499,1.1049589825763035,aligned_derived,medium_confidence
413,2.085233809189843,1.1022465473407754,aligned_derived,medium_confidence
414,2.0931048073699525,1.0995341121052475,aligned_derived,medium_confidence
415,2.100918975348417,1.0968216768697194,aligned_derived,medium_confidence
416,2.1086768589121716,1.0941092416341913,aligned_derived,medium_confidence
417,2.1163789973117977,1.0913968063986634,aligned_derived,medium_confidence
418,2.124025923355237,1.0886843711631353,aligned_derived,medium_confidence
419,2.131618163499937,1.0859719359276072,aligned_derived,medium_confidence
420,2.139156237943465,1.0832595006920793,aligned_derived,medium_confidence
421,2.1466406607126167,1.0805470654565512,aligned_derived,medium_confidence
422,2.1540719397510464,1.077834630221023,aligned_derived,medium_confidence
423,2.1614505770054517,1.0751221949854952,aligned_derived,medium_confidence
424,2.1687770685103382,1.072409759749967,aligned_derived,medium_confidence
425,2.176051904471382,1.069697324514439,aligned_derived,medium_confidence
426,2.1832755693474346,1.066984889278911,aligned_derived,medium_confidence
427,2.1904485419311763,1.064272454043383,aligned_derived,medium_confidence
428,2.197571295428458,1.0615600188078549,aligned_derived,medium_confidence
429,2.204644297536346,1.058847583572327,aligned_derived,medium_confidence
430,2.2116680105199,1.056135148336799,aligned_derived,medium_confidence
431,2.2186428912877036,1.0534227131012708,aligned_derived,medium_confidence
