ensemble_id,d_gap_front_nm,front_mean_deltaR_total,transition_max_abs_deltaR_total,rear_max_abs_deltaR_total,R_total_780nm
nominal,0.0,0.0,0.0,0.0,0.7130745311884239
nominal,2.0,-0.0009682647289543626,0.005417899888326305,0.007852345241134984,0.7083724823906618
nominal,5.0,-0.0016859756082244425,0.01408044680790621,0.01965263156170649,0.7005504788646856
nominal,10.0,-0.0010659727175431626,0.029653087106110032,0.039248181055110076,0.6859085927663087
more_absorptive,0.0,0.0,0.0,0.0,0.43092304870601816
more_absorptive,2.0,-0.0009682647289543626,0.0027129073153569355,0.007852345241134984,0.4294818236371034
more_absorptive,5.0,-0.0016859756082244425,0.00707809491342766,0.01965263156170649,0.42752421819230735
more_absorptive,10.0,-0.0010659727175431626,0.015036864996141291,0.039248181055110076,0.42483113632634717
less_absorptive,0.0,0.0,0.0,0.0,0.614895678479383
less_absorptive,2.0,-0.0009682647289543626,0.0033315099760825584,0.007852345241134984,0.6120034572604369
less_absorptive,5.0,-0.0016859756082244425,0.008678006414834627,0.01965263156170649,0.6071847497399155
less_absorptive,10.0,-0.0010659727175431626,0.018319916931407665,0.039248181055110076,0.5981088738319931
