case_key,case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_rms_deltaR_500_650,transition_rms_deltaR_650_810,rear_rms_deltaR_810_1055,front_plus_transition_to_rear_ratio,front_to_rear_ratio,transition_to_rear_ratio,rear_best_shift_nm,rear_shift_explained_fraction,rear_aligned_rms_residual,rear_unaligned_rms_residual,rear_corr_before_shift,rear_corr_after_shift,rear_phase_slope_error,rear_dom_freq,rear_dom_freq_amplitude,rear_dom_freq_bandwidth,rear_spectral_centroid,rear_spectral_entropy,rear_sideband_energy_fraction,rear_second_peak_to_first_peak_ratio,wavelet_energy_front,wavelet_energy_transition,wavelet_energy_rear,wavelet_entropy_front,wavelet_entropy_transition,wavelet_entropy_rear,transition_peak_scale,rear_peak_scale,sim_to_thickness_template,ncc_to_thickness_template,sim_to_front_roughness_template,ncc_to_front_roughness_template,sim_to_rear_roughness_template,ncc_to_rear_roughness_template,sim_to_front_gap_template,ncc_to_front_gap_template,sim_to_rear_gap_template,ncc_to_rear_gap_template
D1_0058|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0058,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,2.0,0.0,0.0030410938140454334,0.002204085267211023,0.0031998885063067558,1.6391755746859855,0.9503749296425956,0.68880064504339,-1.0,0.3621018454947639,0.002041202972795597,0.003199888506306757,0.9994800448543963,0.9998865696818348,0.0,3484.65306122449,7.119105894824284e-06,3484.65306122449,3621.9305747390235,0.0346360950857663,0.002548141808867069,0.0,0.06267566390945419,0.6749337669568295,0.26889461403778236,0.6968775714439666,0.6014812679469941,0.4537714498076347,64.0,64.0,0.20873989136703056,0.5143400558256771,0.12690961777286996,0.41606036390131285,-0.34945959097403156,0.7200055046275827,0.9900898888664438,0.9917636207867151,0.538464493274814,0.6417664278629245
D1_0059|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0059,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,3.0,0.0,0.004470197376024461,0.0033496082803960393,0.004800982503895708,1.6287927835761118,0.9311005346087318,0.6976922489673799,-1.0,0.33188143841157813,0.0032076255247139797,0.004800982503895707,0.9988248370148375,0.9996777334290433,0.0,3484.65306122449,6.564253186130463e-06,3484.65306122449,3621.930574739026,0.03463609508576619,0.0025481418088670682,0.0,0.05713842005482749,0.6805274854739702,0.2688655709376786,0.6956760903743266,0.6008200282971321,0.45448431311303333,64.0,64.0,0.21850662805393145,0.5162257234236732,0.1362407402779709,0.41912654333366944,-0.3467428664080842,0.7221385247176693,0.992354978646014,0.9936190261715554,0.5388088309032667,0.6407399400169179
D1_0060|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0060,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,5.0,0.0,0.0071423554025368844,0.005723656492720494,0.008002239667161631,1.607801369415984,0.892544549977251,0.7152568194387331,-2.0,0.3558352175626468,0.005154760974208731,0.008002239667161633,0.9967077232456705,0.999256842032514,0.0,3495.614754098361,2.7698317119702766e-05,3495.614754098361,3633.3496909394257,0.03464113377426717,0.0025485333120243707,0.0,0.04714121426149476,0.6906669954413984,0.2687727022141916,0.6928653970687327,0.59931514264985,0.45570763663952657,64.0,64.0,0.2381242876612099,0.5196791071093771,0.15504421333062418,0.42580902455862135,-0.34079887390255215,0.7263733603322508,0.9959761643206763,0.996368873888991,0.5389528426461878,0.6389021995657078
D1_0061|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0061,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,10.0,0.0,0.012725396423473572,0.012098437003065116,0.015970651753890747,1.5543406624273266,0.7967988169533174,0.757541845474009,-5.0,0.3618414844126625,0.010191807416225227,0.015970651753890747,0.9865828537252423,0.9973280072354879,0.0,3529.045643153527,0.00017058580372389704,3529.045643153527,3668.17662441854,0.03477615580081892,0.0025497268153218205,0.0,0.027792593821827877,0.7104599003652804,0.2684226310237386,0.6822023517355514,0.5946871238175684,0.45770140185004354,64.0,64.0,0.28718189940365285,0.5269931729535356,0.20244395794686967,0.442871889394219,-0.32295956156442984,0.7349867411019244,0.9995653854658515,0.999557799876927,0.5359667325202562,0.6317457404236652
D1_0062|front_gap_on_background|anchor_01_nominal|D1_0001,D1_0062,front_gap_on_background,anchor_01_nominal,D1_0001,700.0,10.0,20.0,15.0,0.0,0.01676171801788671,0.01899139977505072,0.023829730444383846,1.5003576257978055,0.7033952002523423,0.7969624255454633,-7.0,0.3600854197739718,0.015248991954217294,0.023829730444383846,0.9693565735011768,0.9941624822516059,3.3435454239662468e-12,3551.799163179916,0.0003185457912076277,3551.799163179916,3691.881171305714,0.03484756229650624,0.0025505386987328825,0.0,0.01513271114222449,0.7235931194034846,0.2680059762291611,0.6611058904599,0.5891856747585199,0.45839567496532657,64.0,64.0,0.33522139659048955,0.5319620593003607,0.24945120086695455,0.46007283424599255,-0.30100625350218463,0.7407110743290077,0.9952415832106485,0.996017474576418,0.5279931147151026,0.6217121486020509
D1_0002|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0002,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1_0070|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0070,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.5,0.0,0.0007827545780905273,0.00045031726334014916,0.0007825375185183681,1.5757351082224604,1.0002773791249908,0.5754577290974695,0.0,0.0,0.0007825375185183685,0.0007825375185183685,0.9999690805631345,0.9999690805631345,1.1441168235912235e-12,3473.7804878048787,7.466725366989748e-09,3473.7804878048787,3610.6044565340267,0.03457234973346109,0.0025477534087341006,0.0,0.12976125406328268,0.5575014590603371,0.3179828481691219,0.6984457917629068,0.6226860573011597,0.42732606243457777,57.23039572337,64.0,-0.024778179674815177,0.5108183868154419,-0.08648255300004874,0.3772494578105913,-0.3720169006292688,0.7172991331138552,0.8923052896838063,0.9494867622415606,0.5187088084831185,0.6472295102632887
D1_0071|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0071,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,1.0,0.0,0.0015505040545631629,0.0009059589902947922,0.001565476411146948,1.569147275146883,0.9904359104505346,0.5787113646963485,-1.0,0.013754313986440003,0.0015439443570496715,0.0015654764111469519,0.9998760426822565,0.9998808903176045,0.0,3484.65306122449,3.747394562383522e-06,3484.65306122449,3621.9305747390254,0.03463609508576633,0.002548141808867073,0.0,0.12455652073997021,0.5622264914046049,0.3184836140246957,0.6979465334938382,0.6235404855514128,0.4282602727322216,57.23039572337,64.0,-0.02117502381117406,0.5121993850787876,-0.0828520479384161,0.3787585325940671,-0.37273434149895057,0.7190074573987612,0.8955146665404867,0.9509613579229151,0.5207941482676601,0.6473826452795386
D1_0072|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0072,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,2.0,0.0,0.00304054826141902,0.0018333497067478761,0.003132238359750879,1.5560431258349505,0.97072697291813,0.5853161529168204,-1.0,0.4086814448300413,0.0018521506613358117,0.0031322383597508804,0.9995019781231225,0.9999242633470413,1.3072873586703208e-12,3484.65306122449,3.2014244427089483e-06,3484.65306122449,3621.930574739024,0.034636095085766115,0.0025481418088670513,0.0,0.1144222411409708,0.5716466880648764,0.3192389675865936,0.6968744940124515,0.6251297757930265,0.43011180173228797,51.17684679146138,64.0,-0.013852979873088504,0.5148058305563114,-0.07548162386265181,0.381664333454274,-0.3740786348598764,0.7222597889883065,0.9017819332243596,0.9538833271169977,0.5248891503573753,0.6477269546626259
D1_0073|front_gap_on_background|anchor_02_pvk690|D1_0002,D1_0073,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,3.0,0.0,0.00446934842966417,0.0027823941191726007,0.004699648595576635,1.5430393148249846,0.9509963008448704,0.592043013980114,-2.0,0.35866423775921896,0.0030140527143079584,0.0046996485955766365,0.9988746507262166,0.9997438054520804,3.12893248063977e-12,3495.614754098361,1.288956085487458e-05,3495.614754098361,3633.3496909394253,0.034641133774267516,0.002548533312024397,0.0,0.10469246033971155,0.5809830241930056,0.31967241656728285,0.6956926587876209,0.6265592028247152,0.4319345444679748,51.17684679146138,64.0,-0.0063798034317208135,0.5171970157136805,-0.06796857697113443,0.38450536354592496,-0.3752966355157033,0.7252618445454951,0.9078374352053535,0.9565161927592073,0.5288757276365859,0.6481708456934454
