Wavelength_nm,Absolute_Reflectance_Measured,Absolute_Reflectance_Theory,Absolute_Reflectance_Physical,Residual,Front_Scatter_Factor,Rear_ZScore_Measured,Rear_ZScore_Theory,window_label
500.2051278699528,0.0185488075079901,0.013859228491239023,0.08015342320928906,-0.0046895790167510755,0.23406774063638214,,,front
500.6289581027754,0.0187730066653601,0.013922802867608244,0.08053655549284121,-0.004850203797751855,0.23464372055785782,,,front
501.05277832245406,0.0189392823380438,0.013986246747902331,0.0809125118134296,-0.004953035590141468,0.2352196378088444,,,front
501.4765885236226,0.0189820997660225,0.01404805156317633,0.08125202978021694,-0.00493404820284617,0.23579549004309136,,,front
501.9003887009168,0.0191601402991709,0.014109956346922622,0.08158931353595826,-0.0050501839522482765,0.23637127492532486,,,front
502.324178848971,0.0193872695004215,0.014171727604493915,0.08191988823312589,-0.005215541895927586,0.23694699013122075,,,front
502.7479589624216,0.019329315692594,0.014233523135596858,0.0822468704691465,-0.005095792556997141,0.23752263334738533,,,front
503.1717290359048,0.0195785484754002,0.014295820218692811,0.08257941388782448,-0.005282728256707388,0.23809820227132883,,,front
503.5954890640572,0.0197414377367554,0.0143588106303135,0.08292107275074534,-0.0053826271064419,0.23867369461144258,,,front
504.019239041516,0.0198212844241216,0.014421945802623959,0.08326133953940869,-0.005399338621497642,0.239249108086975,,,front
504.4429789629192,0.0199370488271995,0.014486243689303145,0.0836193737253443,-0.005450805137896354,0.23982444042800796,,,front
504.86670882290514,0.0201014838078432,0.0145506403895454,0.0839749967317472,-0.005550843418297799,0.2403996893754325,,,front
505.29042861611214,0.0201414178212744,0.01461582074777236,0.08434099321685463,-0.005525597073502041,0.24097485268092309,,,front
505.714138337179,0.0202959298968002,0.01468142103097963,0.08471046296373726,-0.0056145088658205704,0.241549928106915,,,front
506.1378379807463,0.0204263510174733,0.014747186354707823,0.08507864527222186,-0.005679164662765477,0.24212491342658024,,,front
506.5615275414538,0.0205221706449989,0.014813182295276478,0.08544675465631649,-0.005708988349722423,0.24269980642380032,,,front
506.98520701394233,0.0207306690550155,0.014879283355315246,0.08581249059560872,-0.005851385699700253,0.24327460489314326,,,front
507.4088763928525,0.0207666488555099,0.014944710644394992,0.08616171134881875,-0.005821938211114909,0.24384930663983784,,,front
507.8325356728262,0.0209723617417487,0.015010205370286054,0.08650806176591073,-0.005962156371462645,0.24442390947974926,,,front
