family,Wavelength_nm,mean_deltaR_total,std_deltaR_total
thickness_nuisance,670.0,0.0001243930535314409,0.00530395204823073
thickness_nuisance,671.0,0.0003258889398553272,0.005344876904332678
thickness_nuisance,672.0,0.0005117809514636091,0.005458948324751489
thickness_nuisance,673.0,0.0006524700501146666,0.005540994768358673
thickness_nuisance,674.0,0.0007890846148038447,0.0054323885324045725
thickness_nuisance,675.0,0.0010022579011066295,0.0051723485205550646
thickness_nuisance,676.0,0.0012608743117912865,0.004956247127754424
thickness_nuisance,677.0,0.0014738622739312332,0.004928057214002208
thickness_nuisance,678.0,0.0016563847490396058,0.0049880452510638286
thickness_nuisance,679.0,0.0018829333757607763,0.004825773206000477
thickness_nuisance,680.0,0.0021020729975498886,0.004351826407784601
thickness_nuisance,681.0,0.0022463644191897236,0.0039029811101348256
thickness_nuisance,682.0,0.002387388327683735,0.0037283894187164902
thickness_nuisance,683.0,0.002561184527367629,0.0037021391840568285
thickness_nuisance,684.0,0.0026893572458441795,0.003557977170601233
thickness_nuisance,685.0,0.0027655983973559495,0.0032005395480134533
thickness_nuisance,686.0,0.0028897585462611328,0.0028408523663122826
thickness_nuisance,687.0,0.0030718736858933358,0.002732303989522577
thickness_nuisance,688.0,0.003196343056950241,0.002768866232610455
thickness_nuisance,689.0,0.0032053701863133466,0.0027820599061115963
thickness_nuisance,690.0,0.003213354628193672,0.0028991002470264795
thickness_nuisance,691.0,0.00330557961382866,0.003257744269780208
thickness_nuisance,692.0,0.0033889914772298555,0.003736500820609549
thickness_nuisance,693.0,0.00335349932897015,0.0041639600824488554
thickness_nuisance,694.0,0.0032522647764110235,0.004570967637472094
thickness_nuisance,695.0,0.003175896484915772,0.005066727415332812
thickness_nuisance,696.0,0.0031181396654397717,0.00564689566451095
thickness_nuisance,697.0,0.0030372670847664323,0.006233746269940143
thickness_nuisance,698.0,0.002926351780964723,0.00679005172712412
thickness_nuisance,699.0,0.002791447429931565,0.007335425966130798
thickness_nuisance,700.0,0.0026264406298818644,0.007902944689416175
thickness_nuisance,701.0,0.002446850311232691,0.008475247154906931
thickness_nuisance,702.0,0.0023014363067895695,0.008949417364493242
thickness_nuisance,703.0,0.002178082704356992,0.009253971414454226
thickness_nuisance,704.0,0.001962945406416024,0.009506620529383445
thickness_nuisance,705.0,0.0016227644314395786,0.009850048043967918
thickness_nuisance,706.0,0.0013049794986011397,0.010231582877936466
thickness_nuisance,707.0,0.0011193186008794603,0.010579622354820442
thickness_nuisance,708.0,0.0009670255937868631,0.010893791838929348
thickness_nuisance,709.0,0.000724637136335122,0.01111253569369033
thickness_nuisance,710.0,0.00042071293806919,0.011146910640097723
thickness_nuisance,711.0,0.00012961249876692387,0.011103747649035716
thickness_nuisance,712.0,-0.00014415849900284862,0.011137519767945464
thickness_nuisance,713.0,-0.00042420399873410974,0.011228360465093325
thickness_nuisance,714.0,-0.0007140955627089189,0.011284314736417564
thickness_nuisance,715.0,-0.001003060771609361,0.011234096135196088
