d_PVK_nm,thickness_scan_cost
400.0,0.044920506586216394
401.0,0.045036761189836
402.0,0.04514713833811381
403.0,0.0452514430915794
404.0,0.045349483215729
405.0,0.04544106969360664
406.0,0.04552601734087508
407.0,0.04560414552925673
408.0,0.045675279022525266
409.0,0.04573924892714748
410.0,0.04579589375722332
411.0,0.04584506061058071
412.0,0.04588660644979678
413.0,0.04592039947860598
414.0,0.04594632060070253
415.0,0.04596426494445357
416.0,0.04597414343362523
417.0,0.04597588438101635
418.0,0.04596943507902746
419.0,0.04595476335879837
420.0,0.04593185908775603
421.0,0.04590073557433656
422.0,0.04586143084837661
423.0,0.045814008786274646
424.0,0.045758560051537514
425.0,0.045695202823748546
426.0,0.04562408329228219
427.0,0.04554537589516743
428.0,0.04545928328825546
429.0,0.04536603603513107
430.0,0.04526589201385334
431.0,0.04515913554243197
432.0,0.04504607623074927
433.0,0.04492704757222927
434.0,0.04480240529375579
435.0,0.04467252548698683
436.0,0.04453780254816775
437.0,0.04439864695670769
438.0,0.04425548292508231
439.0,0.044108745954030304
440.0,0.043958880327524937
441.0,0.04380633658166144
442.0,0.04365156898047286
443.0,0.04349503302986109
444.0,0.0433371830584122
445.0,0.04317846989097599
446.0,0.043019338637651824
447.0,0.04286022661735911
448.0,0.04270156143159998
449.0,0.04254375920044914
450.0,0.04238722296932938
451.0,0.04223234129182792
452.0,0.042079486990744756
453.0,0.041929016096786766
454.0,0.041781266961862774
455.0,0.04163655954181412
456.0,0.04149519484163732
457.0,0.04135745451481525
458.0,0.04122360060725686
459.0,0.04109387543553126
460.0,0.04096850158854441
461.0,0.04084768204151656
462.0,0.04073160037104471
463.0,0.04062042106014565
464.0,0.040514289882440775
465.0,0.04041333435503529
466.0,0.04031766425013323
467.0,0.04022737215599311
468.0,0.040142534078443315
469.0,0.040063210074823725
470.0,0.03998944491288337
471.0,0.039921268747829704
472.0,0.03985869781138227
473.0,0.03980173510732272
474.0,0.03975037110864732
475.0,0.03970458445201319
476.0,0.03966434262571916
477.0,0.039629602647977866
478.0,0.039600311732712105
479.0,0.03957640794054804
480.0,0.039557820813079424
481.0,0.03954447198884186
482.0,0.03953627579976524
483.0,0.03953313984716747
484.0,0.03953496555661499
485.0,0.039541648711207925
486.0,0.039553079963050165
487.0,0.039569145322841594
488.0,0.039589726627680476
489.0,0.03961470198729241
490.0,0.03964394620900902
491.0,0.03967733120190614
492.0,0.039714726360580634
493.0,0.03975599892909669
494.0,0.0398010143456694
495.0,0.0398496365686766
496.0,0.03990172838459949
497.0,0.03995715169849146
498.0,0.040015767807562115
499.0,0.04007743765844169
500.0,0.040142022088660544
501.0,0.04020938205284004
502.0,0.040279378834045636
503.0,0.040351874240701496
504.0,0.04042673078940902
505.0,0.04050381187394965
506.0,0.04058298192068764
507.0,0.04066410653051925
508.0,0.04074705260744497
509.0,0.04083168847376952
510.0,0.040917883971862586
511.0,0.041005510552342674
512.0,0.04109444134847797
513.0,0.04118455123653316
514.0,0.041275716881731525
515.0,0.041367816769448854
516.0,0.04146073122121171
517.0,0.04155434239503903
518.0,0.04164853426964634
519.0,0.04174319261202693
520.0,0.04183820492793832
521.0,0.04193346039485711
522.0,0.04202884977702399
523.0,0.04212426532228728
524.0,0.0422196006405694
525.0,0.04231475056393066
526.0,0.04240961098839122
527.0,0.04250407869789725
528.0,0.04259805117108403
529.0,0.042691426371799034
530.0,0.042784102524701884
531.0,0.04287597787765623
532.0,0.04296695045307043
533.0,0.04305691779082486
534.0,0.04314577668594182
535.0,0.0432334229247013
536.0,0.043319751023474344
537.0,0.04340465397512506
538.0,0.0434880230084084
539.0,0.04356974736634769
540.0,0.04364971411009575
541.0,0.0437278079552441
542.0,0.04380391114792352
543.0,0.04387790338831134
544.0,0.04394966180929908
545.0,0.04401906101805337
546.0,0.04408597320799556
547.0,0.04415026834830954
548.0,0.0442118144574394
549.0,0.04427047796614472
550.0,0.04432612417452994
551.0,0.04437861780605386
552.0,0.044427823659861865
553.0,0.04447360736088495
554.0,0.044515836205042944
555.0,0.04455438009461571
556.0,0.04458911255645642
557.0,0.04461991183327699
558.0,0.044646662035810775
559.0,0.044669254341329956
560.0,0.044687588221848096
561.0,0.04470157268345979
562.0,0.044711127496738834
563.0,0.04471618439701289
564.0,0.04471668823271998
565.0,0.044712598039982156
566.0,0.04470388802203647
567.0,0.04469054841325552
568.0,0.04467258620915798
569.0,0.04465002574602108
570.0,0.04462290911640429
571.0,0.04459129641000141
572.0,0.04455526577266121
573.0,0.04451491328004848
574.0,0.044470352626140255
575.0,0.044421714630449555
576.0,0.044369146571421506
577.0,0.044312811356748284
578.0,0.04425288654430157
579.0,0.04418956322990487
580.0,0.04412304482020331
581.0,0.0440535457103935
582.0,0.04398128988753612
583.0,0.04390650948058899
584.0,0.043829443278193575
585.0,0.043750335234660785
586.0,0.04366943298358797
587.0,0.0435869863771594
588.0,0.043503246067510395
589.0,0.04341846214464204
590.0,0.04333288284333373
591.0,0.043246753329383936
592.0,0.04316031457338142
593.0,0.04307380231812581
594.0,0.04298744614382757
595.0,0.04290146863336239
596.0,0.042816084638163776
597.0,0.04273150064383159
598.0,0.04264791423322489
599.0,0.042565513643701286
600.0,0.04248447741425814
601.0,0.04240497411761766
602.0,0.042327162171765895
603.0,0.0422511897250901
604.0,0.04217719460904309
605.0,0.04210530435217855
606.0,0.04203563624942963
607.0,0.04196829748062566
608.0,0.041903385272441064
609.0,0.0418409870982302
610.0,0.04178118091050663
611.0,0.041724035401161486
