Wavelength_nm,R_TMM_GlassAg,R_TMM_AgMirror,R_TMM_GlassPVK_Fixed,R_TMM_GlassPVK_BestD
400.21336269574215,0.9501135281743399,0.9591470210844855,0.16555870812257595,0.16555870741178705
400.6407517816078,0.9504485996566806,0.9594518545038336,0.1652485419432405,0.1652485412639061
401.06813563828155,0.9507797013497536,0.9597528491101097,0.16496581665758706,0.16496581602313515
401.49551426003313,0.9510977451510024,0.9600424773449113,0.16481539313841165,0.1648153925887239
401.9228876411324,0.951414061541507,0.960330161316183,0.16466703755345627,0.16466703709861985
402.35025577584906,0.95171812031112,0.9606071853199958,0.1643530978693216,0.16435309746484728
402.777618658454,0.9520182216644267,0.9608804471793236,0.1640050467899839,0.16400504643189504
403.20497628321704,0.9523107835112479,0.9611469948548244,0.1636506286468889,0.16365062833217475
403.63232864440863,0.9525953675391957,0.9614064841985533,0.16328901843302865,0.16328901815621572
404.0596757363001,0.9528767727257951,0.961662896673867,0.16293298509799142,0.16293298486047475
404.4870175531606,0.9531465241726443,0.9619092473007356,0.1625965831698766,0.1625965829401968
404.9143540892625,0.9534148371433879,0.9621539853274507,0.162262578185559,0.16226257796600657
405.34168533887566,0.9536726965729259,0.9623896866974914,0.16190269696465243,0.16190269675414193
405.7690112962718,0.9539269335540693,0.96262199941143,0.16153831776941874,0.16153831756952713
406.19633195572214,0.9541748700071704,0.9628487284842914,0.16116874810952952,0.16116874792647434
406.6236473114972,0.954415686294091,0.9630692142486073,0.16079272298547576,0.16079272282733545
407.05095735786904,0.954654010266885,0.9632872752302875,0.1604181781672325,0.16041817805192277
407.4782620891088,0.9548820487472426,0.9634965178609218,0.16003725271622254,0.16003725275533146
407.9055614994885,0.95510889820974,0.9637044287880957,0.1596596290714215,0.1596596292895944
408.33285558327935,0.9553269552683467,0.9639047756776143,0.15925455874337602,0.159254558896269
408.7601443347542,0.9555417300394453,0.9641020930537346,0.15884329333907213,0.15884329333267475
409.18742774818423,0.9557513214643711,0.9642948310991641,0.15841665922260406,0.15841665885341727
409.61470581784215,0.9559546363771351,0.9644821062148846,0.157969156090484,0.15796915505860545
410.0419785380003,0.9561560444798605,0.9646675060507909,0.15753003365064333,0.15753003191906123
410.46924590293,0.9563485025655248,0.9648452768288888,0.15715430015811144,0.15715429821544663
410.89650790690513,0.9565399839459212,0.965021951080114,0.15678112537354422,0.15678112319867626
411.3237645441979,0.9567241959574606,0.9651923928519959,0.1564067223511139,0.15640671981598775
411.75101580908114,0.9569054729437967,0.9653601540315782,0.15603346608575785,0.15603346311430488
412.17826169582753,0.9570825662092329,0.965524222164711,0.15565037699027467,0.15565037329469167
412.6055021987102,0.9572542152551398,0.9656835783991592,0.1552521637728408,0.15525215891028402
413.0327373120022,0.9574244455755895,0.965841513086162,0.15485783394655758,0.15485782777293372
413.4599670299771,0.9575870319628853,0.9659929602359156,0.15449170011367805,0.15449169246491398
413.8871913469087,0.9577488192832279,0.9661435050141836,0.1541270350421473,0.15412702575440773
414.31441025706965,0.9579047272318586,0.9662890168449916,0.15377705981256057,0.15377704873231807
414.7416237547343,0.9580580565509755,0.9664321906191877,0.15343321946343458,0.15343320641469468
415.1688318341764,0.9582080886057335,0.9665724472650555,0.15311008505815288,0.15311006996209056
415.5960344896694,0.9583535001410551,0.9667087186366544,0.1528178479498717,0.15281783080751618
416.0232317154875,0.958497887303747,0.966843932744667,0.152519312217278,0.1525192927968489
416.4504235059058,0.9586359107383247,0.9669737590708584,0.1520901407027741,0.15209011784598125
416.877609855198,0.9587732805941774,0.9671028404925367,0.15166258241170463,0.1516625557420343
417.3047907576382,0.9589060331861975,0.9672279648841368,0.15114428248189496,0.15114425077432309
417.73196620750167,0.9590365747613157,0.9673510909018254,0.1505908068631721,0.15059076914735298
418.15913619906314,0.959164596780885,0.9674719724425668,0.15013940303186724,0.15013935920452004
418.5863007265969,0.9592888162082327,0.9675895754978229,0.1498576739546299,0.14985762457761553
419.0134597843785,0.9594123155639521,0.9677064019508105,0.14957560700986627,0.14957555166785075
419.4406133666826,0.959530709074435,0.9678189041829821,0.1492635928479549,0.14926353074575843
419.86776146778504,0.959648564856051,0.967930786253679,0.1489523110164186,0.1489522416513049
420.2949040819609,0.9597629430354185,0.9680396706087062,0.14856479700549002,0.1485647188776798
420.7220412034857,0.9598754912919166,0.9681468963491202,0.14814381860737752,0.1481437305121368
421.1491728266354,0.9599861944287496,0.9682524513699164,0.1477359112582362,0.14773581242856035
421.5762989456856,0.9600939121397651,0.9683554151921243,0.1473512395529146,0.14735112931035993
422.00341955491217,0.9602011279962942,0.9684578050879182,0.1469676787685445,0.14696755625361252
422.43053464859145,0.9603044841990389,0.9685568919732276,0.14661485461475066,0.1466147193932425
422.85764422099953,0.9604073921259348,0.9686554553339306,0.14626275670788424,0.1462626079296041
423.2847482664132,0.9605078518349649,0.9687518630280462,0.14598656903552443,0.1459864074340923
423.7118467791081,0.9606068826750429,0.9688469518999675,0.1457484018865548,0.14574822765250645
424.13893975336185,0.9607046469586038,0.9689408523905094,0.14549397190193364,0.14549378398085422
424.5660271834504,0.9608002507993257,0.9690328331869142,0.14520544192755447,0.14520523865161483
