Frame_Index,Point_Count,Counts_Min,Counts_Median,Counts_Mean,Counts_Max,Saturated_65535_Count,Source,Used_For_Average
89,1340,632,1188.0,11908.017164179104,61902,0,Ag,True
90,1340,630,1177.0,11908.481343283582,61762,0,Ag,True
91,1340,638,1185.5,11911.74104477612,61855,0,Ag,True
92,1340,635,1178.0,11906.774626865672,61782,0,Ag,True
93,1340,634,1185.0,11910.635074626865,61635,0,Ag,True
94,1340,640,1173.5,11912.35223880597,61720,0,Ag,True
95,1340,632,1172.5,11908.170149253732,61709,0,Ag,True
96,1340,635,1174.0,11907.05,61828,0,Ag,True
97,1340,636,1183.0,11910.012686567165,61831,0,Ag,True
98,1340,636,1189.0,11908.725373134328,61807,0,Ag,True
99,1340,638,1174.5,11909.280597014926,61870,0,Ag,True
100,1340,637,1181.5,11910.658208955223,61763,0,Ag,True
1,1340,611,634.0,634.5417910447761,656,0,BK,True
2,1340,612,634.0,634.3425373134328,660,0,BK,True
3,1340,611,635.0,634.5455223880597,658,0,BK,True
4,1340,614,634.0,634.2701492537313,654,0,BK,True
5,1340,611,634.0,634.3656716417911,661,0,BK,True
6,1340,614,634.0,634.0753731343284,660,0,BK,True
7,1340,618,635.0,635.1014925373134,659,0,BK,True
8,1340,611,634.0,634.1126865671641,655,0,BK,True
9,1340,617,635.0,634.7985074626865,659,0,BK,True
10,1340,609,635.0,634.920895522388,657,0,BK,True
11,1340,614,635.0,635.0977611940299,658,0,BK,True
12,1340,613,635.0,634.8141791044776,658,0,BK,True
13,1340,615,635.0,635.1089552238806,660,0,BK,True
14,1340,614,635.0,635.110447761194,657,0,BK,True
15,1340,615,635.0,635.1410447761194,656,0,BK,True
16,1340,611,635.0,634.8529850746269,657,0,BK,True
17,1340,614,634.0,634.4597014925373,656,0,BK,True
18,1340,614,635.0,634.7776119402985,657,0,BK,True
19,1340,615,634.0,634.1455223880597,660,0,BK,True
20,1340,606,634.0,634.289552238806,663,0,BK,True
21,1340,614,634.0,634.2522388059701,656,0,BK,True
22,1340,613,635.0,634.5485074626865,659,0,BK,True
23,1340,614,635.0,634.7186567164179,662,0,BK,True
24,1340,612,634.0,634.6268656716418,659,0,BK,True
25,1340,613,635.0,635.1664179104478,659,0,BK,True
26,1340,612,635.0,634.5455223880597,654,0,BK,True
27,1340,615,635.0,635.0111940298508,655,0,BK,True
28,1340,615,635.0,635.0970149253732,657,0,BK,True
29,1340,615,636.0,635.5104477611941,656,0,BK,True
30,1340,617,635.0,635.0932835820895,658,0,BK,True
31,1340,614,635.0,634.9589552238806,665,0,BK,True
32,1340,613,635.0,634.8977611940298,661,0,BK,True
33,1340,614,635.0,635.2402985074627,661,0,BK,True
34,1340,615,635.0,635.0171641791045,657,0,BK,True
35,1340,616,635.0,635.1470149253731,658,0,BK,True
36,1340,615,635.0,635.1223880597015,662,0,BK,True
37,1340,613,635.0,634.5835820895522,661,0,BK,True
38,1340,611,635.0,634.855223880597,657,0,BK,True
39,1340,615,634.0,634.5074626865671,658,0,BK,True
40,1340,616,636.0,635.5380597014926,657,0,BK,True
41,1340,614,635.0,635.0559701492538,655,0,BK,True
42,1340,615,636.0,635.6343283582089,660,0,BK,True
43,1340,611,635.0,635.223880597015,661,0,BK,True
44,1340,614,635.0,635.2320895522388,659,0,BK,True
45,1340,612,635.0,635.3253731343284,659,0,BK,True
46,1340,616,635.0,635.4328358208955,660,0,BK,True
47,1340,614,635.0,635.460447761194,656,0,BK,True
48,1340,614,635.5,635.6164179104478,659,0,BK,True
49,1340,615,636.0,635.539552238806,655,0,BK,True
50,1340,615,635.0,635.079104477612,658,0,BK,True
51,1340,614,635.0,635.2074626865672,657,0,BK,True
52,1340,614,635.0,635.4529850746269,658,0,BK,True
53,1340,616,636.0,635.6082089552239,659,0,BK,True
54,1340,613,636.0,635.565671641791,658,0,BK,True
55,1340,619,636.0,635.7067164179105,657,0,BK,True
56,1340,604,635.0,635.4985074626866,657,0,BK,True
57,1340,612,636.0,635.6328358208955,658,0,BK,True
58,1340,614,636.0,635.544776119403,661,0,BK,True
59,1340,612,636.0,635.6477611940298,664,0,BK,True
60,1340,613,636.0,635.5291044776119,660,0,BK,True
61,1340,615,636.0,635.7977611940298,659,0,BK,True
62,1340,616,636.0,635.8313432835821,658,0,BK,True
63,1340,613,635.0,635.4597014925373,662,0,BK,True
64,1340,611,636.0,636.044776119403,659,0,BK,True
65,1340,609,635.0,635.2649253731344,659,0,BK,True
66,1340,612,636.5,636.3664179104478,657,0,BK,True
67,1340,615,636.0,636.2119402985074,662,0,BK,True
68,1340,613,636.0,636.2574626865671,658,0,BK,True
69,1340,617,636.0,635.6597014925374,656,0,BK,True
70,1340,615,636.0,635.9671641791044,656,0,BK,True
71,1340,616,636.0,636.1320895522388,658,0,BK,True
72,1340,614,636.0,635.9141791044776,657,0,BK,True
73,1340,615,636.0,636.1156716417911,662,0,BK,True
74,1340,616,636.0,635.8955223880597,658,0,BK,True
75,1340,610,636.0,636.070895522388,656,0,BK,True
76,1340,614,636.0,635.7343283582089,660,0,BK,True
77,1340,614,636.0,635.8641791044776,656,0,BK,True
78,1340,614,635.0,635.5574626865672,657,0,BK,True
79,1340,618,636.0,635.9567164179105,659,0,BK,True
80,1340,612,636.0,635.6753731343283,661,0,BK,True
81,1340,611,636.0,635.7440298507463,658,0,BK,True
82,1340,611,636.0,636.070895522388,658,0,BK,True
83,1340,612,636.0,635.5731343283583,662,0,BK,True
84,1340,617,636.0,635.9828358208955,657,0,BK,True
85,1340,615,636.0,636.0589552238806,658,0,BK,True
86,1340,614,636.0,636.1059701492537,663,0,BK,True
87,1340,615,636.0,635.8962686567164,661,0,BK,True
88,1340,608,636.0,636.2119402985074,659,0,BK,True
89,1340,612,636.0,636.1888059701492,656,0,BK,True
90,1340,613,636.0,635.9350746268657,660,0,BK,True
91,1340,612,636.0,636.094776119403,663,0,BK,True
92,1340,617,636.0,636.1246268656716,657,0,BK,True
93,1340,615,636.0,636.460447761194,660,0,BK,True
94,1340,617,636.0,636.3440298507463,655,0,BK,True
95,1340,612,636.0,636.415671641791,659,0,BK,True
96,1340,615,636.0,636.3977611940298,660,0,BK,True
97,1340,617,636.0,636.3522388059702,661,0,BK,True
98,1340,618,636.0,636.3462686567165,656,0,BK,True
99,1340,611,637.0,636.6417910447761,665,0,BK,True
100,1340,617,636.0,635.9992537313433,660,0,BK,True
