d_PVK_nm,thickness_scan_cost
400.0,0.04169640185128168
401.0,0.041643497845041344
402.0,0.041585111731593315
403.0,0.04152145345359385
404.0,0.041452745940211144
405.0,0.041379224274989496
406.0,0.041301134808945
407.0,0.041218734224477076
408.0,0.04113228855611153
409.0,0.04104207217445267
410.0,0.04094836674001042
411.0,0.04085146013377964
412.0,0.04075164537158099
413.0,0.040649219509224115
414.0,0.040544482545526936
415.0,0.040437736330119885
416.0,0.04032928348278492
417.0,0.0402194263308303
418.0,0.04010846587068932
419.0,0.039996700759559384
420.0,0.03988442634247599
421.0,0.03977193371974995
422.0,0.03965950885919475
423.0,0.03954743175704213
424.0,0.039435975650895634
425.0,0.039325406287512674
426.0,0.039215981247643174
427.0,0.03910794932959421
428.0,0.039001549992642826
429.0,0.03889701286088942
430.0,0.03879455728763709
431.0,0.03869439197990381
432.0,0.03859671468222767
433.0,0.03850171191851461
434.0,0.03840955879030564
435.0,0.038320418829507624
436.0,0.03823444390334112
437.0,0.03815177416900855
438.0,0.03807253807537847
439.0,0.03799685240881389
440.0,0.03792482238014524
441.0,0.03785654174969796
442.0,0.03779209298723047
443.0,0.037731547463616996
444.0,0.037674965671119276
445.0,0.03762239746912824
446.0,0.037573882352319676
447.0,0.0375294497382518
448.0,0.03748911927153675
449.0,0.03745290114183791
450.0,0.03742079641307859
451.0,0.03739279736139194
452.0,0.037368887819495024
453.0,0.037349043525329015
454.0,0.03733323247296993
455.0,0.037321415263979675
456.0,0.03731354545753182
457.0,0.03730956991781024
458.0,0.037309429157339986
459.0,0.037313057675066444
460.0,0.03732038428815124
461.0,0.03733133245660006
462.0,0.0373458205999775
463.0,0.03736376240559785
464.0,0.03738506712770681
465.0,0.03740963987728823
466.0,0.03743738190224147
467.0,0.03746819085777865
468.0,0.03750196106698777
469.0,0.03753858377159651
470.0,0.037577947373053235
471.0,0.03761993766411678
472.0,0.03766443805121381
473.0,0.037711329767884605
474.0,0.03776049207969236
475.0,0.03781180248102006
476.0,0.037865136884221974
477.0,0.03792036980163361
478.0,0.03797737452097591
479.0,0.03803602327471579
480.0,0.038096187403965795
481.0,0.03815773751752279
482.0,0.03822054364665559
483.0,0.03828447539625885
484.0,0.038349402092991675
485.0,0.03841519293101642
486.0,0.0384817171159455
487.0,0.03854884400759164
488.0,0.038616443262099946
489.0,0.03868438497401878
490.0,0.03875253981884007
491.0,0.038820779196509086
492.0,0.03888897537636853
493.0,0.03895700164396215
494.0,0.039024732450078904
495.0,0.039092043562370525
496.0,0.03915881221982298
497.0,0.03922491729030548
498.0,0.039290239431360986
499.0,0.03935466125433802
500.0,0.03941806749189666
501.0,0.039480345168851814
502.0,0.03954138377624416
503.0,0.03960107544845474
504.0,0.039659315143102815
505.0,0.03971600082338965
506.0,0.03977103364247256
507.0,0.0398243181293766
508.0,0.03987576237587399
509.0,0.0399252782236864
510.0,0.03997278145129249
511.0,0.04001819195955304
512.0,0.040061433955300874
513.0,0.040102436131981396
514.0,0.04014113184637493
515.0,0.040177459290383084
516.0,0.04021136165682049
517.0,0.04024278729812015
518.0,0.04027168987683661
519.0,0.04029802850681702
520.0,0.04032176788390573
521.0,0.040342878405055224
522.0,0.04036133627473387
523.0,0.04037712359755073
524.0,0.04039022845605874
525.0,0.040400644972750914
526.0,0.04040837335532873
527.0,0.04041341992439803
528.0,0.040415797122834864
529.0,0.04041552350616125
530.0,0.04041262371337792
531.0,0.040407128417816816
532.0,0.04039907425769996
533.0,0.040388503746221285
534.0,0.04037546516110324
