Wavelength_nm,Glass_PVK_Counts,Glass_Ag_Counts,Glass_PVK_CountsPerMs,Glass_Ag_CountsPerMs,Valid_Loose,Valid_Strict,Mask_Reason,Exposure_Source,R_Exp_GlassPVK_by_GlassAg,R_TMM_GlassAg,R_TMM_GlassPVK_Fixed,R_TMM_GlassPVK_BestD,Residual_Fixed,Residual_BestD
400.21336269574215,3.180000066757202,0.4000000059604644,0.1590000033378601,0.02000000029802322,True,False,sample_ref_below_floor,filename_inference,7.553402594998836,0.9501135281743399,0.14493798895851961,0.14493799190211784,7.408464606040317,7.408464603096719
400.6407517816078,1.7000000476837158,-1.600000023841858,0.08500000238418579,-0.0800000011920929,False,False,ref_nonpositive,filename_inference,,0.9504485996566806,0.14481605432624878,0.14481605713466134,,
401.06813563828155,21.899999618530273,18.5,1.0949999809265136,0.925,True,False,sample_ref_below_floor,filename_inference,1.1255175728035638,0.9507797013497536,0.14469632101042257,0.14469632366954466,0.9808212517931412,0.9808212491340191
401.49551426003313,5.940000057220459,3.5,0.29700000286102296,0.175,True,False,sample_ref_below_floor,filename_inference,1.6141487601769156,0.9510977451510024,0.1445785528978094,0.14457855539592096,1.4695702072791061,1.4695702047809946
401.9228876411324,-0.3199999928474426,-2.0,-0.015999999642372132,-0.1,False,False,sample_ref_nonpositive,filename_inference,,0.951414061541507,0.1444629865239529,0.1444629888451778,,
402.35025577584906,2.180000066757202,2.0999999046325684,0.10900000333786011,0.10499999523162842,True,False,sample_ref_below_floor,filename_inference,0.9879741238251596,0.95171812031112,0.1443493291296166,0.14434933126122068,0.843624794695543,0.8436247925639389
402.777618658454,6.179999828338623,3.650000095367432,0.30899999141693113,0.1825000047683716,True,False,sample_ref_below_floor,filename_inference,1.6119102171883999,0.9520182216644267,0.1442377664323904,0.1442377683581827,1.4676724507560095,1.4676724488302173
403.20497628321704,8.0,6.650000095367432,0.4,0.3325000047683716,True,False,sample_ref_below_floor,filename_inference,1.1456370163659435,0.9523107835112479,0.14412817208916667,0.14412817379378964,1.0015088442767768,1.001508842572154
403.63232864440863,9.5,9.300000190734863,0.475,0.46500000953674314,True,False,sample_ref_below_floor,filename_inference,0.9730812694647135,0.9525953675391957,0.14402050211795064,0.14402050358574164,0.8290607673467629,0.8290607658789719
404.0596757363001,7.019999980926514,4.300000190734863,0.3509999990463257,0.21500000953674317,True,False,sample_ref_below_floor,filename_inference,1.5556266580577118,0.9528767727257951,0.14391487642293443,0.14391487763564947,1.4117117816347773,1.4117117804220625
404.4870175531606,6.079999923706055,4.199999809265137,0.3039999961853027,0.20999999046325685,True,False,sample_ref_below_floor,filename_inference,1.3797931089107185,0.9531465241726443,0.14381099139542275,0.14381099233809913,1.2359821175152956,1.2359821165726195
404.9143540892625,14.9399995803833,13.800000190734863,0.746999979019165,0.6900000095367431,True,False,sample_ref_below_floor,filename_inference,1.0321751499986698,0.9534148371433879,0.14370916034142905,0.14370916099380962,0.8884659896572407,0.8884659890048602
405.34168533887566,19.1200008392334,15.300000190734863,0.9560000419616699,0.7650000095367432,True,False,sample_ref_below_floor,filename_inference,1.191779250425782,0.9536726965729259,0.14360903740002215,0.1436090377457304,1.04817021302576,1.0481702126800516
405.7690112962718,10.100000381469728,6.300000190734863,0.5050000190734865,0.3150000095367432,True,False,sample_ref_below_floor,filename_inference,1.5293114446186253,0.9539269335540693,0.1435108433091915,0.14351084332780317,1.385800601309434,1.3858006012908222
406.19633195572214,7.179999828338623,9.699999809265137,0.3589999914169312,0.4849999904632568,True,False,sample_ref_below_floor,filename_inference,0.7062861378938043,0.9541748700071704,0.1434144484350417,0.14341444810698453,0.5628716894587626,0.5628716897868198
