Wavelength_nm,Glass_PVK_Counts,Glass_Ag_Counts,Glass_PVK_CountsPerMs,Glass_Ag_CountsPerMs,Valid_Loose,Valid_Strict,Mask_Reason,Exposure_Source,R_Exp_GlassPVK_by_GlassAg,R_TMM_GlassAg,R_TMM_AgMirror,R_TMM_GlassPVK_Fixed,R_TMM_GlassPVK_BestD,Residual_Fixed,Residual_BestD,Ag_Mirror_Corrected_Counts,Ag_Mirror_Corrected_CountsPerMs,R_Exp_GlassPVK_by_AgMirror,Residual_Fixed_AgMirror,Residual_BestD_AgMirror
400.21336269574215,3.180000066757202,0.4000000059604644,0.1590000033378601,0.02000000029802322,True,False,sample_ref_below_floor,filename_inference,7.553402594998836,0.9501135281743399,0.9591470210844855,0.14493798895851961,0.14493799190211784,7.408464606040317,7.408464603096719,12.429191919191908,0.6214595959595954,0.2453970950733327,0.1004591061148131,0.10045910317121487
400.6407517816078,1.7000000476837158,-1.600000023841858,0.08500000238418579,-0.0800000011920929,False,False,ref_nonpositive,filename_inference,,0.9504485996566806,0.9594518545038336,0.14481605432624878,0.14481605713466134,,,11.47808080808079,0.5739040404040395,0.1421028676900796,-0.002713186636169179,-0.0027131894445817373
401.06813563828155,21.899999618530273,18.5,1.0949999809265136,0.925,True,False,sample_ref_below_floor,filename_inference,1.1255175728035638,0.9507797013497536,0.9597528491101097,0.14469632101042257,0.14469632366954466,0.9808212517931412,0.9808212491340191,11.402222222222122,0.5701111111111061,1.8433763717068248,1.6986800506964022,1.6986800480372801
401.49551426003313,5.940000057220459,3.5,0.29700000286102296,0.175,True,False,sample_ref_below_floor,filename_inference,1.6141487601769156,0.9510977451510024,0.9600424773449113,0.1445785528978094,0.14457855539592096,1.4695702072791061,1.4695702047809946,11.059494949494933,0.5529747474747466,0.5156340679574409,0.3710555150596315,0.37105551256152
401.9228876411324,-0.3199999928474426,-2.0,-0.015999999642372132,-0.1,False,False,sample_ref_nonpositive,filename_inference,,0.951414061541507,0.960330161316183,0.1444629865239529,0.1444629888451778,,,13.64575757575767,0.6822878787878836,-0.022520233343314325,-0.16698321986726722,-0.16698322218849213
402.35025577584906,2.180000066757202,2.0999999046325684,0.10900000333786011,0.10499999523162842,True,False,sample_ref_below_floor,filename_inference,0.9879741238251596,0.95171812031112,0.9606071853199958,0.1443493291296166,0.14434933126122068,0.843624794695543,0.8436247925639389,11.191212121212175,0.5595606060606088,0.18712215490543432,0.04277282577581773,0.04277282364421364
402.777618658454,6.179999828338623,3.650000095367432,0.30899999141693113,0.1825000047683716,True,False,sample_ref_below_floor,filename_inference,1.6119102171883999,0.9520182216644267,0.9608804471793236,0.1442377664323904,0.1442377683581827,1.4676724507560095,1.4676724488302173,11.086060606060641,0.5543030303030321,0.5356493356509147,0.39141156921852427,0.39141156729273197
403.20497628321704,8.0,6.650000095367432,0.4,0.3325000047683716,True,False,sample_ref_below_floor,filename_inference,1.1456370163659435,0.9523107835112479,0.9611469948548244,0.14412817208916667,0.14412817379378964,1.0015088442767768,1.001508842572154,12.490202020201991,0.6245101010100995,0.6156166206440788,0.4714884485549122,0.47148844685028923
403.63232864440863,9.5,9.300000190734863,0.475,0.46500000953674314,True,False,sample_ref_below_floor,filename_inference,0.9730812694647135,0.9525953675391957,0.9614064841985533,0.14402050211795064,0.14402050358574164,0.8290607673467629,0.8290607658789719,11.534848484848453,0.5767424242424226,0.7918059445586426,0.6477854424406919,0.6477854409729009
404.0596757363001,7.019999980926514,4.300000190734863,0.3509999990463257,0.21500000953674317,True,False,sample_ref_below_floor,filename_inference,1.5556266580577118,0.9528767727257951,0.961662896673867,0.14391487642293443,0.14391487763564947,1.4117117816347773,1.4117117804220625,12.567575757575696,0.6283787878787848,0.5371659297330176,0.39325105331008314,0.3932510520973681
404.4870175531606,6.079999923706055,4.199999809265137,0.3039999961853027,0.20999999046325685,True,False,sample_ref_below_floor,filename_inference,1.3797931089107185,0.9531465241726443,0.9619092473007356,0.14381099139542275,0.14381099233809913,1.2359821175152956,1.2359821165726195,13.570808080808092,0.6785404040404046,0.43095504080346325,0.2871440494080405,0.2871440484653641
