Wavelength,Intensity
365.1502089323528,5.037676767676771
365.57800730174927,5.015353535353597
366.0058009121936,5.175757575757643
366.4335897579461,4.760909090909081
366.8613738332686,5.31484848484854
367.2891531324232,5.023535353535294
367.7169276496708,5.889696969696956
368.1446973792735,4.549393939394008
368.5724623154933,4.649898989898929
369.000222452592,3.816565656565672
369.4279777848318,5.786969696969777
369.8557283064745,7.024242424242402
370.28347401178274,6.7438383838383515
370.7112148950189,4.77161616161618
371.138950950445,6.781212121212093
371.5666821723237,5.919797979798091
371.9944085549176,5.806464646464633
372.42213009249,5.369191919191962
372.8498467793027,5.539292929292969
373.27755860961867,6.0748484848485305
373.7052655777016,6.757272727272721
374.1329676778138,6.263030303030291
374.5606649042192,6.921717171717205
374.9883572511805,5.688787878787821
375.41604471296085,7.0738383838383925
375.84372728382465,5.604242424242329
376.2714049580342,6.172424242424199
376.69907772985385,7.920909090909163
377.1267455935473,8.499494949494874
377.55440854337854,5.450202020201914
377.98206657361095,7.383636363636356
378.40971967850874,7.535454545454513
378.83736785233623,6.356767676767618
379.26501108935753,7.599696969696993
379.6926493838369,8.5228282828283
380.1202827300386,5.522626262626204
380.54791112222784,6.700303030302962
380.97553455466823,8.49212121212122
381.40315302162537,5.863939393939404
381.83076651736314,6.7775757575757325
382.2583750361477,10.2409090909091
382.68597857224273,8.90989898989892
383.1135771199144,7.945454545454481
383.5411706734273,9.122222222222149
383.96875922704675,6.9238383838383015
384.3963427750387,9.228484848484868
384.8239213116683,10.338787878787912
385.2514948312012,9.674444444444475
385.679063327903,8.445959595959607
386.10662679604025,9.428484848484914
386.53418522987744,8.52313131313133
386.96173862368215,7.226666666666574
387.3892869717194,8.066262626262642
387.81683026825664,10.103333333333353
388.2443685075593,7.374545454545455
388.67190168389374,10.755656565656636
389.0994297915268,8.674949494949487
389.5269528247256,9.649292929292983
389.95447077775674,10.112525252525302
390.3819836448869,10.742222222222154
390.80949142038287,11.002828282828318
391.23699409851224,10.838787878787912
391.6644916735418,9.181414141414052
392.0919841397395,10.380909090909086
392.51947149137214,10.399999999999977
392.9469537227076,10.41020202020195
393.37443082801394,9.443434343434319
393.8019028015581,11.57696969696974
394.22936963760816,10.486060606060619
394.65683133043274,9.51646464646467
395.08428787429904,10.78161616161617
395.5117392634765,11.977878787878808
395.9391854922322,9.745252525252567
396.36662655483553,11.85777777777787
396.7940624455544,12.770303030303012
397.221493158658,10.591515151515182
397.6489186884149,11.880808080808038
398.0763390290937,13.549999999999955
398.50375417496423,10.79838383838387
398.93116412029474,12.26919191919194
399.35856885935465,10.15232323232317
399.7859683864145,12.721919191919142
400.21336269574215,12.429191919191908
400.6407517816078,11.47808080808079
401.06813563828155,11.402222222222122
401.49551426003313,11.059494949494933
401.9228876411324,13.64575757575767
402.35025577584906,11.191212121212175
402.777618658454,11.086060606060641
403.20497628321704,12.490202020201991
403.63232864440863,11.534848484848453
404.0596757363001,12.567575757575696
404.4870175531606,13.570808080808092
404.9143540892625,11.78282828282829
405.34168533887566,12.623434343434269
405.7690112962718,12.323030303030237
406.19633195572214,13.999292929293006
406.6236473114972,12.501616161616198
407.05095735786904,13.216161616161685
407.4782620891088,13.603636363636383
407.9055614994885,13.431313131313118
408.33285558327935,12.504949494949528
408.7601443347542,13.52767676767678
409.18742774818423,10.851515151515173
409.61470581784215,13.73050505050503
410.0419785380003,11.734848484848499
410.46924590293,13.088787878787912
410.89650790690513,13.804848484848549
411.3237645441979,14.707878787878713
411.75101580908114,13.17060606060602
