Wavelength_nm,n_Glass,k_Glass,n_ITO,k_ITO,n_NiOx,k_NiOx,n_PVK,k_PVK,n_C60,k_C60,n_SnOx,k_SnOx,n_Ag,k_Ag
400,1.515,0.0,2.258160748041458,0.0944932158948407,2.1620428852161067,0.2366843088904499,1.9774784447891445,1.13750820540264,2.2374568569690645,0.2766249909017186,1.8912320506702684,0.0519027382363961,0.05397,2.139149
401,1.515,0.0,2.256409827671544,0.0933122945109563,2.16070782225065,0.2359869279444995,1.986141057057759,1.134795770167112,2.232130638339425,0.2756368746033187,1.8911204014129084,0.0517297973323097,0.0535252542040354,2.150813917730173
402,1.515,0.0,2.2546673070990453,0.0921561273046012,2.1593796797738807,0.235306315253539,1.9947391034055413,1.132083334931584,2.2269293629861173,0.2748634849188317,1.891009616252908,0.0515580881343067,0.0531162828699544,2.1624387140718704
403,1.515,0.0,2.252933264215697,0.0910241823342521,2.158058591365711,0.2346422604385907,2.00327322388954,1.129370899696056,2.221856794588125,0.2742986974394901,1.8908996863075664,0.0513875971551077,0.0527418577242143,2.174024074734923
404,1.515,0.0,2.251207770103596,0.0899159399462761,2.1567446852220034,0.2339945532128408,2.011744050655121,1.126658464460528,2.2169167856104446,0.2739365945896115,1.8907906028070125,0.0512183111047661,0.0524007504932726,2.1855706854291603
405,1.515,0.0,2.2494908893427055,0.0888308925159498,2.1554380842535092,0.2333629834923796,2.0201522080530356,1.123946029225,2.2121133019891195,0.2737714202036127,1.8906823570927895,0.0510502168876716,0.0520917329035865,2.197079231864415
406,1.515,0.0,2.2477826803513716,0.0877685441053276,2.154138906223355,0.2327473414998931,2.028498312754463,1.1212335939894718,2.2074504340507803,0.2737975312042849,1.8905749406157408,0.0508833015981526,0.0518135766816135,2.208550399750516
407,1.515,0.0,2.2460831956835943,0.0867284101791084,2.152847263860747,0.2321474178633818,2.036782973864093,1.118521158753944,2.20293240431383,0.2740093509235505,1.890468344934357,0.0507175525170165,0.0515650535538109,2.2199848747972935
408,1.515,0.0,2.244392482288377,0.0857100173773387,2.1515632649512355,0.2315630037129493,2.0450067930312517,1.1158087235184158,2.198563578468561,0.2744013197303451,1.890362561713589,0.0505529571089563,0.0513449352466363,2.231383342714581
409,1.515,0.0,2.242710581789269,0.0847129032300047,2.15028701245404,0.2309938907706969,2.053170364559145,1.1130962882828876,2.194348466062824,0.2749678550106737,1.8902575827231791,0.0503895030190297,0.0511519934865468,2.2427464892122053
410,1.515,0.0,2.2410375307587125,0.0837366158605914,2.149018604625982,0.2304398714341254,2.0612742755122255,1.1103838530473598,2.190291715452207,0.2757032995385978,1.89015339983577,0.0502271780688509,0.050985,2.2540750000000003
411,1.515,0.0,2.2393733609550135,0.0827807137484108,2.147758135120756,0.229900738858214,2.0693191058217435,1.1076714178118316,2.1863981118822533,0.2766018798878878,1.890050005025557,0.0500659702537845,0.0508427265134531,2.2653695607877946
412,1.515,0.0,2.2377180995416133,0.0818447655146236,2.146505693078865,0.2293762870358877,2.077305428389499,1.1049589825763035,2.1826725628497177,0.2776576599732334,1.889947390367149,0.0499058677404771,0.0507239447533637,2.2766308572854204
413,1.515,0.0,2.2360717693324337,0.0809283496324214,2.145261363252682,0.2288663108675542,2.085233809189843,1.1022465473407754,2.1791200888063726,0.278864495771951,1.8898455480337164,0.0497468588630858,0.050627426446189,2.287859575202707
414,1.515,0.0,2.2344343890087983,0.0800310541811925,2.144025226113139,0.2283706062290602,2.0931048073699525,1.0995341121052475,2.1757457973057046,0.2802159994441003,1.889744470295398,0.0495889321202126,0.0505519433183864,2.299056400249485
415,1.515,0.0,2.2328059733085466,0.0791524766505202,2.1427973579352955,0.2278889700411443,2.100918975348417,1.0968216768697194,2.172554861848099,0.2817054874706375,1.8896441495183147,0.0494320761726477,0.0504962670964134,2.310222018135586
416,1.515,0.0,2.231186533224312,0.0782922237076737,2.141577830901315,0.2274212003313026,2.1086768589121716,1.094109241634191,2.169552494074206,0.283325953241835,1.8895445781630953,0.0492762798404712,0.0504591695067274,2.32135711457084
417,1.515,0.0,2.2295760762035908,0.0774499109424102,2.140366713214497,0.2269670962879799,2.1163789973117977,1.0913968063986634,2.1667439051725075,0.285070020723949,1.889445748783198,0.0491215320997081,0.0504394222757856,2.332462375265078
418,1.515,0.0,2.2279746063220807,0.0766251626617155,2.1391640691920553,0.2265264583166914,2.124025923355237,1.088684371163135,2.1641342734155766,0.2869299163900882,1.889347654023624,0.0489678220798159,0.0504357971300455,2.3435384859281303
419,1.515,0.0,2.226382124441058,0.0758176117133875,2.1379699593458614,0.2260990880973165,2.131618163499937,1.0859719359276072,2.1617286945987506,0.2888974349492695,1.8892502866200225,0.048815139061649,0.0504470657959645,2.3545861322698274
420,1.515,0.0,2.2247986283836703,0.0750268992442014,2.1367844404932352,0.2256847886277621,2.139156237943465,1.083259500692079,2.15953213492727,0.2909639148794141,1.88915363939697,0.048663472474245,0.050472,2.365606
421,1.515,0.0,2.223224113093394,0.0742526744887103,2.135607565854743,0.2252833642676344,2.1466406607126167,1.0805470654565512,2.1575493822237233,0.2931202175429048,1.889057705266602,0.0485128118920822,0.0505093317421519,2.376597837118649
422,1.515,0.0,2.2216585707724636,0.0734945946011066,2.134439385133628,0.2248946207859432,2.1540719397510464,1.077834630221023,2.155784979313524,0.2953567074353145,1.888962477227628,0.0483631470331018,0.0505576341165907,2.38755764078645
423,1.515,0.0,2.220101991022723,0.0727523244675351,2.1332799446046087,0.2245183654023732,2.1614505770054517,1.0751221949854952,2.154243170983885,0.2976632437342405,1.8888679483641588,0.0482144677563359,0.0506154404910295,2.398480470454252
424,1.515,0.0,2.218554360991332,0.0720255364882533,2.1321292872165856,0.2241544068188038,2.1687770685103382,1.072409759749967,2.152927836089956,0.3000291780033063,1.8887741118441168,0.0480667640589462,0.0506812842331815,2.409361385572901
425,1.515,0.0,2.217015665497468,0.0713139104018634,2.1309874526772163,0.2238025552550323,2.176051904471382,1.069697324514439,2.151842418579111,0.3024433579364244,1.88868096091814,0.0479200260739936,0.0507536987107595,2.4201954455932433
