Wavelength_nm,R_front,T_front,R_stack,R_total,d_gap_front_nm,ensemble_id,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
400.0,0.04193131469631514,0.9580686853036848,0.075565605991973,0.11151312689193181,0.0,nominal,0.0,0.0
401.0,0.04193131469631514,0.9580686853036848,0.0741024107284254,0.11016159780070853,0.0,nominal,0.0,0.0
402.0,0.04193131469631514,0.9580686853036848,0.07260342701290078,0.10877718401448624,0.0,nominal,0.0,0.0
403.0,0.04193131469631514,0.9580686853036848,0.07107142318917542,0.10736245426738072,0.0,nominal,0.0,0.0
404.0,0.04193131469631514,0.9580686853036848,0.06950917574250852,0.10591998375687839,0.0,nominal,0.0,0.0
405.0,0.04193131469631514,0.9580686853036848,0.06791946462475479,0.1044523497555901,0.0,nominal,0.0,0.0
406.0,0.04193131469631514,0.9580686853036848,0.06630506870884345,0.10296212735172112,0.0,nominal,0.0,0.0
407.0,0.04193131469631514,0.9580686853036848,0.0646687613333087,0.10145188528207946,0.0,nominal,0.0,0.0
408.0,0.04193131469631514,0.9580686853036848,0.06301330593405595,0.09992418185510182,0.0,nominal,0.0,0.0
409.0,0.04193131469631514,0.9580686853036848,0.061341451788600405,0.0983815609872038,0.0,nominal,0.0,0.0
410.0,0.04193131469631514,0.9580686853036848,0.059655929859708696,0.09682654834033977,0.0,nominal,0.0,0.0
411.0,0.04193131469631514,0.9580686853036848,0.05795944872170081,0.09526164754522956,0.0,nominal,0.0,0.0
412.0,0.04193131469631514,0.9580686853036848,0.056254690578993086,0.09368933651895077,0.0,nominal,0.0,0.0
413.0,0.04193131469631514,0.9580686853036848,0.05454430740093643,0.09211206389888324,0.0,nominal,0.0,0.0
414.0,0.04193131469631514,0.9580686853036848,0.052830917147317406,0.09053224556911038,0.0,nominal,0.0,0.0
415.0,0.04193131469631514,0.9580686853036848,0.051117100087205894,0.08895226128146884,0.0,nominal,0.0,0.0
416.0,0.04193131469631514,0.9580686853036848,0.04940539523415876,0.08737445139212924,0.0,nominal,0.0,0.0
417.0,0.04193131469631514,0.9580686853036848,0.047698296898054035,0.08580111371357699,0.0,nominal,0.0,0.0
418.0,0.04193131469631514,0.9580686853036848,0.04599825134289715,0.08423450047175432,0.0,nominal,0.0,0.0
419.0,0.04193131469631514,0.9580686853036848,0.0443076535611709,0.08267681537766453,0.0,nominal,0.0,0.0
420.0,0.04193131469631514,0.9580686853036848,0.04262884418876828,0.08113021083510771,0.0,nominal,0.0,0.0
421.0,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961,0.0,nominal,0.0,0.0
422.0,0.04193131469631514,0.9580686853036848,0.039315663808668945,0.07807858058907885,0.0,nominal,0.0,0.0
423.0,0.04193131469631514,0.9580686853036848,0.037685676328069205,0.07657757977085362,0.0,nominal,0.0,0.0
424.0,0.04193131469631514,0.9580686853036848,0.036076239104620336,0.07509570461582862,0.0,nominal,0.0,0.0
425.0,0.04193131469631514,0.9580686853036848,0.03448937940927897,0.07363481362675396,0.0,nominal,0.0,0.0
426.0,0.04193131469631514,0.9580686853036848,0.0329270545603039,0.07219670003925138,0.0,nominal,0.0,0.0
427.0,0.04193131469631514,0.9580686853036848,0.03139114987379933,0.07078309001452587,0.0,nominal,0.0,0.0
428.0,0.04193131469631514,0.9580686853036848,0.029883476779962292,0.06939564098679377,0.0,nominal,0.0,0.0
429.0,0.04193131469631514,0.9580686853036848,0.028405771107165405,0.06803594016679848,0.0,nominal,0.0,0.0
430.0,0.04193131469631514,0.9580686853036848,0.026959691544428174,0.06670550321054156,0.0,nominal,0.0,0.0
431.0,0.04193131469631514,0.9580686853036848,0.025546818288055405,0.06540577305796963,0.0,nominal,0.0,0.0
432.0,0.04193131469631514,0.9580686853036848,0.02416865186531391,0.06413811893449925,0.0,nominal,0.0,0.0
433.0,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936,0.0,nominal,0.0,0.0
434.0,0.04193131469631514,0.9580686853036848,0.02152203750207598,0.06170414228187235,0.0,nominal,0.0,0.0
435.0,0.04193131469631514,0.9580686853036848,0.020256184256374106,0.060540183000074396,0.0,nominal,0.0,0.0
436.0,0.04193131469631514,0.9580686853036848,0.019030226172979895,0.05941302542499455,0.0,nominal,0.0,0.0
437.0,0.04193131469631514,0.9580686853036848,0.017845254237306096,0.058323661126954335,0.0,nominal,0.0,0.0
438.0,0.04193131469631514,0.9580686853036848,0.01670227657975868,0.05727300550390278,0.0,nominal,0.0,0.0
439.0,0.04193131469631514,0.9580686853036848,0.015602218583759564,0.056261897950656184,0.0,nominal,0.0,0.0
440.0,0.04193131469631514,0.9580686853036848,0.01454592316941332,0.055291102186170185,0.0,nominal,0.0,0.0
441.0,0.04193131469631514,0.9580686853036848,0.013534151253202276,0.05436130673890744,0.0,nominal,0.0,0.0
442.0,0.04193131469631514,0.9580686853036848,0.012567582376539689,0.05347312558345805,0.0,nominal,0.0,0.0
