Wavelength_nm,R_glass_1mm_pvk_700nm,T_glass_1mm_pvk_700nm,A_glass_1mm_pvk_700nm,R_pvk_700nm_glass_1mm,T_pvk_700nm_glass_1mm,A_pvk_700nm_glass_1mm
400.0,0.14499970658749683,1.2119694217951442e-11,0.8550002934003834,0.2214117513949905,1.2119694217951442e-11,0.7785882485928898
401.0,0.14471530047444864,1.364817858563946e-11,0.8552846995119032,0.2214875016659383,1.364817858563946e-11,0.7785124983204135
402.0,0.14444236801279456,1.5360615376468e-11,0.8555576319718449,0.22157092183530325,1.5360615376467997e-11,0.7784290781493362
403.0,0.1441805622486143,1.7278066421102957e-11,0.8558194377341076,0.2216617062601054,1.7278066421102973e-11,0.7783382937226165
404.0,0.14392954723429008,1.9423879650415495e-11,0.856070452746286,0.22175956018695733,1.9423879650415508e-11,0.7782404397936188
405.0,0.14368899764498533,2.182392335505445e-11,0.8563110023331908,0.2218641993454854,2.182392335505445e-11,0.7781358006326907
406.0,0.14345859840994019,2.4506842994910378e-11,0.856541401565553,0.22197534955818402,2.4506842994910385e-11,0.7780246504173092
407.0,0.14323804435795262,2.7504342585221754e-11,0.856761955614543,0.222092746365979,2.750434258522174e-11,0.7779072536065167
408.0,0.14302703987644275,3.0851492854893196e-11,0.8569729600927057,0.22221613466881965,3.08514928548932e-11,0.7777838653003288
409.0,0.14282529858352788,3.4587068554270685e-11,0.857174701381885,0.22234526838064123,3.458706855427065e-11,0.7776547315847716
410.0,0.14263254301255904,3.8753917485133404e-11,0.8573674569486871,0.22247991009808069,3.875391748513343e-11,0.7775200898631655
411.0,0.1424485043085988,4.3399364035874424e-11,0.8575514956480018,0.22261983078234512,4.339936403587441e-11,0.7773801691742555
412.0,0.14227292193634075,4.857565023082579e-11,0.8577270780150835,0.2227648094536761,4.857565023082577e-11,0.7772351904977483
413.0,0.1421055433989952,5.4340417545469015e-11,0.8578944565466644,0.22291463289786073,5.434041754546903e-11,0.7770853670477988
414.0,0.1419461239676882,6.075723299999875e-11,0.8580538759715545,0.2230690953842795,6.075723299999879e-11,0.7769309045549632
415.0,0.14179442642093865,6.78961633235666e-11,0.8582055735111652,0.22322799839500032,6.789616332356665e-11,0.7767720015371036
416.0,0.14165022079380254,7.583440128181126e-11,0.858349779130363,0.2233911503644479,7.583440128181126e-11,0.7766088495597177
417.0,0.14151328413628558,8.465694858228772e-11,0.8584867157790574,0.2235583664292004,8.465694858228777e-11,0.7764416334861426
418.0,0.14138340028064958,9.445736011761261e-11,0.8586165996248931,0.22372946818748984,9.445736011761259e-11,0.7762705317180528
419.0,0.14126035961725,1.0533855467596472e-10,0.8587396402774115,0.22390428346799626,1.0533855467596476e-10,0.7760957164266652
