Wavelength,R_measured_raw,R_measured_smooth,R_fit,Residual
850.2128906482149,0.10981326001508523,0.10281804154037572,0.1092433162895893,0.006425274749213589
850.6312442732617,0.09283884061381367,0.10272925364832737,0.1093065038317484,0.006577250183421035
851.0495858151403,0.10962292384323016,0.10266733819387584,0.10937137316076996,0.006704034966894118
851.4679152686883,0.09909496508372995,0.10263135276103051,0.1094379950662121,0.00680664230518159
851.8862326287436,0.10462891988076746,0.10262035493380077,0.10950630710927307,0.006885952175472304
852.3045378901445,0.10040267076194642,0.10263340229619601,0.10957637673830337,0.006942974442107355
852.722831047731,0.10316794178959512,0.10266955243222563,0.10964817538347502,0.006978622951249389
853.1411120963425,0.10014957496981426,0.102727862925899,0.10972171584492876,0.006993852919029764
853.5593810308197,0.10335725916437857,0.10280739136122552,0.10979703169581814,0.006989640334592623
853.9776378460035,0.10213132136538189,0.10290719532221458,0.10987407789537437,0.006966882573159791
854.3958825367362,0.10341141954916266,0.10302633239287555,0.10995293997167088,0.006926607578795332
854.8141150978596,0.10270579618981122,0.10316386015721785,0.11003355106339677,0.006869690906178921
855.2323355242166,0.10260362135076773,0.10331883619925085,0.1101159585111935,0.006797122311942655
855.6505438106507,0.10305755263939474,0.10349031810298394,0.11020015976991628,0.006709841666932337
856.0687399520069,0.10405888966575667,0.10367736345242652,0.11028613831188376,0.006608774859457239
856.486923943129,0.10421755786352387,0.10387902983158796,0.1103739545952964,0.006494924763708443
856.9050957788621,0.10373303641650351,0.10409437482447766,0.11046354638081614,0.006369171556338482
857.3232554540532,0.10558084356934419,0.10432245601510501,0.11055498191896675,0.006232525903861738
857.7414029635479,0.10491380871580394,0.1045623309874794,0.11064822192617674,0.006085890938697339
858.1595383021939,0.10521414417281287,0.1048130573256102,0.11074328387608241,0.005930226550472206
858.5776614648387,0.10594797706517294,0.10507369261350684,0.11084019169239602,0.005766499078889181
858.9957724463308,0.10527460646478437,0.10534329443517867,0.11093889924969937,0.005595604814520691
859.4138712415192,0.10601440236570621,0.1056209203746351,0.11103949316061726,0.005418572785982165
859.8319578452531,0.10615788949743854,0.1059056280158855,0.11114189552179882,0.005236267505913314
860.2500322523836,0.1062748707138239,0.10619647494293928,0.11124615793794716,0.005049682995007881
860.6680944577603,0.10618684435674876,0.10649251873979557,0.11135226765040511,0.004859748910609543
861.0861444562352,0.10689713959840608,0.1070163481571241,0.11146021163384812,0.004443863476724014
861.5041822426604,0.10793344923010655,0.10703519859423687,0.11157004089698822,0.004534842302751349
861.922207811888,0.10786583956655205,0.10752939775925975,0.11168169274025881,0.004152294980999061
862.3402211587721,0.10834304426266644,0.10771148778405311,0.11179523775851584,0.00408374997446273
862.7582222781655,0.10829761772140711,0.10807472427773523,0.11191062518689215,0.0038359009091569196
863.1762111649239,0.1080318366345045,0.10829966537498782,0.1120278758350404,0.003728210460052575
863.594187813901,0.10837852113468013,0.10859277433815646,0.11214700412919285,0.0035542297910363813
864.0121522199531,0.10856168627209373,0.10880385742248817,0.11226796592068311,0.003464108498194937
864.4301043779367,0.1088750722856725,0.10909048518256505,0.11239084180414696,0.0033003566215819152
864.8480442827084,0.10932605750451822,0.10935101269902897,0.11251555034615374,0.0031645376471247655
865.2659719291254,0.109834618398708,0.10963083677586012,0.11264214476258996,0.0030113079867298415
865.6838873120463,0.10975377198632562,0.10988701610317116,0.11277060260831683,0.002883586505145669
866.1017904263293,0.11010391047711775,0.1101212316238535,0.11290091428488647,0.00277968266103297
866.5196812668339,0.11079628575187475,0.11037049601200179,0.11303312317051069,0.002662627158508901
866.9375598284208,0.11042543639248308,0.11062913880417237,0.11316716423924535,0.002538025435072977
867.3554261059496,0.11077501399379058,0.11089247020142905,0.11330310780047352,0.002410637599044474
867.7732800942816,0.11070649888527352,0.11113970782341322,0.11344089413945035,0.0023011863160371376
868.1911217882789,0.1117235295854681,0.11143120460225295,0.11358054863170558,0.0021493440294526323
868.6089511828035,0.11147435200357463,0.11167604850740821,0.11372207708541578,0.0020460285780075638
869.0267682727188,0.11179231389847041,0.11192986650092217,0.11386543643696456,0.0019355699360423945
869.4445730528876,0.11218862001955456,0.11220026026862469,0.1140106980749852,0.001810437806360518
869.8623655181754,0.11253715935796037,0.1124356054156497,0.11415778087781252,0.0017221754621628144
870.2801456634464,0.11280954870407672,0.11270073489229869,0.11430674147570612,0.0016060065834074266
870.6979134835656,0.11329905806646108,0.11295026048526695,0.1144575470550421,0.0015072865697751542
871.1156689733992,0.11333299328142565,0.1132015350620452,0.1146101890218577,0.001408653959812503
871.5334121278146,0.11304671023700182,0.11343920776221501,0.1147647021911366,0.0013254944289215892
871.9511429416784,0.11326323882154073,0.1136974658067831,0.11492102146942033,0.001223555662637238
872.3688614098588,0.11394781429223297,0.11397417639198258,0.11507922042264582,0.0011050440306632353
872.7865675272242,0.11471164520373846,0.1142453006735249,0.11523922812411413,0.0009939274505892381
873.2042612886438,0.11425254840266251,0.11452118264913416,0.11540107184043255,0.0008798891912983886
873.6219426889875,0.1149278390268359,0.11479279466788557,0.1155647491298494,0.0007719544619638335
874.039611723126,0.11546620164209849,0.11504935084601085,0.11573022026908794,0.0006808694230770879
874.4572683859288,0.11521711685756794,0.11529560472150308,0.11589755372779947,0.0006019490062963984
874.8749126722695,0.11579202952993105,0.11552436124452588,0.11606666264286747,0.0005423013983415909
875.2925445770186,0.11550233588372914,0.11576846679860325,0.1162376023041885,0.00046913550558524975
875.7101640950502,0.11611546352045486,0.11601082470573335,0.11641033259955036,0.0003995078938170138
876.127771221237,0.11622687390081407,0.1162605450141306,0.11658484968038008,0.00032430466624946974
876.5453659504534,0.1167656548577808,0.11650283301312762,0.11676118305998333,0.0002583500468557043
876.9629482775741,0.11656585549594958,0.11673933177592657,0.11693926337853107,0.0001999316026044945
877.3805181974748,0.11718527680932447,0.11700810316407777,0.1171191639728225,0.00011106080874473401
877.7980757050307,0.11719519161309948,0.11725318715287227,0.11730080641897002,4.761926609775369e-05
878.2156207951189,0.11712885578478126,0.11750410593314504,0.11748422367650845,-1.9882256636599704e-05
878.633153462616,0.11740147729233491,0.11774321170570035,0.11766940588444276,-7.380582125758595e-05
879.0506737024001,0.11838620704508437,0.1179974622083899,0.11785631201112244,-0.00014115019726745892
879.46818150935,0.11841406637534989,0.11823360517924156,0.11804500168643889,-0.0001886034928026692
879.8856768783446,0.11864296180341723,0.11849491182276664,0.1182353896802783,-0.0002595221424883387
880.3031598042635,0.1191983904671512,0.11874853890967528,0.11842753558284026,-0.00032100332683501764
880.7206302819864,0.11889550136442688,0.1190066906228954,0.11862138957879019,-0.00038530104410521016
881.1380883063952,0.11955615530934978,0.11927127788023148,0.11881694830544279,-0.0004543295747886922
881.5555338723703,0.11959353680930354,0.11954619985031147,0.11901423451150067,-0.0005319653388107942
881.9729669747945,0.11987797199183005,0.11981413195264082,0.1192131783705272,-0.0006009535821136225
882.3903876085514,0.11977655646151494,0.12007551066411194,0.11941385696512885,-0.0006616536989830918
882.8077957685231,0.12017442486267779,0.1203411096492388,0.11961618162094394,-0.0007249280282948661
883.2251914495943,0.12033835454533717,0.12064070008955995,0.11982018721224712,-0.000820512877312829
883.642574646649,0.12069173035745905,0.12094566070511041,0.12002585728074443,-0.0009198034243659836
884.0599453545734,0.1208231568742154,0.12122253453388442,0.12023315304273145,-0.000989381491152963
884.4773035682528,0.12100350620550568,0.1215322270322896,0.12044213136278968,-0.001090095669499913
884.8946492825736,0.12162184236746403,0.121839019008281,0.12065270267349365,-0.0011863163347873434
885.3119824924237,0.1224079549780828,0.1221208735596656,0.1208649281689869,-0.0012559453906786922
885.7293031926896,0.12221185179472387,0.12242369735067889,0.12107875068335415,-0.0013449466673247368
886.1466113782615,0.12273704540257067,0.12272352826676662,0.12129416811743274,-0.0014293601493338831
886.5639070440267,0.1230879252303328,0.12303311822605474,0.1215111974709422,-0.001521920755112538
886.9811901848756,0.12335067082453675,0.12334948555842898,0.12172976836700125,-0.0016197171914277275
887.3984607956985,0.12399999351110458,0.12366227711092191,0.12194996462859886,-0.0017123124823230501
887.8157188713863,0.12373541269610464,0.12397321499526548,0.12217168527128498,-0.0018015297239804967
888.2329644068301,0.12426062864743571,0.12428415418468894,0.12239496642504837,-0.0018891877596405732
888.6501973969224,0.12447000049670894,0.12461069600689605,0.12261978611271676,-0.001990909894179285
889.0674178365563,0.12483789637983066,0.12491725009584975,0.1228461076948939,-0.00207114240095585
889.4846257206248,0.12545943767658155,0.12522384670964815,0.12307398599055781,-0.0021498607190903324
889.9018210440228,0.126027056218613,0.12554817023734624,0.12330332716072523,-0.0022448430766210115
890.3190038016432,0.12560561998683523,0.12587126268673252,0.1235341946737295,-0.002337068013003013
890.7361739883829,0.1263726083305711,0.126182283449511,0.12376652446756277,-0.002415758981948221
891.153331599137,0.12675493975876578,0.1265420511259114,0.1240003166757365,-0.002541734450174915
891.5704766288027,0.12701045017706125,0.12685651808508921,0.12423558475730234,-0.002620933327786873
891.9876090722762,0.1273774910143338,0.1271841536009851,0.1244722550143414,-0.0027118985866436823
892.4047289244562,0.12790658310223002,0.1275036010112577,0.12471040898823911,-0.002793192023018601
892.8218361802411,0.12802779569736472,0.12783101959975865,0.12494994282658362,-0.002881076773175034
893.2389308345296,0.1281932031115842,0.1281325395658409,0.12519089824749308,-0.002941641318347815
893.656012882222,0.12776634967301828,0.12841871686272055,0.1254332478019157,-0.0029854690608048517
894.0730823182176,0.12844880676962553,0.12871329588905106,0.12567695313387436,-0.0030363427551766964
894.4901391374189,0.129095986387743,0.12899257687617652,0.12592206672905207,-0.00307051014712445
894.907183334726,0.12875160150678625,0.12927262406523743,0.1261684919529555,-0.0031041321122819154
895.324214905042,0.1295357591161001,0.12953625418428155,0.12641629206772625,-0.003119962116555297
895.7412338432695,0.13035615571210374,0.12982537940518837,0.126665398824094,-0.0031599805810943737
896.1582401443119,0.1304509580605381,0.13012282563643915,0.1269158151003598,-0.0032070105360793577
896.5752338030736,0.13041382146219482,0.13042183847958314,0.12716755176548786,-0.003254286714095278
896.9922148144592,0.13079887555635142,0.1307306984952018,0.1274205316854785,-0.0033101668097232917
897.4091831733742,0.13077694204934576,0.13104393242313017,0.12767484180341243,-0.0033690906197177406
897.826138874725,0.131559400180693,0.13133370329588126,0.1279303690576642,-0.003403334238217065
898.2430819134178,0.13153917171955545,0.13164018340035002,0.12818715581017154,-0.003453027590178487
898.66001228436,0.1322711280509597,0.1319242352454108,0.1284451711730326,-0.0034790640723781907
899.0769299824592,0.1318404618950948,0.13220113427215605,0.12870437785964986,-0.0034967564125061856
899.4938350026248,0.1324373638668137,0.1324743525339195,0.1289648268320382,-0.0035095257018813164
899.9107273397652,0.13267962414517467,0.13275252004264254,0.12922641896977496,-0.003526101072867577
900.327606988791,0.13310623152673567,0.13302266608810048,0.12948922146462644,-0.003533444623474047
900.7444739446125,0.13326105791170206,0.1333051366668002,0.1297531600444911,-0.0035519766223090776
901.1613282021405,0.13398084995452056,0.13357503376277272,0.13001823698776807,-0.0035567967750046448
901.5781697562865,0.1328900340910969,0.13385460118660672,0.1302844605517362,-0.0035701406348705167
901.994998601964,0.13405297329416843,0.13412812298951424,0.1305517529838036,-0.0035763700057106496
902.4118147340848,0.1342509534685529,0.1343987343435388,0.1308202060030466,-0.0035785283404921875
902.8286181475632,0.13455350518697484,0.13467869906080918,0.13108969900442435,-0.0035890000563848223
