Wavelength,R_measured_raw,R_measured_smooth,R_fit,Residual
850.2128906482149,0.0945760122593115,0.09375798646167241,0.101179503147005,0.007421516685332585
850.6312442732617,0.07955117456335181,0.09448449645149623,0.1010971015434908,0.006612605091994572
851.0495858151403,0.10064936421913011,0.09517617256637086,0.10103122225835753,0.005855049691986677
851.4679152686883,0.10237083169806813,0.09583461810017761,0.10098204103391523,0.005147422933737614
851.8862326287436,0.1043137738973857,0.09646143634679781,0.10094934207983569,0.004487905733037881
852.3045378901445,0.09556846984152584,0.09705823060011276,0.10093326059124885,0.003875029991136092
852.722831047731,0.09758380125631132,0.09762660415400377,0.1009336840927394,0.0033070799387356214
853.1411120963425,0.09675513982523803,0.09816816030235218,0.10095060238143916,0.002782442079086983
853.5593810308197,0.09882312114283204,0.09868450233903926,0.10098402482866657,0.002299522489627309
853.9776378460035,0.09795796236719227,0.09917723355794636,0.10103383922647811,0.001856605668531755
854.3958825367362,0.1008406571173371,0.09964795725295476,0.10110009907277681,0.0014521418198220476
854.8141150978596,0.09917489391830064,0.1000982767179458,0.10118267980445605,0.001084403086510255
855.2323355242166,0.0999067737580483,0.10052979524680078,0.10128156946098874,0.0007517742141879558
855.6505438106507,0.10152980548781625,0.10094411613340103,0.10139670440200697,0.0004525882686059468
856.0687399520069,0.1014869290635813,0.10134284267162783,0.10152802686084943,0.00018518418922160162
856.486923943129,0.10172324864671092,0.10172757815536251,0.10167547083095516,-5.210732440735777e-05
856.9050957788621,0.10211306451446325,0.10209992587848639,0.10183898412209097,-0.00026094175639541917
857.3232554540532,0.10206155770237695,0.10246148913488078,0.10201846919808696,-0.000443019936793812
857.7414029635479,0.10224709454526347,0.10281387121842697,0.10221387698152998,-0.0005999942368969946
858.1595383021939,0.10328883711388157,0.1031586754230063,0.10242512350435469,-0.0007335519186516121
858.5776614648387,0.10310751270015608,0.10349750504250008,0.10265209880943187,-0.0008454062330682105
858.9957724463308,0.10340934813114767,0.10383196337078962,0.10289479197703355,-0.00093717139375607
859.4138712415192,0.10331890253040407,0.10416365370175622,0.1031529791412081,-0.001010674560548111
859.8319578452531,0.10388728460617866,0.1044941793292812,0.10342670689805533,-0.0010674724312258743
860.2500322523836,0.10444701946714559,0.10482514354724587,0.1037157847634541,-0.0011093587837917723
860.6680944577603,0.10423058181882013,0.10515814964952139,0.10402014268453964,-0.0011380069649817443
861.0861444562352,0.1052754875366239,0.10556586175418606,0.10433972138073397,-0.0012261403734520893
861.5041822426604,0.10603377588714054,0.10546234281782046,0.1046742773869641,-0.0007880654308563689
861.922207811888,0.10638764172886093,0.10594447543870629,0.10502388867504188,-0.0009205867636644105
