Wavelength_nm,zone_label,R_front,T_front,R_stack,R_total
400.0,Zone 1,0.04193131469631514,0.9580686853036848,0.075565605991973,0.11151312689193181
401.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0741024107284254,0.11016159780070853
402.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07260342701290078,0.10877718401448624
403.0,Zone 1,0.04193131469631514,0.9580686853036848,0.07107142318917539,0.1073624542673807
404.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06950917574250846,0.10591998375687835
405.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06791946462475476,0.10445234975559008
406.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06630506870884348,0.10296212735172115
407.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0646687613333087,0.10145188528207946
408.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06301330593405592,0.0999241818551018
409.0,Zone 1,0.04193131469631514,0.9580686853036848,0.06134145178860043,0.09838156098720383
410.0,Zone 1,0.04193131469631514,0.9580686853036848,0.05965592985970874,0.0968265483403398
411.0,Zone 1,0.04193131469631514,0.9580686853036848,0.05795944872170079,0.09526164754522953
412.0,Zone 1,0.04193131469631514,0.9580686853036848,0.05625469057899307,0.09368933651895076
413.0,Zone 1,0.04193131469631514,0.9580686853036848,0.05454430740093642,0.09211206389888323
414.0,Zone 1,0.04193131469631514,0.9580686853036848,0.052830917147317455,0.09053224556911041
415.0,Zone 1,0.04193131469631514,0.9580686853036848,0.05111710008720588,0.08895226128146883
416.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04940539523415876,0.08737445139212924
417.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04769829689805402,0.08580111371357699
418.0,Zone 1,0.04193131469631514,0.9580686853036848,0.045998251342897124,0.08423450047175429
419.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04430765356117088,0.0826768153776645
420.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04262884418876829,0.08113021083510773
421.0,Zone 1,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961
422.0,Zone 1,0.04193131469631514,0.9580686853036848,0.039315663808668924,0.07807858058907882
423.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03768567632806918,0.07657757977085361
424.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0360762391046203,0.0750957046158286
425.0,Zone 1,0.04193131469631514,0.9580686853036848,0.034489379409278965,0.07363481362675395
426.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0329270545603039,0.07219670003925138
427.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03139114987379933,0.07078309001452587
428.0,Zone 1,0.04193131469631514,0.9580686853036848,0.029883476779962264,0.06939564098679374
429.0,Zone 1,0.04193131469631514,0.9580686853036848,0.028405771107165433,0.06803594016679851
430.0,Zone 1,0.04193131469631514,0.9580686853036848,0.026959691544428184,0.06670550321054157
431.0,Zone 1,0.04193131469631514,0.9580686853036848,0.025546818288055394,0.06540577305796963
432.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02416865186531391,0.06413811893449925
433.0,Zone 1,0.04193131469631514,0.9580686853036848,0.022826612138991415,0.06290383551837936
434.0,Zone 1,0.04193131469631514,0.9580686853036848,0.021522037502075955,0.06170414228187233
435.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0202561842563741,0.060540183000074396
436.0,Zone 1,0.04193131469631514,0.9580686853036848,0.019030226172979878,0.059413025424994534
437.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01784525423730611,0.05832366112695435
438.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0167022765797587,0.057273005503902796
439.0,Zone 1,0.04193131469631514,0.9580686853036848,0.015602218583759571,0.05626189795065619
440.0,Zone 1,0.04193131469631514,0.9580686853036848,0.014545923169413328,0.05529110218617019
441.0,Zone 1,0.04193131469631514,0.9580686853036848,0.013534151253202273,0.05436130673890743
442.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01256758237653967,0.05347312558345803
443.0,Zone 1,0.04193131469631514,0.9580686853036848,0.011646815497029091,0.052627098922546606
444.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01077236993868592,0.05182369411081118
445.0,Zone 1,0.04193131469631514,0.9580686853036848,0.009709855224663787,0.05084757836955717
446.0,Zone 1,0.04193131469631514,0.9580686853036848,0.008751434612354522,0.049967166900652164
447.0,Zone 1,0.04193131469631514,0.9580686853036848,0.007897218199153372,0.04918253775442271
448.0,Zone 1,0.04193131469631514,0.9580686853036848,0.007147156537167064,0.04849362493204491
449.0,Zone 1,0.04193131469631514,0.9580686853036848,0.006540504517579103,0.04793646197582202
450.0,Zone 1,0.04193131469631514,0.9580686853036848,0.006056557006928682,0.047492013950841294
451.0,Zone 1,0.04193131469631514,0.9580686853036848,0.00567276329250459,0.047139558061237444
452.0,Zone 1,0.04193131469631514,0.9580686853036848,0.005365204751815523,0.046857120721025845
453.0,Zone 1,0.04193131469631514,0.9580686853036848,0.005118537927674124,0.04663060676311488
454.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004899258600931871,0.04642924665834197
455.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004684133907068822,0.046231705274256615
456.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004483590731555028,0.04604755679209516
457.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004311790761986861,0.04588980418085682
458.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004165808834747517,0.04575576036607756
459.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0040442980791915795,0.04564418777075927
460.0,Zone 1,0.04193131469631514,0.9580686853036848,0.003950124747394619,0.04555771749947647
461.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0038710448972282953,0.04548510664158618
462.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0037994587184971918,0.045419376863444307
463.0,Zone 1,0.04193131469631514,0.9580686853036848,0.003755634585760291,0.045379138138161655
464.0,Zone 1,0.04193131469631514,0.9580686853036848,0.003755860563406599,0.04537934562739729
465.0,Zone 1,0.04193131469631514,0.9580686853036848,0.003790997513589398,0.04541160788814432
466.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0038537346746510075,0.04546921251649601
467.0,Zone 1,0.04193131469631514,0.9580686853036848,0.003949074207594424,0.04555675289413641
468.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0040761466652169,0.04567343140455828
469.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004224521022295297,0.04580967099006835
470.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004390466490338516,0.04596204664485086
471.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004589435104994185,0.04614474784959812
472.0,Zone 1,0.04193131469631514,0.9580686853036848,0.004837303858167225,0.04637235544777677
473.0,Zone 1,0.04193131469631514,0.9580686853036848,0.005121731878042002,0.0466335397353704
474.0,Zone 1,0.04193131469631514,0.9580686853036848,0.00541704496908035,0.04690472614929832
475.0,Zone 1,0.04193131469631514,0.9580686853036848,0.005734543458374896,0.04719629293838544
476.0,Zone 1,0.04193131469631514,0.9580686853036848,0.006116505525969271,0.04754706853110244
477.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0065672638207353255,0.047961037728217776
478.0,Zone 1,0.04193131469631514,0.9580686853036848,0.007044456744705035,0.048399301122628975
479.0,Zone 1,0.04193131469631514,0.9580686853036848,0.007523723277363718,0.048839486618931116
480.0,Zone 1,0.04193131469631514,0.9580686853036848,0.008015584907429079,0.04929125856710882
481.0,Zone 1,0.04193131469631514,0.9580686853036848,0.008535553696018976,0.04976886704136965
482.0,Zone 1,0.04193131469631514,0.9580686853036848,0.009097905873137883,0.05028542950636735
483.0,Zone 1,0.04193131469631514,0.9580686853036848,0.009710690796994556,0.05084834596267398
484.0,Zone 1,0.04193131469631514,0.9580686853036848,0.010371610982705818,0.05145551287085832
485.0,Zone 1,0.04193131469631514,0.9580686853036848,0.011072264304060154,0.05209921814611623
486.0,Zone 1,0.04193131469631514,0.9580686853036848,0.011789543086364236,0.05275823678941212
487.0,Zone 1,0.04193131469631514,0.9580686853036848,0.012507748162673334,0.05341814622909228
488.0,Zone 1,0.04193131469631514,0.9580686853036848,0.013262453694252212,0.05411163628831521
489.0,Zone 1,0.04193131469631514,0.9580686853036848,0.014092030998517297,0.054873975810708235
490.0,Zone 1,0.04193131469631514,0.9580686853036848,0.014960066666888516,0.05567171343876856
491.0,Zone 1,0.04193131469631514,0.9580686853036848,0.015809335568070956,0.05645226036950272
492.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01665723639498204,0.05723160542569479
493.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01755675818236289,0.05805845833086755
494.0,Zone 1,0.04193131469631514,0.9580686853036848,0.018511915550018212,0.05893652056707753
495.0,Zone 1,0.04193131469631514,0.9580686853036848,0.01949302411157738,0.05983851264416823
496.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02048157287142159,0.06074742006805825
497.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02147048420958623,0.061656736319458214
498.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02248046111141719,0.06258550053037362
499.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02356707467422664,0.06358482694708857
500.0,Zone 1,0.04193131469631514,0.9580686853036848,0.0247274626004268,0.06465210212123769
501.0,Zone 1,0.04193131469631514,0.9580686853036848,0.025853368472833975,0.06568776156151018
502.0,Zone 1,0.04193131469631514,0.9580686853036848,0.026886000318124888,0.06663770937781816
503.0,Zone 1,0.04193131469631514,0.9580686853036848,0.027910842357939968,0.06758057255892648
504.0,Zone 1,0.04193131469631514,0.9580686853036848,0.02901005628650437,0.06859194867417859
505.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03018157564386772,0.06966995507833125
506.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03140185782798806,0.07079294472894022
507.0,Zone 1,0.04193131469631514,0.9580686853036848,0.032631032923223405,0.07192423460382528
508.0,Zone 1,0.04193131469631514,0.9580686853036848,0.033828317087737966,0.07302628545425595
509.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03498128748241262,0.07408765204159383
510.0,Zone 1,0.04193131469631514,0.9580686853036848,0.036093941697725625,0.07511200303305238
511.0,Zone 1,0.04193131469631514,0.9580686853036848,0.037208822125607305,0.07613849957804408
512.0,Zone 1,0.04193131469631514,0.9580686853036848,0.03837981862617432,0.07721676701503233
513.0,Zone 1,0.04193131469631514,0.9580686853036848,0.039583744686930385,0.07832546696166867
514.0,Zone 1,0.04193131469631514,0.9580686853036848,0.040749737852046226,0.07939934125191637
515.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04186566724387335,0.08042720555315315
516.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04297164510830633,0.08144599874622929
517.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04408465343458486,0.0824713637599429
518.0,Zone 1,0.04193131469631514,0.9580686853036848,0.04519423256556858,0.08349366505510485
519.0,Zone 1,0.04193131469631514,0.9580686853036848,0.046301190677308895,0.0845136464714829
