Wavelength_nm,n_v1,k_v1,n_v2,k_v2,eps1_v1,eps2_v1,eps1_v2,eps2_v2,dn_v1_dlambda,dk_v1_dlambda,dn_v2_dlambda,dk_v2_dlambda
730.0,2.5522337366974153,0.2077854821546036,2.5522337366974153,0.2077854821546036,6.47072224014223,1.060634235101836,6.47072224014223,1.060634235101836,-0.0015956797643461584,-0.0001436050753320095,-0.0015956797643461584,-0.0001436050753320095
731.0,2.550638056933069,0.2076418770792716,2.550638056933069,0.2076418770792716,6.462639348358299,1.059238547782817,6.462639348358299,1.059238547782817,-0.001809120874105563,-3.437766972595735e-05,-0.001809120874105563,-3.437766972595735e-05
732.0,2.548615494949204,0.2077167268151517,2.548615494949204,0.2077167268151517,6.452294702496377,1.0587801370424528,6.452294702496377,1.0587801370424528,-0.0019221014315626839,-4.3755520389598956e-05,-0.0019221014315626839,-4.3755520389598956e-05
733.0,2.5467938540699437,0.2075543660384924,2.5467938540699437,0.2075543660384924,6.4430801202667976,1.0571963676244318,6.4430801202667976,1.0571963676244318,-0.0010400388934954652,-0.00014593935091034016,-0.0010400388934954652,-0.00014593935091034016
734.0,2.546535417162213,0.207424848113331,2.546535417162213,0.207424848113331,6.441817563246689,1.0564294442401803,6.441817563246689,1.0564294442401803,9.218563596058438e-05,0.0003133402082129977,9.218563596058438e-05,0.0003133402082129977
735.0,2.546978225341865,0.2081810464549184,2.546978225341865,0.2081810464549184,6.4437587322625305,1.0604651844991209,6.4437587322625305,1.0604651844991209,-0.0006093316388726677,0.0011458228447754487,-0.0006093316388726677,0.0011458228447754487
736.0,2.545316753884468,0.2097164938028819,2.545316753884468,0.2097164938028819,6.434656369831991,1.067589810484767,6.434656369831991,1.067589810484767,-0.002751753901261589,0.0013111225284817007,-0.002751753901261589,0.0013111225284817007
737.0,2.5414747175393417,0.2108032915118818,2.5414747175393417,0.2108032915118818,6.414655712179433,1.0715024715030466,6.414655712179433,1.0715024715030466,-0.0032714262197521826,0.0005770412870330921,-0.0032714262197521826,0.0005770412870330921
738.0,2.5387739014449635,0.2108705763769481,2.5387739014449635,0.2108705763769481,6.400906522676535,1.0707054317769054,6.400906522676535,1.0707054317769054,-0.0013853585986762784,-0.00015038180343734942,-0.0013853585986762784,-0.00015038180343734942
739.0,2.538704000341989,0.2105025279050071,2.538704000341989,0.2105025279050071,6.400706687098021,1.0688072193490854,6.400706687098021,1.0688072193490854,0.00029807258348846233,-0.0002884374735588474,0.00029807258348846233,-0.0002884374735588474
740.0,2.5393700466119404,0.2102937014298304,2.5393700466119404,0.2102937014298304,6.40417679276887,1.0680270528041318,6.40417679276887,1.0680270528041318,0.0003439816972241605,6.256207255216084e-05,-0.00045341473226412354,1.353782706020601e-06
741.0,2.5393919637364375,0.2106276520501114,2.537797170877461,0.21050523547041913,6.404147537681058,1.069732333913455,6.396102026353188,1.068439182063447,-3.9162003840464976e-05,0.0007152962383225048,-0.001391784647475136,-0.0001695476699206805
742.0,2.5392917226042595,0.2117242939064754,2.53658647731699,0.20995460608998903,6.403175275856312,1.075259493981889,6.3901900202890145,1.065136029316563,5.3687400242363736e-05,0.0013713283823816869,-0.0010335952793818493,-0.0009288289885970996
743.0,2.5394993385369222,0.2133703088148748,2.5357299803186972,0.20864757749322493,6.403530001745711,1.0837075161975867,6.386392721493269,1.0581478351408782,1.0919678359977425e-05,0.001723334273887947,-0.0006830344636592489,-0.001681383025657568
744.0,2.5393135619609795,0.2151709624542513,2.5352204083896717,0.2065918400386739,6.401814822875468,1.092773086200554,6.384662330744928,1.0475116981456412,0.008590745325123716,-0.01703058671816604,-0.0003396101558272857,-0.0024248665876996645
745.0,2.5566808291871697,0.1793091353785427,2.5350507600070427,0.2037978443178256,6.504465096302993,0.916872457840894,6.384948794463692,1.0332757602514016,0.017367267226190197,-0.03586182707570855,-3.2551647968226405e-06,-0.0031561552995369446
746.0,2.57404809641336,0.1434473083028342,2.535213898060078,0.2002795294396,6.605146472389913,0.7384805417450614,6.387197619004428,1.015502893064413,0.017367267226190197,-0.03586182707570855,0.00032571143810056213,-0.0038714493987910548
747.0,2.59141536363955,0.1075854812271256,2.535702182883244,0.1960549455202435,6.70385895113623,0.5575973379130553,6.3913480186159015,0.9942739066414737,0.01736726722619042,-0.03586182707570855,0.0006466229100725585,-0.004566379530483222
748.0,2.6087826308657407,0.0717236541514171,2.536507143880223,0.19114677037863356,6.800602532541943,0.3742228463448768,6.397331403129225,0.9696902971900733,0.015480261783636928,-0.03227564436813771,0.0009585034278316584,-0.005236112541626439
749.0,2.622375887206824,0.0430341924908502,2.537619189738907,0.18558272043699062,6.875003352080437,0.22570365742684506,6.405070206006353,0.9418765453297165,0.011706850015997361,-0.025103278952996,0.0012601066785606907,-0.005875457275817356
750.0,2.6321963308977354,0.0215170962454251,2.5390273572373445,0.17939585582699885,6.927994538960666,0.11327444357756278,6.4144770477117525,0.9109819714395131,0.007934633302842942,-0.01793091353785425,0.001549954450875246,-0.00647897036782813
751.0,2.63824515381251,0.0071723654151417,2.5407190986406576,0.17262477970133436,6.960286048789546,0.03784491659574008,6.425454223630462,0.8771821493716326,0.004163605304352558,-0.01075854812271255,0.0018263726410503445,-0.007041062038198279
752.0,2.6405235415064405,0.0,2.542680102519445,0.1653137317506023,6.972364573249715,0.0,6.437893473842986,0.840679872790987,0.00039079581355183635,-0.00358618270757085,0.0020875254541787847,-0.0075561018878267106
753.0,2.6390267454396135,0.0,2.544894149549015,0.15751257592568094,6.9644621631455985,0.0,6.451676020834062,0.801705665907321,-0.0014908524724284167,0.0,0.0023314589495002647,-0.008018524692563603
754.0,2.6375418365615837,0.0,2.5473430204184457,0.1492766823654751,6.956626939612652,0.0,6.4666729357765265,0.7605178298698285,-0.0014819606821157016,0.0,0.0025561436807710614,-0.008422936197802114
755.0,2.636062824075382,0.0,2.5500064369105573,0.1406667035300767,6.9488272124722785,0.0,6.482745706803258,0.7174019989213692,-0.0014760798788850948,0.0,0.0027595107054525503,-0.00876421891307061
756.0,2.6345896768038135,0.0,2.552862041829351,0.13174824453933387,6.941062765121223,0.0,6.499747004673926,0.6726701851242329,-0.0014702301499567305,0.0,0.002939490431473235,-0.009037637906624284
757.0,2.6331223637754686,0.0,2.5558854177735038,0.12259142771682814,6.933333382614511,0.0,6.517521610637587,0.6266592848909511,-0.0014644112903556827,0.0,0.0030940514625963367,-0.009238946600037247
758.0,2.631660854223102,0.0,2.5590501447545435,0.11327035133925938,6.925638851650268,0.0,6.535907470875731,0.5797290179822594,-0.0014586230967257308,0.0,0.003221239442404711,-0.009364492562794362
759.0,2.630205117582017,0.0,2.562327896658313,0.10386244259123942,6.917978960554633,0.0,6.554736843012397,0.5322592681332106,-0.0014528653673167025,0.0,0.00331921589692441,-0.009411323306883108
760.0,2.6287551234884687,0.0,2.5656885765483923,0.09444770472549316,6.910353499266875,0.0,6.573837502903002,0.48464679419082685,-0.0014471379019691533,0.0,0.0033862970759062083,-0.009377292081385644
761.0,2.627310841778079,0.0,2.5691004908101256,0.08510785842846813,6.902762259324637,0.0,6.593033984314547,0.43730128172075233,-0.0014414405021001553,0.0,0.003420992792777744,-0.009261163667070436
762.0,2.6258722424842684,0.0,2.572530562133948,0.07592537739135229,6.8952050338493605,0.0,6.612148830181186,0.3906407075616153,-0.001435772970687088,0.0,0.003422045263285378,-0.009062720170984397
763.0,2.6244392958367047,0.0,2.5759445813366963,0.06698241808649934,6.887681617531858,0.0,6.631003841785174,0.3450859938294942,-0.0014301351122563144,0.0,0.0033884679428390907,-0.008782866821044833
764.0,2.623011972259756,0.0,2.579307498019626,0.05835964374926262,6.880191806618014,0.0,6.649421321321722,0.3010549334084546,-0.0014245267328654165,0.0,0.0033195843625850596,-0.008423737760631062
765.0,2.621590242370974,0.0,2.5825837500618665,0.05013494256523721,6.872735398894701,0.0,6.667225313617593,0.25895537595853324,-0.0014189476400929824,0.0,0.0032150669642099228,-0.00798880184317656
766.0,2.62017407697957,0.0,2.585737631948046,0.0423820400629095,6.865312193675741,0.0,6.684242863952393,0.21917767181878964,-0.001413397643022174,0.0,0.003074975933500701,-0.0074829684267608484
767.0,2.6187634470849295,0.0,2.588733701928868,0.035169005711715516,6.857921991788142,0.0,6.700305320539591,0.18208638069849362,-0.0014078765522258507,0.0,0.0028997980326770367,-0.006912693168701281
768.0,2.617358323875118,0.0,2.5915372280134,0.028556653725506937,6.850564595558367,0.0,6.715249721707378,0.14801126247427757,-0.0014023841797583536,0.0,0.0026904854315024096,-0.006286083820145106
769.0,2.6159586787254128,0.0,2.5941146727918727,0.022596838071425304,6.843239808798807,0.0,6.728920318503259,0.11723757839957277,-0.0013969203391364093,0.0,0.0024484945371996414,-0.005613006020661166
770.0,2.6145644831968453,0.0,2.596434217087799,0.017330641684184606,6.835947436794386,0.0,6.741170292523147,0.08999574214581006,-0.0013914848453278061,0.0,0.002175824823179573,-0.004905189092831986
771.0,2.613175709034757,0.0,2.598466322438232,0.012786459885761332,6.8286872862893055,0.0,6.751863735289258,0.06645037079271644,-0.0013860775147389592,0.0,0.0018750576565982335,-0.00417633183684564
772.0,2.6117923281673674,0.0,2.6001843324009957,0.008977978010493326,6.821459165473917,0.0,6.760877958374454,0.046688795519050814,-0.001380698165201144,0.0,0.0015493951247593785,-0.003442208325087555
773.0,2.610414312704355,0.0,2.6015651126877506,0.0059020432355862225,6.814262883971749,0.0,6.768106201439673,0.030709099550551695,-0.0013753466159580618,0.0,0.001202698860374607,-0.0027207736967325667
774.0,2.6090416349354513,0.0,2.602589730121745,0.003536430617028192,6.807098252826653,0.0,6.7734607969936675,0.018407756010331358,-0.001370022687653183,0.0,0.0008395288656961597,-0.002032269952336712
775.0,2.6076742673290485,0.0,2.603244170419143,0.0018375033309127986,6.79996508449009,0.0,6.77687683440276,0.009566939668649,-0.00136472620231598,0.0,0.00046518233553727306,-0.0013993317484291504
776.0,2.6063121825308193,0.0,2.6035200947928194,0.0007377671201698915,6.7928631928085625,0.0,6.778316339689687,0.0038415830452794824,-0.001359456983349716,0.0,8.573247919030358e-05,-0.0008470921921041136
777.0,2.604955353362349,0.0,2.6034156353775235,0.00014331894670457137,6.785792393011161,0.0,6.777772949987834,0.0007462375733930382,-0.0013542148555212297,0.0,-0.0002919326587402793,-0.00036888356008494573
778.0,2.603603752819777,0.0,2.602936229475339,0.0,6.778752501697226,0.0,6.775277014715294,0.0,-0.0013489996449456143,0.0,-0.0006600713785738233,-7.165947335228569e-05
779.0,2.602257354072458,0.0,2.602095492620376,0.0,6.771743336824189,0.0,6.770900952715277,0.0,-0.0013438111790760043,0.0,-0.0010100495068570137,0.0
780.0,2.600916130461625,0.0,2.600916130461625,0.0,6.7647647176954715,0.0,6.7647647176954715,0.0,-0.0013386492866922506,0.0,-0.0012577185606512664,0.0
781.0,2.5995800554990733,0.0,2.5995800554990733,0.0,6.757816464948565,0.0,6.757816464948565,0.0,-0.0013335137978858214,0.0,-0.0013335137978858214,0.0
782.0,2.598249102865853,0.0,2.598249102865853,0.0,6.750898400543211,0.0,6.750898400543211,0.0,-0.0013284045440515868,0.0,-0.0013284045440515868,0.0
783.0,2.59692324641097,0.0,2.59692324641097,0.0,6.744010347749692,0.0,6.744010347749692,0.0,-0.0013233213578742742,0.0,-0.0013233213578744962,0.0
784.0,2.5956024601501047,0.0,2.595602460150104,0.0,6.737152131137275,0.0,6.7371521311372735,0.0,-0.0013182640733182538,0.0,-0.0013182640733182538,0.0
785.0,2.5942867182643337,0.0,2.5942867182643337,0.0,6.730323576562726,0.0,6.730323576562726,0.0,-0.0013132325256139943,0.0,-0.0013132325256137722,0.0
786.0,2.5929759950988767,0.0,2.5929759950988767,0.0,6.72352451115901,0.0,6.72352451115901,0.0,-0.0013082265512482927,0.0,-0.0013082265512482927,0.0
787.0,2.591670265161837,0.0,2.591670265161837,0.0,6.716754763324027,0.0,6.716754763324027,0.0,-0.0013032459879545044,0.0,-0.0013032459879547265,0.0
788.0,2.5903695031229677,0.0,2.590369503122967,0.0,6.71001416270953,0.0,6.710014162709528,0.0,-0.0012982906746985545,0.0,-0.0012982906746987766,0.0
789.0,2.58907368381244,0.0,2.5890736838124395,0.0,6.703302540210118,0.0,6.703302540210116,0.0,-0.0012933604516705,0.0,-0.001293360451670278,0.0
790.0,2.5877827822196267,0.0,2.5877827822196267,0.0,6.696619727952352,0.0,6.696619727952352,0.0,-0.0012884551602709848,0.0,-0.0012884551602707628,0.0
791.0,2.586496773491898,0.0,2.586496773491898,0.0,6.689965559283999,0.0,6.689965559283999,0.0,-0.0012835746431025807,0.0,-0.0012835746431028028,0.0
792.0,2.5852156329334215,0.0,2.585215632933421,0.0,6.683339868763351,0.0,6.6833398687633485,0.0,-0.001278718743961127,0.0,-0.001278718743961349,0.0
793.0,2.5839393360039757,0.0,2.5839393360039753,0.0,6.676742492148667,0.0,6.676742492148665,0.0,-0.0012738873078201873,0.0,-0.0012738873078201873,0.0
794.0,2.582667858317781,0.0,2.5826678583177807,0.0,6.670173266387755,0.0,6.670173266387752,0.0,-0.0012690801808235008,0.0,-0.0012690801808235008,0.0
795.0,2.5814011756423287,0.0,2.5814011756423283,0.0,6.663632029607597,0.0,6.663632029607594,0.0,-0.0012642972102760996,0.0,-0.0012642972102760996,0.0
796.0,2.580139263897229,0.0,2.5801392638972285,0.0,6.657118621104134,0.0,6.657118621104132,0.0,-0.0012595382446312087,0.0,-0.0012595382446309866,0.0
797.0,2.5788820991530663,0.0,2.5788820991530663,0.0,6.650632881332125,0.0,6.650632881332125,0.0,-0.0012548031334820298,0.0,-0.0012548031334818077,0.0
798.0,2.577629657630265,0.0,2.577629657630265,0.0,6.644174651895116,0.0,6.644174651895116,0.0,-0.0012500917275506396,0.0,-0.0012500917275508616,0.0
799.0,2.576381915697965,0.0,2.5763819156979646,0.0,6.637743775535516,0.0,6.6377437755355135,0.0,-0.0012454038786797739,0.0,-0.001245403878679996,0.0
800.0,2.5751388498729053,0.0,2.575138849872905,0.0,6.63134009612475,0.0,6.631340096124747,0.0,-0.0012407394398219473,0.0,-0.0012407394398217253,0.0
801.0,2.573900436818321,0.0,2.573900436818321,0.0,6.624963458653545,0.0,6.624963458653545,0.0,-0.0012360982650281294,0.0,-0.0012360982650279073,0.0
802.0,2.572666653342849,0.0,2.572666653342849,0.0,6.618613709222295,0.0,6.618613709222295,0.0,-0.0012314802094406385,0.0,-0.0012314802094410826,0.0
803.0,2.57143747639944,0.0,2.571437476399439,0.0,6.61229069503152,0.0,6.612290695031516,0.0,-0.001226885129284483,0.0,-0.001226885129284705,0.0
804.0,2.57021288308428,0.0,2.5702128830842796,0.0,6.605994264372407,0.0,6.605994264372405,0.0,-0.0012223128818544815,0.0,-0.0012223128818542595,0.0
805.0,2.568992850635731,0.0,2.5689928506357305,0.0,6.599724266617499,0.0,6.599724266617496,0.0,-0.0012177633255072706,0.0,-0.0012177633255072706,0.0
