wavelength_nm,n,k,region,quality_flag
400,2.258160748041458,0.0944932158948407,aligned_derived,medium_confidence
401,2.256409827671544,0.09331229451095631,aligned_derived,medium_confidence
402,2.2546673070990453,0.09215612730460129,aligned_derived,medium_confidence
403,2.252933264215697,0.09102418233425211,aligned_derived,medium_confidence
404,2.251207770103596,0.08991593994627615,aligned_derived,medium_confidence
405,2.2494908893427055,0.0888308925159498,aligned_derived,medium_confidence
406,2.2477826803513716,0.08776854410532764,aligned_derived,medium_confidence
407,2.2460831956835943,0.0867284101791084,aligned_derived,medium_confidence
408,2.244392482288377,0.0857100173773387,aligned_derived,medium_confidence
409,2.242710581789269,0.08471290323000476,aligned_derived,medium_confidence
410,2.2410375307587125,0.08373661586059143,aligned_derived,medium_confidence
411,2.2393733609550135,0.08278071374841088,aligned_derived,medium_confidence
412,2.2377180995416133,0.08184476551462369,aligned_derived,medium_confidence
413,2.2360717693324337,0.08092834963242146,aligned_derived,medium_confidence
414,2.2344343890087983,0.08003105418119257,aligned_derived,medium_confidence
415,2.2328059733085466,0.07915247665052029,aligned_derived,medium_confidence
416,2.231186533224312,0.07829222370767377,aligned_derived,medium_confidence
417,2.2295760762035908,0.07744991094241024,aligned_derived,medium_confidence
418,2.2279746063220807,0.07662516266171553,aligned_derived,medium_confidence
419,2.226382124441058,0.07581761171338759,aligned_derived,medium_confidence
420,2.2247986283836703,0.07502689924420147,aligned_derived,medium_confidence
421,2.223224113093394,0.07425267448871038,aligned_derived,medium_confidence
422,2.2216585707724636,0.0734945946011066,aligned_derived,medium_confidence
423,2.220101991022723,0.07275232446753513,aligned_derived,medium_confidence
424,2.218554360991332,0.07202553648825331,aligned_derived,medium_confidence
425,2.2170156654974678,0.07131391040186347,aligned_derived,medium_confidence
426,2.2154858871462353,0.07061713313927268,aligned_derived,medium_confidence
427,2.213965006454765,0.06993489862446503,aligned_derived,medium_confidence
428,2.212453001968067,0.06926690759364297,aligned_derived,medium_confidence
429,2.210949850360483,0.06861286745135674,aligned_derived,medium_confidence
430,2.209455526536118,0.06797249211973436,aligned_derived,medium_confidence
431,2.2079700037344847,0.06734550185384339,aligned_derived,medium_confidence
432,2.20649325362315,0.0667316230917843,aligned_derived,medium_confidence
433,2.20502524638061,0.06613058833314014,aligned_derived,medium_confidence
434,2.2035659507861847,0.06554213597642516,aligned_derived,medium_confidence
435,2.2021153343045627,0.0649660101644665,aligned_derived,medium_confidence
436,2.2006733631602393,0.06440196066142523,aligned_derived,medium_confidence
437,2.1992400024092444,0.06384974273186775,aligned_derived,medium_confidence
438,2.1978152160154854,0.06330911698513442,aligned_derived,medium_confidence
439,2.196398966918278,0.0627798492477949,aligned_derived,medium_confidence
440,2.194991217092841,0.062261710461728764,aligned_derived,medium_confidence
441,2.193591927614284,0.061754476552551854,aligned_derived,medium_confidence
442,2.192201058718967,0.061257928297509256,aligned_derived,medium_confidence
443,2.1908185698590024,0.0607718512204053,aligned_derived,medium_confidence
444,2.1894444197537775,0.06029603549437013,aligned_derived,medium_confidence
445,2.1880785664446103,0.05983027581147434,aligned_derived,medium_confidence
446,2.1867209673437955,0.05937437127411819,aligned_derived,medium_confidence
447,2.185371579278918,0.05892812530909183,aligned_derived,medium_confidence
448,2.184030358538167,0.05849134556155953,aligned_derived,medium_confidence
449,2.182697260914642,0.05806384378234277,aligned_derived,medium_confidence
450,2.1813722417459527,0.0576454357381434,aligned_derived,medium_confidence
451,2.1800552559514825,0.05723594113285423,aligned_derived,medium_confidence
452,2.178746258071079,0.05683518349903007,aligned_derived,medium_confidence
453,2.1774452023004915,0.05644299010523877,aligned_derived,medium_confidence
454,2.1761520425236767,0.056059191883111814,aligned_derived,medium_confidence
455,2.174866732344923,0.055683623342266474,aligned_derived,medium_confidence
456,2.1735892251204056,0.055316122474191556,aligned_derived,medium_confidence
457,2.172319473986784,0.05495653067554021,aligned_derived,medium_confidence
458,2.1710574318881672,0.0546046926838544,aligned_derived,medium_confidence
459,2.1698030516032363,0.05426045648780264,aligned_derived,medium_confidence
460,2.168556285770531,0.05392367324795348,aligned_derived,medium_confidence
461,2.1673170869118437,0.05359419723451345,aligned_derived,medium_confidence
462,2.1660854074550504,0.053271885759161135,aligned_derived,medium_confidence
463,2.1648611997561105,0.05295659909318622,aligned_derived,medium_confidence
464,2.1636444161194808,0.052648200401978984,aligned_derived,medium_confidence
465,2.162435008817677,0.05234655569182616,aligned_derived,medium_confidence
466,2.161232930109996,0.05205153373624835,aligned_derived,medium_confidence
467,2.1600381322602273,0.05176300600800571,aligned_derived,medium_confidence
468,2.1588505675534466,0.051480846625719494,aligned_derived,medium_confidence
469,2.1576701883121556,0.05120493229923558,aligned_derived,medium_confidence
470,2.15649694691131,0.05093514226007931,aligned_derived,medium_confidence
471,2.155330795792635,0.050671358205349674,aligned_derived,medium_confidence
472,2.154171687478628,0.05041346425325132,aligned_derived,medium_confidence
473,2.1530195745854415,0.05016134688296183,aligned_derived,medium_confidence
474,2.1518744098348366,0.04991489487612218,aligned_derived,medium_confidence
475,2.1507361460659884,0.04967399927094372,aligned_derived,medium_confidence
476,2.149604736247024,0.04943855331822302,aligned_derived,medium_confidence
477,2.1484801334847807,0.04920845242247632,aligned_derived,medium_confidence
478,2.147362291034611,0.048983594093826244,aligned_derived,medium_confidence
479,2.14625116231032,0.04876387791033902,aligned_derived,medium_confidence
480,2.145146700892837,0.048549205469239104,aligned_derived,medium_confidence
481,2.144048860537899,0.048339480336450746,aligned_derived,medium_confidence
482,2.1429575951841997,0.048134608007004295,aligned_derived,medium_confidence
483,2.141872858961455,0.047934495869480793,aligned_derived,medium_confidence
484,2.1407946061965406,0.047739053156332006,aligned_derived,medium_confidence
485,2.139722791419751,0.04754819090248948,aligned_derived,medium_confidence
486,2.1386573693718343,0.04736182191321103,aligned_derived,medium_confidence
487,2.1375982950095915,0.047179860724592335,aligned_derived,medium_confidence
488,2.1365455235105357,0.04700222356005538,aligned_derived,medium_confidence
489,2.1354990102781075,0.04682882829612579,aligned_derived,medium_confidence
490,2.1344587109474342,0.0466595944333804,aligned_derived,medium_confidence
491,2.1334245813886934,0.0464944430547701,aligned_derived,medium_confidence
492,2.1323965777109137,0.04633329678989748,aligned_derived,medium_confidence
493,2.131374656266618,0.04617607978731925,aligned_derived,medium_confidence
494,2.13035877365551,0.0460227176826626,aligned_derived,medium_confidence
495,2.1293488867266896,0.045873137561097156,aligned_derived,medium_confidence
496,2.1283449525818794,0.04572726792775056,aligned_derived,medium_confidence
497,2.1273469285792763,0.04558503868359909,aligned_derived,medium_confidence
