Wavelength,R_measured_raw,R_measured_smooth
850.2128906482149,0.1112143847864126,0.10518771954092793
850.6312442732617,0.09493689490323678,0.10518498137990624
851.0495858151403,0.10865280578861826,0.1051993461416737
851.4679152686883,0.10245272711378264,0.10523026526874447
851.8862326287436,0.11228249855842143,0.10527719020363273
852.3045378901445,0.10500803717811909,0.10533957238885265
852.722831047731,0.10423724966754597,0.10541686326691842
853.1411120963425,0.1033113252747878,0.10550851428034418
853.5593810308197,0.10787030688470015,0.10561397687164412
853.9776378460035,0.10242113782208954,0.10573270248333243
854.3958825367362,0.10652305020822996,0.10586414255792326
854.8141150978596,0.10572608097612911,0.10600774853793078
855.2323355242166,0.10550616070903356,0.10616297186586919
855.6505438106507,0.10613607265550545,0.10632926398425264
856.0687399520069,0.10695069504045877,0.10650607633559532
856.486923943129,0.10645443374823711,0.10669286036241139
856.9050957788621,0.10671626967916623,0.10688906750721502
857.3232554540532,0.10742082369344852,0.1070941492125204
857.7414029635479,0.10787398752064968,0.1073075569208417
858.1595383021939,0.1077429789899696,0.1075287420746931
858.5776614648387,0.10802122381939759,0.10775715611658873
858.9957724463308,0.10765273181542148,0.10799225048904282
859.4138712415192,0.10868793709098837,0.1082334766345695
859.8319578452531,0.10809153697183328,0.10848028599568298
860.2500322523836,0.10857174775676459,0.10873213001489741
860.6680944577603,0.10892514124616537,0.10898846013471644
861.0861444562352,0.11009828710294248,0.10945368178202752
861.5041822426604,0.11022132274038436,0.10941263292122218
861.922207811888,0.1102287787271226,0.1097572730632908
862.3402211587721,0.11047829217807838,0.10991817572256558
862.7582222781655,0.11063807524896056,0.11038187040919958
863.1762111649239,0.11061237775903429,0.11064598359903935
863.594187813901,0.11089065813101126,0.11087861602082094
864.0121522199531,0.11073907767534469,0.11108579388408096
864.4301043779367,0.11125029438679926,0.11142165427856879
864.8480442827084,0.11122711668294935,0.11159631827136031
865.2659719291254,0.11188198677802325,0.1118635446728828
865.6838873120463,0.11210512833555861,0.11211933205514725
866.1017904263293,0.11204609684702425,0.11234984561945731
866.5196812668339,0.11263450698109471,0.11259958449801864
866.9375598284208,0.11270634901069829,0.11286367502161573
867.3554261059496,0.11329759150690308,0.1130979521565762
867.7732800942816,0.11282452168318396,0.11333946058419972
868.1911217882789,0.1135080810121,0.11359185057423586
868.6089511828035,0.1140788574895252,0.11385180492375276
869.0267682727188,0.11428734123027781,0.1141092878631898
869.4445730528876,0.11456281590572576,0.11437291452697974
869.8623655181754,0.11477041966606467,0.11461335825585367
870.2801456634464,0.11481904776353974,0.11487228319204551
870.6979134835656,0.1151488602353089,0.11510838426716585
871.1156689733992,0.11572226768370289,0.11535403457627885
871.5334121278146,0.11506974373848874,0.11560753423591681
871.9511429416784,0.11585246814132254,0.11588423549862813
872.3688614098588,0.11610892989043331,0.1161530996124912
872.7865675272242,0.11647442449316285,0.1164339277115257
873.2042612886438,0.11669611660017608,0.11670960925838451
873.6219426889875,0.1171066850427462,0.11699635353526876
874.039611723126,0.11752915744521988,0.11725918608782576
874.4572683859288,0.11734806570349295,0.117515426640052
874.8749126722695,0.11769524402630176,0.11776046813405616
875.2925445770186,0.11772696555380018,0.11800459335081939
875.7101640950502,0.1185494119391538,0.11824628695957204
876.127771221237,0.11828062305070336,0.1184978823671061
876.5453659504534,0.11889553812065413,0.11876030027174451
876.9629482775741,0.11884578279135412,0.11899553197882157
877.3805181974748,0.1192214790740272,0.11926486510266934
877.7980757050307,0.11981383432734344,0.11951552229136501
878.2156207951189,0.11984518740881811,0.11976371003505686
878.633153462616,0.12023015259826535,0.11998198418887439
879.0506737024001,0.12056107522174725,0.12022469327594106
879.46818150935,0.12062005032322003,0.1204838730634479
879.8856768783446,0.12072847504243314,0.12075826667894525
880.3031598042635,0.12112668759679661,0.1210438923384137
880.7206302819864,0.12156069927877225,0.12130908604655427
881.1380883063952,0.12176909263317744,0.12158985649172632
881.5555338723703,0.12187176587545101,0.12186817115593766
881.9729669747945,0.12189723490944193,0.12213899749081457
882.3903876085514,0.12231570398322116,0.12242046538262649
882.8077957685231,0.1228628378301355,0.12272661153499162
883.2251914495943,0.12256378402536643,0.1230276381885908
883.642574646649,0.12303351410499744,0.12333411383989644
884.0599453545734,0.12283472982004279,0.12364420365841752
884.4773035682528,0.12361107533729981,0.1239693673937339
884.8946492825736,0.12415933590289738,0.12429693320023809
885.3119824924237,0.12442387819965801,0.12461300083358101
885.7293031926896,0.12501703062639516,0.1249198713853534
886.1466113782615,0.12513920405456724,0.1252425905650875
886.5639070440267,0.1255266001526281,0.12556339909275266
886.9811901848756,0.12546406453132367,0.12587755539562243
887.3984607956985,0.1264063089981573,0.1261908505194073
887.8157188713863,0.12590494739760566,0.12651575788485026
888.2329644068301,0.12666238794368095,0.12683086910676497
888.6501973969224,0.12750458053194808,0.12717462006995078
889.0674178365563,0.1282719913841297,0.12750324148533726
889.4846257206248,0.12833896485135765,0.12784459140896925
889.9018210440228,0.12860432069819802,0.12817922727648454
890.3190038016432,0.12853379888024316,0.12850495151354407
890.7361739883829,0.12860304876640133,0.12883748746018173
891.153331599137,0.12973378919978495,0.1291880309503475
891.5704766288027,0.1294822186791927,0.1295155618981875
891.9876090722762,0.13008108221421424,0.12984652222730947
892.4047289244562,0.13123968771492106,0.1301674142567507
892.8218361802411,0.1304695218963604,0.13048653620092757
893.2389308345296,0.1304794158453845,0.1307976569953905
893.656012882222,0.13101508158130037,0.1311154648733638
894.0730823182176,0.13133167287379927,0.13141610941315351
894.4901391374189,0.13156372673386318,0.1317128986522859
894.907183334726,0.131567357696176,0.13200618651645407
895.324214905042,0.13202804478099062,0.13229641253950492
895.7412338432695,0.13234434274447246,0.13261375966699462
896.1582401443119,0.1331188706278988,0.1329210960415569
896.5752338030736,0.1326813552395065,0.13323139961064379
896.9922148144592,0.13365758168298458,0.13351608222908837
897.4091831733742,0.13374550701371019,0.1338343489717011
897.826138874725,0.13452062829728254,0.13413178997324618
898.2430819134178,0.13418722574979183,0.13444486217227372
898.66001228436,0.13496169766332444,0.1347053619083152
899.0769299824592,0.13467241431590338,0.13496494804525797
899.4938350026248,0.13528302363122685,0.1352334818517872
899.9107273397652,0.13528601020772438,0.13551355236448254
900.327606988791,0.13590923826922063,0.13579975544285605
900.7444739446125,0.13636043452772906,0.13607468963633404
901.1613282021405,0.13625829959455835,0.13634701975297212
901.5781697562865,0.13595778640370113,0.13660018159994727
901.994998601964,0.13713586732134977,0.1368715025512823
902.4118147340848,0.13726385267808333,0.1371389387971014
902.8286181475632,0.1377111004559537,0.1374288697848086
903.2454088373138,0.13773742937668743,0.13773791938271382
903.6621867982515,0.13835243589530008,0.1380099425354523
904.0789520252911,0.1386603143855755,0.13827079051911223
904.4957045133493,0.13888497103761713,0.1385521406580169
904.9124442573434,0.13939058861292417,0.1388355948632113
905.3291712521903,0.13914184682240122,0.13910383715016572
905.7458854928086,0.1398274719093345,0.13935875592721958
906.1625869741166,0.1392815511707245,0.13961894934967942
906.5792756910342,0.13965630052681105,0.13987304022486494
906.9959516384816,0.13995279549696593,0.14013582065150618
907.4126148113791,0.1408153359701176,0.14037501538731342
907.829265204648,0.13985817365286798,0.1406385133296117
908.2459028132106,0.14015074154734444,0.14090552535824366
908.6625276319896,0.14022230126628743,0.14118626968460088
909.0791396559076,0.14120005424058021,0.1414540632673874
909.4957388798892,0.14174344277773912,0.14173939909792813
909.912325298859,0.14217357951989792,0.14200904495852018
910.3288989077421,0.14256667370175996,0.14227821625814788
910.7454597014645,0.14244041708517943,0.14254608191686205
911.1620076749518,0.14307607381994666,0.14282579268297074
911.578542823132,0.14305004443899932,0.14311264825120745
911.9950651409331,0.14367156849871882,0.14338948678304267
912.411574623283,0.14420507291236662,0.1436524922283806
912.8280712651107,0.14412190622562165,0.14393070538247543
913.2445550613464,0.14388618005486817,0.14422241863419877
913.6610260069201,0.14441966531299372,0.14452359241934162
914.0774840967636,0.1449687625260088,0.1448005933331591
914.4939293258072,0.14532533647259846,0.14508764086397433
914.910361688984,0.14508569217310233,0.14540033101357927
915.326781181227,0.14521470523850322,0.1457186954340988
915.74318779747,0.14586949136750688,0.14604935830599042
916.1595815326464,0.1462460819560535,0.14635295228985465
916.5759623816919,0.14643825639284938,0.14668152549245086
916.992330339542,0.1469008801654505,0.1469585581067503
917.4086854011323,0.14741089366347734,0.14725928069743824
917.8250275614005,0.14781471972254864,0.14753291139255922
918.2413568152829,0.14800501959930396,0.14784404650793884
918.6576731577189,0.14802580400495316,0.14811154463898282
919.0739765836468,0.14840132617136328,0.14837479955652363
919.4902670880061,0.1485611502841432,0.14860484500495527
919.9065446657365,0.14876445359209925,0.1488619489500548
920.322809311779,0.14901558047414545,0.14912092834931356
920.7390610210755,0.14966027857123212,0.14937507334010627
921.1552997885674,0.14974674031642884,0.1496232065179082
921.5715256091975,0.14999066396547756,0.14987221098624795
921.987738477909,0.15027000062163426,0.1501126038862358
922.4039383896469,0.15056043532732197,0.15034481660961543
922.820125339354,0.15067195046973825,0.1505938764835273
923.2362993219776,0.15132633122149436,0.15084950669397662
923.6524603324624,0.15104370148237917,0.15108494445927423
924.0686083657558,0.15115050579033437,0.15130439218446357
924.4847434168045,0.15201363282793748,0.15152336470754837
924.9008654805565,0.1523798982052078,0.1517523553185627
925.3169745519604,0.15188043366639598,0.15198236562671627
925.733070625965,0.15187538792404756,0.15218278917634073
926.149153697521,0.1519006999634019,0.15238973303546816
926.5652237615791,0.15249474189465898,0.15259071235996624
926.9812808130893,0.1522331118203776,0.15277802696885825
927.3973248470045,0.1533320201927594,0.15296911142055586
927.8133558582771,0.15272738422977555,0.15317374958098678
928.2293738418597,0.15377296503286866,0.1533771189578083
928.6453787927064,0.15325577032084545,0.15357394348570638
929.0613707057717,0.15353957561218148,0.15376136976145358
929.477349576011,0.1536028437294467,0.1539676665767135
929.8933153983794,0.15444739218747447,0.15416974129565733
930.309268167834,0.1542097542536899,0.15436168121996383
930.7252078793318,0.15443883653195983,0.15455583334849415
931.1411345278304,0.15484155531260008,0.15476291013478677
931.5570481082882,0.15531627386277086,0.15497445091567497
931.9729486156641,0.15498038281668355,0.1551710036852875
932.3888360449188,0.1557207753008728,0.15537595996761847
