ensemble_id,d_BEMA_front_nm,front_mean_deltaR_total,transition_max_abs_deltaR_total,rear_max_abs_deltaR_total,R_total_780nm
nominal,0.0,0.0,0.0,0.0,0.713074531188423
nominal,10.0,-0.0034506452244640897,0.06405924165583399,0.06418090164289592,0.704921640556386
nominal,20.0,-0.007686604310090538,0.12957924519442998,0.12895380628836584,0.687295906775464
more_absorptive,0.0,0.0,0.0,0.0,0.43092304870601816
more_absorptive,10.0,-0.0034506452244640897,0.045938936397154406,0.04750467696353,0.42297753264081295
more_absorptive,20.0,-0.007686604310090538,0.09133727491482779,0.09363709850318336,0.40812625181223183
less_absorptive,0.0,0.0,0.0,0.0,0.6148956784793825
less_absorptive,10.0,-0.0034506452244640897,0.05810493258440186,0.058123255298310306,0.6010249852427432
less_absorptive,20.0,-0.007686604310090538,0.11574492252896873,0.11485893383691004,0.5768833689685187
