Wavelength_nm,R_front,T_front,R_stack,R_total,d_PVK_bulk_nm,ensemble_id,d_BEMA_front_nm,Delta_R_stack_vs_pristine,Delta_R_total_vs_pristine
400.0,0.04193131469631514,0.9580686853036848,0.07556560599197297,0.11151312689193178,700.0,nominal,0.0,0.0,0.0
401.0,0.04193131469631514,0.9580686853036848,0.07410241072842542,0.11016159780070856,700.0,nominal,0.0,0.0,0.0
402.0,0.04193131469631514,0.9580686853036848,0.07260342701290078,0.10877718401448624,700.0,nominal,0.0,0.0,0.0
403.0,0.04193131469631514,0.9580686853036848,0.07107142318917542,0.10736245426738072,700.0,nominal,0.0,0.0,0.0
404.0,0.04193131469631514,0.9580686853036848,0.06950917574250846,0.10591998375687835,700.0,nominal,0.0,0.0,0.0
405.0,0.04193131469631514,0.9580686853036848,0.06791946462475479,0.1044523497555901,700.0,nominal,0.0,0.0,0.0
406.0,0.04193131469631514,0.9580686853036848,0.06630506870884348,0.10296212735172115,700.0,nominal,0.0,0.0,0.0
407.0,0.04193131469631514,0.9580686853036848,0.0646687613333087,0.10145188528207946,700.0,nominal,0.0,0.0,0.0
408.0,0.04193131469631514,0.9580686853036848,0.06301330593405595,0.09992418185510182,700.0,nominal,0.0,0.0,0.0
409.0,0.04193131469631514,0.9580686853036848,0.06134145178860042,0.0983815609872038,700.0,nominal,0.0,0.0,0.0
410.0,0.04193131469631514,0.9580686853036848,0.059655929859708724,0.0968265483403398,700.0,nominal,0.0,0.0,0.0
411.0,0.04193131469631514,0.9580686853036848,0.05795944872170081,0.09526164754522956,700.0,nominal,0.0,0.0,0.0
412.0,0.04193131469631514,0.9580686853036848,0.05625469057899306,0.09368933651895074,700.0,nominal,0.0,0.0,0.0
413.0,0.04193131469631514,0.9580686853036848,0.05454430740093642,0.09211206389888323,700.0,nominal,0.0,0.0,0.0
414.0,0.04193131469631514,0.9580686853036848,0.052830917147317406,0.09053224556911038,700.0,nominal,0.0,0.0,0.0
415.0,0.04193131469631514,0.9580686853036848,0.05111710008720587,0.08895226128146883,700.0,nominal,0.0,0.0,0.0
416.0,0.04193131469631514,0.9580686853036848,0.049405395234158773,0.08737445139212927,700.0,nominal,0.0,0.0,0.0
417.0,0.04193131469631514,0.9580686853036848,0.047698296898054035,0.08580111371357699,700.0,nominal,0.0,0.0,0.0
418.0,0.04193131469631514,0.9580686853036848,0.045998251342897124,0.08423450047175429,700.0,nominal,0.0,0.0,0.0
419.0,0.04193131469631514,0.9580686853036848,0.04430765356117088,0.0826768153776645,700.0,nominal,0.0,0.0,0.0
420.0,0.04193131469631514,0.9580686853036848,0.04262884418876828,0.08113021083510771,700.0,nominal,0.0,0.0,0.0
421.0,0.04193131469631514,0.9580686853036848,0.040964106545951035,0.07959678527061961,700.0,nominal,0.0,0.0,0.0
422.0,0.04193131469631514,0.9580686853036848,0.03931566380866895,0.07807858058907885,700.0,nominal,0.0,0.0,0.0
423.0,0.04193131469631514,0.9580686853036848,0.03768567632806918,0.07657757977085361,700.0,nominal,0.0,0.0,0.0
424.0,0.04193131469631514,0.9580686853036848,0.036076239104620315,0.07509570461582861,700.0,nominal,0.0,0.0,0.0
425.0,0.04193131469631514,0.9580686853036848,0.034489379409278965,0.07363481362675395,700.0,nominal,0.0,0.0,0.0
426.0,0.04193131469631514,0.9580686853036848,0.0329270545603039,0.07219670003925138,700.0,nominal,0.0,0.0,0.0
427.0,0.04193131469631514,0.9580686853036848,0.03139114987379933,0.07078309001452587,700.0,nominal,0.0,0.0,0.0
428.0,0.04193131469631514,0.9580686853036848,0.029883476779962274,0.06939564098679374,700.0,nominal,0.0,0.0,0.0
429.0,0.04193131469631514,0.9580686853036848,0.028405771107165422,0.0680359401667985,700.0,nominal,0.0,0.0,0.0
