Wavelength_nm,n_PVK,k_PVK,eps1,eps2,dn_dlambda,dk_dlambda,deps1_dlambda,deps2_dlambda
730,2.5522337366974153,0.2077854821546036,6.47072224014223,1.060634235101836,-0.0015956797643461584,-0.0001436050753320095,-0.008082891783931068,-0.0013956873190190677
731,2.550638056933069,0.2076418770792716,6.462639348358299,1.059238547782817,-0.001809120874105563,-3.437766972595735e-05,-0.009213768822926571,-0.0009270490296916511
732,2.548615494949204,0.2077167268151517,6.452294702496377,1.0587801370424528,-0.0019221014315626839,-4.3755520389598956e-05,-0.009779614045750673,-0.0010210900791925992
733,2.5467938540699437,0.2075543660384924,6.4430801202667976,1.0571963676244318,-0.0010400388934954652,-0.00014593935091034016,-0.005238569624844036,-0.0011753464011362569
734,2.546535417162213,0.207424848113331,6.441817563246689,1.0564294442401803,9.218563596058438e-05,0.0003133402082129977,0.0003393059978664681,0.0016344084373445256
735,2.546978225341865,0.2081810464549184,6.4437587322625305,1.0604651844991209,-0.0006093316388726677,0.0011458228447754487,-0.003580596707348782,0.0055801831222933584
736,2.545316753884468,0.2097164938028819,6.434656369831991,1.067589810484767,-0.002751753901261589,0.0013111225284817007,-0.014551510041548532,0.00551864350196285
737,2.5414747175393417,0.2108032915118818,6.414655712179433,1.0715024715030466,-0.0032714262197521826,0.0005770412870330921,-0.01687492357772813,0.001557810646069191
738,2.5387739014449635,0.2108705763769481,6.400906522676535,1.0707054317769054,-0.0013853585986762784,-0.00015038180343734942,-0.006974512540706357,-0.0013476260769805792
739,2.538704000341989,0.2105025279050071,6.400706687098021,1.0688072193490854,0.00029807258348846233,-0.0002884374735588474,0.001635135046167413,-0.0013391894863867826
740,2.5393700466119404,0.2102937014298304,6.40417679276887,1.0680270528041318,0.0003439816972241605,6.256207255216084e-05,0.0017204252915186125,0.00046255728218480563
741,2.5393919637364375,0.2106276520501114,6.404147537681058,1.069732333913455,-3.9162003840464976e-05,0.0007152962383225048,-0.0005007584562788381,0.0036162205888785603
742,2.5392917226042595,0.2117242939064754,6.403175275856312,1.075259493981889,5.3687400242363736e-05,0.0013713283823816869,-0.00030876796767342896,0.006987591142065819
743,2.5394993385369222,0.2133703088148748,6.403530001745711,1.0837075161975867,1.0919678359977425e-05,0.001723334273887947,-0.0006802264904219868,0.008756796109332554
744,2.5393135619609795,0.2151709624542513,6.401814822875468,1.092773086200554,0.008590745325123716,-0.01703058671816604,0.05046754727864089,-0.08341752917834633
745,2.5566808291871697,0.1793091353785427,6.504465096302993,0.916872457840894,0.017367267226190197,-0.03586182707570855,0.10166582475722263,-0.17714627222774632
