ag_boundary_mode,Wavelength_nm,R_stack,R_total,R_stack_step_749_750,R_total_step_749_750
finite_100nm_air_exit,720.0,0.0555657358463849,0.09305397240831192,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,721.0,0.05629187191379477,0.0937236267351181,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,722.0,0.056727439338743246,0.09412533361338371,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,723.0,0.05729095858381803,0.09464506729858443,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,724.0,0.0583040937409704,0.09557954357475534,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,725.0,0.05945434107774078,0.09664058324950554,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,726.0,0.060132114883517856,0.0972658402165928,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,727.0,0.060156113164845426,0.09728797966065232,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,728.0,0.06004314685386827,0.09718376378224577,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,729.0,0.06018453145919096,0.09731419681410929,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,730.0,0.060445227892547165,0.09755470391082097,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,731.0,0.06057195961508682,0.09767162294448276,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,732.0,0.06054539006912486,0.09764711054414063,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,733.0,0.06048477578279307,0.09759118952051304,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,734.0,0.060380687473297896,0.09749516125942509,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,735.0,0.06000691357553712,0.09715033736322852,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,736.0,0.05924945843222008,0.09645158280808197,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,737.0,0.058347113594160734,0.09561922516771454,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,738.0,0.057679688620725235,0.09500360728291754,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,739.0,0.05733338094963111,0.09468419443446158,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,740.0,0.05699767019798195,0.0943745644075238,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,741.0,0.0564009710276407,0.09382424321966018,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,742.0,0.05555278256297809,0.09304202705368951,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,743.0,0.05458984231843301,0.09215405212366945,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,744.0,0.053516817022472775,0.09116464697453741,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,745.0,0.06781117235704989,0.10435238060765126,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,746.0,0.09245743081991953,0.1271278794584753,0.11304154487543383,0.10701144532929407
finite_100nm_air_exit,747.0,0.13490496226570525,0.16646443856047285,0.11304154487543383,0.10701144532929407
