Wavelength_nm,Sample_Counts_Long_Mean,Sample_Counts_Short_Mean,Sample_N_Long,Sample_N_Short,Sample_W_Long,Sample_HDR_CountsPerMs,Ag_Counts_Long_Mean,Ag_Counts_Short_Mean,Ag_N_Long,Ag_N_Short,Ag_W_Long,Ag_HDR_CountsPerMs,Ag_Theory_Reflectance,Absolute_Reflectance
498.9335771462861,64895.0,7216.7001953125,32.4475,45.48492892621784,0.0,45.48492892621784,22912.75,12372.150390625,2291.275,2296.171207790001,1.0,2291.275,0.963820475435258,0.019133148933587717
499.3574373863413,64922.0,7404.5498046875,32.461,46.66889471390422,0.0,46.66889471390422,23364.80078125,12603.349609375,2336.480078125,2339.0799158638665,1.0,2336.480078125,0.9646470029033656,0.019267876424911654
499.78128762935273,64900.0,7620.10009765625,32.45,48.02745049291209,0.0,48.02745049291209,23744.19921875,12814.7998046875,2374.419921875,2378.3233646604513,1.0,2374.419921875,0.9654735108772379,0.01952865658626143
500.2051278699528,64897.0,7769.7001953125,32.4485,48.970339850248784,0.0,48.970339850248784,24176.69921875,13081.099609375,2417.669921875,2427.746458048233,1.0,2417.669921875,0.9658487180325118,0.019563439797148887
500.6289581027754,64912.0,7986.2001953125,32.456,50.33488137837301,0.0,50.33488137837301,24573.599609375,13265.5498046875,2457.3599609375,2461.9789248689344,1.0,2457.3599609375,0.9657427604743062,0.019781614441195434
501.05277832245406,64904.0,8166.7001953125,32.452,51.4725245461625,0.0,51.4725245461625,24956.75,13499.75,2495.675,2505.4445899600128,1.0,2495.675,0.9656368054193865,0.019915960279133824
501.4765885236226,64903.0,8334.650390625,32.4515,52.53106965544879,0.0,52.53106965544879,25451.75,13679.5498046875,2545.175,2538.813981832467,1.0,2545.175,0.9655308528690943,0.019928047574941318
501.9003887009168,64906.0,8580.2998046875,32.453,54.07933213511468,0.0,54.07933213511468,25878.19921875,13963.0498046875,2587.819921875,2591.429292579234,1.0,2587.819921875,0.9654249028247709,0.020175103194021042
502.324178848971,64894.0,8779.599609375,32.447,55.335465437854374,0.0,55.335465437854374,26278.849609375,14166.2998046875,2627.8849609375,2629.150851342127,1.0,2627.8849609375,0.9655620894244855,0.020331874652682644
502.7479589624216,64899.0,8970.9501953125,32.4495,56.54149694336303,0.0,56.54149694336303,26768.75,14446.75,2676.875,2681.200142965967,1.0,2676.875,0.9657739794812108,0.02039927397013922
503.1717290359048,64898.0,9168.5,32.449,57.78660046469756,0.0,57.78660046469756,27116.099609375,14640.0,2711.6099609375,2717.065782478534,1.0,2711.6099609375,0.9659858645179524,0.02058593972274134
503.5954890640572,64895.0,9404.650390625,32.4475,59.27499314317594,0.0,59.27499314317594,27619.0,14922.0,2761.9,2769.4027053377513,1.0,2761.9,0.9661977445320287,0.02073621951630691
504.019239041516,64893.0,9604.400390625,32.4465,60.5339639064222,0.0,60.5339639064222,28085.5,15150.650390625,2808.55,2811.838371493321,1.0,2808.55,0.966409619520758,0.020829468952622804
504.4429789629192,64893.0,9828.849609375,32.4465,61.94860723177747,0.0,61.94860723177747,28527.599609375,15420.5,2852.7599609375,2861.920279966546,1.0,2852.7599609375,0.9666214894814597,0.020990498960173316
504.86670882290514,64908.0,10062.7998046875,32.454,63.42313266834413,0.0,63.42313266834413,28961.80078125,15625.75,2896.180078125,2900.0130225795046,1.0,2896.180078125,0.9668333544114526,0.021172578517533458
505.29042861611214,64894.0,10249.75,32.447,64.6014296900293,0.0,64.6014296900293,29417.94921875,15849.4501953125,2941.794921875,2941.5299724577394,1.0,2941.794921875,0.967045214308056,0.02123618575674995
505.714138337179,64889.0,10471.5,32.4445,65.99906056236902,0.0,65.99906056236902,29860.5,16102.7001953125,2986.05,2988.5311274722676,1.0,2986.05,0.9672570691685894,0.021378763881193315
506.1378379807463,64905.0,10677.7998046875,32.4525,67.29931299072936,0.0,67.29931299072936,30360.80078125,16381.0,3036.080078125,3040.181323960441,1.0,3036.080078125,0.9673862162019253,0.021443580561714783
506.5615275414538,64902.0,10932.0498046875,32.451,68.9017826605935,0.0,68.9017826605935,30761.69921875,16634.94921875,3076.169921875,3087.3122483288007,1.0,3076.169921875,0.9673438472458545,0.021667111119911864
506.98520701394233,64895.0,11141.7001953125,32.4475,70.22315293493659,0.0,70.22315293493659,31228.30078125,16860.19921875,3122.830078125,3129.1168294424133,1.0,3122.830078125,0.9673014792986057,0.021751730966982644
507.4088763928525,64905.0,11368.25,32.4525,71.65103569098521,0.0,71.65103569098521,31691.150390625,17108.150390625,3169.1150390625,3175.134564744805,1.0,3169.1150390625,0.9672591123607147,0.021868918082156578
507.8325356728262,64886.0,11587.0498046875,32.443,73.03007227223955,0.0,73.03007227223955,32128.349609375,17370.099609375,3212.8349609375,3223.750224513426,1.0,3212.8349609375,0.9672167464327174,0.02198553917450223
508.2561848485058,64891.0,11845.650390625,32.4455,74.65996252031798,0.0,74.65996252031798,32611.5,17581.69921875,3261.15,3263.0214033534967,1.0,3261.15,0.9670847168181723,0.022140198614481722
508.6798239145338,64892.0,12046.75,32.446,75.92743951007202,0.0,75.92743951007202,33046.1484375,17905.94921875,3304.61484375,3323.1995850453454,1.0,3304.61484375,0.9668940792384597,0.02221553651036581
509.103452865553,64901.0,12274.599609375,32.4505,77.36351458701924,0.0,77.36351458701924,33555.3515625,18105.55078125,3355.53515625,3360.244023269253,1.0,3355.53515625,0.9667034462105011,0.022287823753814343
509.52707169620766,64898.0,12485.900390625,32.449,78.69528683154911,0.0,78.69528683154911,33987.30078125,18334.0,3398.730078125,3402.6423535492786,1.0,3398.730078125,0.9665128177367065,0.022378947921665903
509.95068040114126,64909.0,12698.599609375,32.4545,80.035873053184,0.0,80.035873053184,34485.1484375,18564.19921875,3448.51484375,3445.3654696981116,1.0,3448.51484375,0.9663221938194864,0.0224271734173279
510.3742789749982,64898.0,12939.900390625,32.449,81.55672726465951,0.0,81.55672726465951,34928.80078125,18836.94921875,3492.880078125,3495.9856672507767,1.0,3492.880078125,0.9666555650262483,0.022570847699423854
510.7978674124242,64906.0,13198.25,32.453,83.1850356746681,0.0,83.1850356746681,35329.25,19037.69921875,3532.925,3533.243246201089,1.0,3532.925,0.9670579740418029,0.022770014101669192
511.22144570806415,64899.0,13418.0,32.4495,84.57006108254477,0.0,84.57006108254477,35799.3515625,19366.150390625,3579.93515625,3594.201131468612,1.0,3579.93515625,0.9674603734226609,0.022854654987941446
511.6450138565648,64896.0,13642.75,32.448,85.98660015157905,0.0,85.98660015157905,36280.19921875,19609.69921875,3628.019921875,3639.4018273197858,1.0,3628.019921875,0.9678627631637365,0.022939021893449804
512.0685718525717,64904.0,13879.75,32.452,87.48034769044946,0.0,87.48034769044946,36697.1484375,19808.94921875,3669.71484375,3676.3810183825485,1.0,3669.71484375,0.9682308573336572,0.023081131818301192
512.492119690733,64887.0,14114.2001953125,32.4435,88.95802449313187,0.0,88.95802449313187,37194.8515625,20051.0,3719.48515625,3721.303688830402,1.0,3719.48515625,0.9684214538608298,0.02316150106620716
512.9156573656956,64887.0,14339.400390625,32.4435,90.37740102267273,0.0,90.37740102267273,37654.55078125,20329.44921875,3765.455078125,3772.981615362062,1.0,3765.455078125,0.968612045814563,0.023248355772063776
513.3391848721076,64901.0,14573.150390625,32.4505,91.85066468179069,0.0,91.85066468179069,38083.1015625,20581.19921875,3808.31015625,3819.7043824890407,1.0,3808.31015625,0.9688026331924484,0.023366050072932642
513.7627022046171,64888.0,14821.2998046875,32.444,93.41468399203539,0.0,93.41468399203539,38450.44921875,20777.849609375,3845.044921875,3856.201107043564,1.0,3845.044921875,0.9689932159920777,0.02354151821409298
514.186209357874,64891.0,15057.599609375,32.4455,94.90401838734134,0.0,94.90401838734134,38957.69921875,21018.599609375,3895.769921875,3900.8823629951835,1.0,3895.769921875,0.9691465523394684,0.02360917201675662
514.6097063265271,64908.0,15292.5498046875,32.454,96.38484655613952,0.0,96.38484655613952,39426.3984375,21260.349609375,3942.63984375,3945.7492108718357,1.0,3942.63984375,0.9692524265816317,0.023695100265962877
515.0331931052264,64889.0,15514.650390625,32.4445,97.78468707776743,0.0,97.78468707776743,39955.94921875,21502.400390625,3995.594921875,3990.671881319689,1.0,3995.594921875,0.9693582982763065,0.023723225130815994
515.4566696886229,64893.0,15717.650390625,32.4465,99.06414172076613,0.0,99.06414172076613,40376.1484375,21771.5,4037.61484375,4040.6145958491393,1.0,4037.61484375,0.9694641674221557,0.02378610625116364
515.880136071367,64898.0,15947.5,32.449,100.51282226217639,0.0,100.51282226217639,40788.5,21985.25,4078.85,4080.284869824876,1.0,4078.85,0.9695700340178417,0.023892572783987556
516.3035922481106,64898.0,16156.2998046875,32.449,101.82883152111553,0.0,101.82883152111553,41219.44921875,22226.94921875,4121.944921875,4125.142293111585,1.0,4121.944921875,0.9696151796124054,0.023953444948059885
516.7270382135054,64900.0,16413.400390625,32.45,103.44926767084667,0.0,103.44926767084667,41643.5,22470.849609375,4164.35,4170.408236123903,1.0,4164.35,0.9696363519106752,0.024087353491467026
517.150473962204,64884.0,16622.099609375,32.442,104.76464296355549,0.0,104.76464296355549,42065.1015625,22691.650390625,4206.51015625,4211.387078164812,1.0,4206.51015625,0.9696575236981102,0.024149668131960275
517.5738994888592,64905.0,16879.150390625,32.4525,106.38476520767742,0.0,106.38476520767742,42493.94921875,22979.650390625,4249.394921875,4264.837552574226,1.0,4249.394921875,0.9696786949744429,0.02427617159344308
517.9973147881248,64897.0,17095.0,32.4485,107.7452074978464,0.0,107.7452074978464,42911.19921875,23179.69921875,4291.119921875,4301.964999686477,1.0,4291.119921875,0.9696998657394063,0.024348075827970213
518.4207198546541,64903.0,17315.94921875,32.4515,109.13779126039134,0.0,109.13779126039134,43346.80078125,23399.5,4334.680078125,4342.758249802353,1.0,4334.680078125,0.9697841439709308,0.02441704983176491
518.8441146831024,64910.0,17592.25,32.455,110.87924109997006,0.0,110.87924109997006,43836.6015625,23625.05078125,4383.66015625,4384.618653487167,1.0,4383.66015625,0.9698688229366205,0.02453162773131741
519.2674992681236,64883.0,17773.25,32.4415,112.02003563387531,0.0,112.02003563387531,44261.3984375,23836.30078125,4426.13984375,4423.824947650322,1.0,4426.13984375,0.9699534998536248,0.02454830381607396
519.6908736043739,64883.0,18019.44921875,32.4415,113.57176338526615,0.0,113.57176338526615,44655.5,24155.19921875,4465.55,4483.009922555863,1.0,4465.55,0.9700381747208748,0.024670857129373683
520.1142376865096,64891.0,18235.349609375,32.4455,114.93252573605625,0.0,114.93252573605625,45090.25,24324.349609375,4509.025,4514.402869171988,1.0,4509.025,0.9700543049253962,0.024726141763731686
520.5375915091861,64883.0,18453.099609375,32.4415,116.30494567946988,0.0,116.30494567946988,45509.25,24547.900390625,4550.925,4555.892089006737,1.0,4550.925,0.9698849633963257,0.024786701161443946
520.9609350670613,64893.0,18643.30078125,32.4465,117.50373273591946,0.0,117.50373273591946,45880.6015625,24833.650390625,4588.06015625,4608.924981584827,1.0,4588.06015625,0.9697156259731755,0.024835159493054405
521.3842683547922,64875.0,18880.5,32.4375,118.99873589722661,0.0,118.99873589722661,46258.05078125,24987.599609375,4625.805078125,4637.4967134499175,1.0,4625.805078125,0.9695462926580832,0.024941557474125096
521.807591367037,64901.0,19089.599609375,32.4505,120.3166347448328,0.0,120.3166347448328,46706.80078125,25228.599609375,4670.680078125,4682.224367382795,1.0,4670.680078125,0.9693769634531852,0.02497113313071806
522.2309040984532,64885.0,19315.650390625,32.4425,121.7413722897776,0.0,121.7413722897776,47130.6015625,25424.44921875,4713.06015625,4718.572473403601,1.0,4713.06015625,0.969369271229536,0.025039431159928842
522.6542065437014,64896.0,19549.5,32.448,123.21526376011397,0.0,123.21526376011397,47631.25,25707.900390625,4763.125,4771.178722044653,1.0,4763.125,0.9694962619631105,0.025079488283895383
523.0774986974394,64881.0,19756.69921875,32.4405,124.52118495447549,0.0,124.52118495447549,47907.6015625,25860.25,4790.76015625,4799.453579326537,1.0,4790.76015625,0.9696232496092319,0.025202396292629204
523.5007805543278,64888.0,20006.349609375,32.444,126.09466451807941,0.0,126.09466451807941,48326.6015625,26117.849609375,4832.66015625,4847.261986718111,1.0,4832.66015625,0.9697502341662984,0.025302902850593622
523.9240521090273,64890.0,20186.19921875,32.445,127.22820844791363,0.0,127.22820844791363,48685.8515625,26322.19921875,4868.58515625,4885.187624101695,1.0,4868.58515625,0.9698772156327082,0.025345297781428792
524.3473133561988,64894.0,20436.94921875,32.447,128.80861855496744,0.0,128.80861855496744,49148.80078125,26526.349609375,4914.880078125,4923.076288093964,0.9526522809895713,4915.268149971562,0.9701604850171491,0.025423848310778156
524.7705642905038,64899.0,20690.5,32.4495,130.40668123627907,0.0,130.40668123627907,49560.80078125,26756.900390625,4956.080078125,4965.864651403941,0.9103418435592115,4956.957344926749,0.9704779232178778,0.025531146704226904
525.1938049066035,64894.0,20888.900390625,32.447,131.65714577301756,0.0,131.65714577301756,49912.8984375,26993.150390625,4991.28984375,5009.710743692914,0.8741830914860514,4993.607504432863,0.9707953536799526,0.02559515245876851
525.6170351991616,64889.0,21086.80078125,32.4445,132.9044589436403,0.0,132.9044589436403,50347.25,27188.30078125,5034.725,5045.929080359888,0.8295772550590241,5036.634430129472,0.9711127763993712,0.02562529004458579
526.0402551628398,64895.0,21259.69921875,32.4475,133.9941914984511,0.0,133.9941914984511,50674.8515625,27395.94921875,5067.48515625,5084.466953605543,0.7959341351263922,5070.950561414467,0.971416102065136,0.025668582966521244
526.4634647923024,64893.0,21426.849609375,32.4465,135.04769565295456,0.0,135.04769565295456,51088.80078125,27608.30078125,5108.880078125,5123.8776888736165,0.7534235222155471,5112.578136158576,0.971585385916921,0.025664227324015812
526.8866640822129,64888.0,21704.849609375,32.444,136.79985521331733,0.0,136.79985521331733,51455.25,27859.150390625,5145.525,5170.43335077122,0.7157909330375711,5152.604179132261,0.9717546656328852,0.025799749590668483
527.3098530272356,64876.0,21863.849609375,32.438,137.80198963812913,0.0,137.80198963812913,51888.0,28017.80078125,5188.8,5199.877582174502,0.6713495694502212,5192.440652151101,0.9719239412108942,0.02579385338189818
527.7330316220365,64887.0,22097.650390625,32.4435,139.2755733578682,0.0,139.2755733578682,52165.05078125,28209.849609375,5216.505078125,5235.520293886492,0.6428977739523803,5223.295454002205,0.9720932126488145,0.02592019554345099
528.1561998612799,64893.0,22330.94921875,32.4465,140.74599340146764,0.0,140.74599340146764,52700.25,28416.80078125,5270.025,5273.928760262544,0.5879353636181587,5271.633601553107,0.9722468599583839,0.02595776954149187
528.5793577396331,64886.0,22514.44921875,32.443,141.90254476595172,0.0,141.90254476595172,53043.05078125,28641.80078125,5304.305078125,5315.686943394899,0.5527313563216621,5309.395829566798,0.9723738073218899,0.025988327514468175
529.0025052517612,64899.0,22747.25,32.4495,143.36982575345928,0.0,143.36982575345928,53413.55078125,28812.69921875,5341.355078125,5347.404313395602,0.5146827712052828,5344.290876222855,0.9725007515755284,0.0260890109703448
529.4256423923318,64896.0,23008.44921875,32.448,145.01609448832292,0.0,145.01609448832292,53891.19921875,29093.19921875,5389.119921875,5399.46284836727,0.46563055196122244,5394.646865795779,0.9726276927176996,0.026145672348527903
529.8487691560126,64898.0,23195.150390625,32.449,146.19282198196217,0.0,146.19282198196217,54273.25,29356.849609375,5427.325,5448.394231898984,0.42639575663282875,5439.410400821745,0.9727546307468038,0.026144330742797577
530.2718855374709,64896.0,23363.349609375,32.448,147.2529366192944,0.0,147.2529366192944,54603.5,29552.80078125,5460.35,5484.761187099676,0.39248065478482796,5475.180268402721,0.9727320286156322,0.026161266065323947
