sample_name,with_ag,source_mode,input_path,hdr_curve_path,fit_input_path
DEVICE-1-withAg-P1,True,hdr_csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/test_data/phase7_data/DEVICE-1-withAg-P1_hdr_curves.csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/test_data/phase7_data/DEVICE-1-withAg-P1_hdr_curves.csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/data/processed/phase07/fit_inputs/phase07_device_1_withag_p1_fit_input.csv
DEVICE-1-withoutAg-P1,False,hdr_csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/test_data/phase7_data/DEVICE-1-withoutAg-P1_hdr_curves.csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/test_data/phase7_data/DEVICE-1-withoutAg-P1_hdr_curves.csv,/Users/luxin/百度网盘同步/Code/TMM-interference-spectrum/data/processed/phase07/fit_inputs/phase07_device_1_withoutag_p1_fit_input.csv
