wavelength_nm,n,k,region,quality_flag
400,2.1620428852161067,0.23668430889044995,aligned_derived,medium_confidence
401,2.16070782225065,0.23598692794449957,aligned_derived,medium_confidence
402,2.1593796797738807,0.23530631525353904,aligned_derived,medium_confidence
403,2.158058591365711,0.2346422604385907,aligned_derived,medium_confidence
404,2.1567446852220034,0.23399455321284085,aligned_derived,medium_confidence
405,2.1554380842535092,0.23336298349237966,aligned_derived,medium_confidence
406,2.154138906223355,0.23274734149989318,aligned_derived,medium_confidence
407,2.1528472638607474,0.2321474178633818,aligned_derived,medium_confidence
408,2.1515632649512355,0.23156300371294936,aligned_derived,medium_confidence
409,2.15028701245404,0.23099389077069693,aligned_derived,medium_confidence
410,2.149018604625982,0.2304398714341254,aligned_derived,medium_confidence
411,2.147758135120756,0.229900738858214,aligned_derived,medium_confidence
412,2.146505693078865,0.22937628703588772,aligned_derived,medium_confidence
413,2.145261363252682,0.22886631086755424,aligned_derived,medium_confidence
414,2.144025226113139,0.2283706062290602,aligned_derived,medium_confidence
415,2.1427973579352955,0.2278889700411443,aligned_derived,medium_confidence
416,2.141577830901315,0.22742120033130264,aligned_derived,medium_confidence
417,2.1403667132144966,0.22696709628797995,aligned_derived,medium_confidence
418,2.1391640691920553,0.22652645831669146,aligned_derived,medium_confidence
419,2.1379699593458614,0.22609908809731658,aligned_derived,medium_confidence
420,2.1367844404932352,0.22568478862776215,aligned_derived,medium_confidence
421,2.135607565854743,0.2252833642676344,aligned_derived,medium_confidence
422,2.134439385133628,0.22489462078594327,aligned_derived,medium_confidence
423,2.1332799446046087,0.2245183654023732,aligned_derived,medium_confidence
424,2.1321292872165856,0.22415440681880386,aligned_derived,medium_confidence
425,2.1309874526772163,0.22380255525503234,aligned_derived,medium_confidence
426,2.129854477524969,0.223462622488183,aligned_derived,medium_confidence
427,2.1287303952250776,0.22313442187738583,aligned_derived,medium_confidence
428,2.1276152362576446,0.22281776838849518,aligned_derived,medium_confidence
429,2.126509028190044,0.22251247862457657,aligned_derived,medium_confidence
430,2.1254117957526235,0.22221837085229024,aligned_derived,medium_confidence
431,2.1243235609294246,0.22193526501618877,aligned_derived,medium_confidence
432,2.123244343033984,0.22166298275864446,aligned_derived,medium_confidence
433,2.122174158773125,0.2214013474453783,aligned_derived,medium_confidence
434,2.121113022328676,0.2211501841767081,aligned_derived,medium_confidence
435,2.120060945435659,0.22090931979764314,aligned_derived,medium_confidence
436,2.1190179374472224,0.22067858291493386,aligned_derived,medium_confidence
437,2.117984005398745,0.2204578039127488,aligned_derived,medium_confidence
438,2.1169591540866386,0.22024681495431706,aligned_derived,medium_confidence
439,2.1159433861352293,0.22004544998980036,aligned_derived,medium_confidence
440,2.1149367020529586,0.21985354477101737,aligned_derived,medium_confidence
441,2.1139391003009873,0.21967093685357414,aligned_derived,medium_confidence
442,2.1129505773616852,0.21949746559590919,aligned_derived,medium_confidence
443,2.111971127795958,0.2193329721659849,aligned_derived,medium_confidence
444,2.111000744297471,0.2191772995493082,aligned_derived,medium_confidence
445,2.1100394177599537,0.21903029254166934,aligned_derived,medium_confidence
446,2.1090871373354716,0.2188917977479334,aligned_derived,medium_confidence
447,2.108143890483655,0.2187616635884167,aligned_derived,medium_confidence
448,2.1072096630287183,0.218639740295111,aligned_derived,medium_confidence
449,2.106284439218597,0.21852587990260688,aligned_derived,medium_confidence
450,2.105368201775006,0.21841993624698142,aligned_derived,medium_confidence
451,2.1044609319391894,0.2183217649682836,aligned_derived,medium_confidence
452,2.1035626095286126,0.2182312234974359,aligned_derived,medium_confidence
453,2.1026732129871557,0.21814817104830747,aligned_derived,medium_confidence
454,2.101792719427953,0.21807246861768514,aligned_derived,medium_confidence
455,2.100921104680389,0.21800397897791823,aligned_derived,medium_confidence
456,2.1000583433405593,0.2179425666621321,aligned_derived,medium_confidence
457,2.0992044088144266,0.2178880979573877,aligned_derived,medium_confidence
458,2.0983592733564547,0.2178404409030875,aligned_derived,medium_confidence
459,2.097522908116671,0.21779946527447935,aligned_derived,medium_confidence
