Photon_Energy_eV,Epsilon1,Epsilon2
2.265451,6.671628,4.022278
2.258872,6.694671,3.992919
2.252331,6.698896,3.948349
2.245827,6.740249,3.93105
2.239362,6.749152,3.89864
2.232934,6.765622,3.866046
2.226542,6.761836,3.82384
2.220187,6.799192,3.804339
2.213869,6.807108,3.775333
2.207587,6.809591,3.729551
2.20134,6.852581,3.708272
2.195129,6.851702,3.671606
2.188952,6.866813,3.642328
2.182811,6.882904,3.609003
2.176704,6.890633,3.581161
2.170631,6.895963,3.535364
2.164593,6.918423,3.510353
2.158587,6.933095,3.486656
2.152616,6.942579,3.444952
2.146677,6.965693,3.412861
2.140771,6.961816,3.380944
2.134898,6.967906,3.346786
2.129057,6.989728,3.318882
2.123248,6.992068,3.288582
2.117471,6.997297,3.254302
2.111725,7.012024,3.222975
2.106011,7.001927,3.179898
2.100327,7.004608,3.144355
2.094674,7.013931,3.118814
2.089052,7.018241,3.088186
2.08346,6.995053,3.04
2.077898,7.01193,3.016541
2.072366,6.989662,2.974929
2.066863,6.992772,2.948442
2.061389,6.986113,2.91852
2.055945,6.982106,2.890336
2.050529,6.976476,2.853844
2.045143,6.961901,2.813072
2.039784,6.944338,2.80018
2.034454,6.930977,2.767423
2.029151,6.923659,2.75718
2.023876,6.907274,2.723278
2.018629,6.895346,2.713971
2.013409,6.89135,2.696876
2.008216,6.858286,2.668592
2.00305,6.84725,2.655023
1.997911,6.823905,2.638121
1.992798,6.813781,2.634299
1.987711,6.799022,2.623025
1.982651,6.772767,2.612675
1.977616,6.761374,2.615743
1.972607,6.732845,2.602793
1.967623,6.7273,2.594856
1.962664,6.706247,2.599422
1.957731,6.700683,2.615258
1.952823,6.679386,2.618915
1.947939,6.661844,2.623884
1.94308,6.676899,2.63767
1.938245,6.649017,2.643313
1.933434,6.638925,2.650521
1.928647,6.625488,2.668073
1.923884,6.633745,2.694042
1.919145,6.644043,2.712833
1.914429,6.646502,2.729333
1.909737,6.632246,2.734714
1.905067,6.667027,2.767236
1.90042,6.674558,2.77387
1.895796,6.696175,2.798262
1.891195,6.731243,2.820599
1.886616,6.732815,2.833825
1.88206,6.771833,2.852087
1.877525,6.778941,2.867557
1.873013,6.808336,2.857759
1.868522,6.849973,2.886236
1.864053,6.876372,2.895763
1.859605,6.914329,2.891036
1.855179,6.976581,2.910673
1.850774,6.991181,2.900899
1.84639,7.042747,2.913161
1.842026,7.102146,2.916445
1.837684,7.130738,2.900904
1.833362,7.159325,2.900577
1.829061,7.216362,2.88849
1.824779,7.275298,2.887445
1.820518,7.320468,2.851296
1.816277,7.369112,2.847049
1.812056,7.412152,2.810424
1.807855,7.437812,2.781252
1.803673,7.502579,2.767903
1.79951,7.572622,2.738134
1.795367,7.591892,2.699064
1.791243,7.655922,2.671839
1.787138,7.711892,2.606519
1.783052,7.734938,2.542063
1.778985,7.780639,2.505434
1.774937,7.819786,2.441256
1.770907,7.868551,2.398549
1.766895,7.901424,2.319071
1.762902,7.961058,2.276699
1.758927,7.964544,2.186151
1.75497,8.049091,2.124488
1.75103,8.037279,2.013167
1.747109,8.043386,1.908458
1.743205,8.055112,1.805075
1.739319,7.98122,1.605294
1.73545,7.855644,1.54998
1.731599,7.750441,1.492514
1.727765,7.721577,1.446259
1.723948,7.651165,1.450798
1.720148,7.593897,1.444195
1.716365,7.554527,1.430292
1.712598,7.488984,1.448745
1.708848,7.48002,1.429844
1.705115,7.460585,1.411379
1.701398,7.43184,1.421452
1.697697,7.411337,1.398212
1.694013,7.392157,1.398346
1.690345,7.376486,1.395526
1.686693,7.372592,1.379914
1.683056,7.353154,1.383876
1.679436,7.33658,1.381077
1.675831,7.321014,1.372078
1.672242,7.317739,1.365194
1.668668,7.296625,1.367046
1.665109,7.284935,1.364081
1.661566,7.278747,1.358705
1.658038,7.277531,1.357136
1.654526,7.262338,1.353979
1.651028,7.261382,1.351504
1.647545,7.250872,1.345545
1.644077,7.25232,1.34349
1.640624,7.25084,1.336509
1.637185,7.257645,1.331529
1.633761,7.25937,1.33028
1.630351,7.260719,1.325986
1.626956,7.265532,1.326935
1.623574,7.27017,1.321087
1.620207,7.272919,1.317878
