Wavelength_nm,Absolute_Reflectance_Measured,Absolute_Reflectance_Fitted,Absolute_Reflectance_Physical,Residual,Normalized_Residual,Front_Scatter_Curve,Front_Physical_Reflectance,Rear_ZScore_Measured,Rear_ZScore_Fitted,window_label
500.2051278699528,0.0185488075079901,0.013859228491239023,0.08015342320928906,-0.0046895790167510755,-0.010901364110843989,0.23406774063638214,0.08069286431035792,,,front
500.6289581027754,0.0187730066653601,0.013922802867608247,0.08053655549284125,-0.0048502037977518515,-0.011274751405664994,0.23464372055785782,0.08116614666055233,,,front
501.05277832245406,0.0189392823380438,0.013986246747902331,0.08091251181342962,-0.004953035590141468,-0.01151379350454119,0.2352196378088444,0.08163111373474721,,,front
501.4765885236226,0.0189820997660225,0.014048051563176333,0.08125202978021696,-0.004934048202846169,-0.011469655550648031,0.23579549004309136,0.08205253060764323,,,front
501.9003887009168,0.0191601402991709,0.014109956346922622,0.08158931353595826,-0.0050501839522482765,-0.011739623939280753,0.23637127492532486,0.08247149438537167,,,front
502.324178848971,0.0193872695004215,0.014171727604493919,0.08191988823312592,-0.005215541895927583,-0.012124013912502144,0.23694699013122075,0.08288278449843407,,,front
502.7479589624216,0.019329315692594,0.014233523135596858,0.0822468704691465,-0.005095792556997141,-0.01184564539774834,0.23752263334738533,0.08329002280780631,,,front
503.1717290359048,0.0195785484754002,0.014295820218692808,0.08257941388782446,-0.005282728256707392,-0.012280194878752428,0.23809820227132883,0.0837038322083382,,,front
503.5954890640572,0.0197414377367554,0.014358810630313504,0.08292107275074541,-0.005382627106441896,-0.012512419078690272,0.23867369461144258,0.08412836483730664,,,front
504.019239041516,0.0198212844241216,0.014421945802623959,0.08326133953940869,-0.005399338621497642,-0.012551266555151548,0.239249108086975,0.08455148884194111,,,front
504.4429789629192,0.0199370488271995,0.014486243689303145,0.0836193737253443,-0.005450805137896354,-0.012670905275978087,0.23982444042800796,0.08499638412796971,,,front
504.86670882290514,0.0201014838078432,0.0145506403895454,0.0839749967317472,-0.005550843418297799,-0.012903453595514537,0.2403996893754325,0.08543867788680429,,,front
505.29042861611214,0.0201414178212744,0.01461582074777236,0.08434099321685463,-0.005525597073502041,-0.01284476611075239,0.24097485268092309,0.08589496271405622,,,front
505.714138337179,0.0202959298968002,0.01468142103097963,0.08471046296373726,-0.0056145088658205704,-0.013051449870285997,0.241549928106915,0.08635628382717991,,,front
506.1378379807463,0.0204263510174733,0.014747186354707821,0.08507864527222182,-0.005679164662765478,-0.013201748304720214,0.24212491342658024,0.08681674020691879,,,front
506.5615275414538,0.0205221706449989,0.014813182295276478,0.08544675465631649,-0.005708988349722423,-0.013271076248547188,0.24269980642380032,0.087278192852705,,,front
506.98520701394233,0.0207306690550155,0.014879283355315244,0.08581249059560868,-0.005851385699700255,-0.013602092178758143,0.24327460489314326,0.08773706523080088,,,front
507.4088763928525,0.0207666488555099,0.014944710644394992,0.08616171134881875,-0.005821938211114909,-0.013533638743157186,0.24384930663983784,0.08817601958571665,,,front
507.8325356728262,0.0209723617417487,0.015010205370286054,0.08650806176591073,-0.005962156371462645,-0.013859588943685495,0.24442390947974926,0.08861175201347293,,,front
508.2561848485058,0.0210204768899595,0.015074764645958218,0.08683350505035205,-0.005945712244001283,-0.013821363034643106,0.2449984112393544,0.08902033253527565,,,front
508.6798239145338,0.0211429681071728,0.01513872670990912,0.0871443947971072,-0.006004241397263681,-0.013957419514027224,0.2455728097557145,0.08941018980653023,,,front
509.103452865553,0.0211968332540524,0.01520213951806908,0.08744178533135638,-0.005994693735983318,-0.013935225084281513,0.24614710287645092,0.08978212061053818,,,front
509.52707169620766,0.0213262453376453,0.015263682340243539,0.08770239587799211,-0.006062562997401762,-0.014092993516802583,0.24672128845972158,0.09010410317230706,,,front
509.95068040114126,0.0213917645685301,0.01532525514364721,0.08796033310123823,-0.006066509424882889,-0.014102167355809268,0.24729536437419075,0.09042318682428098,,,front
510.3742789749982,0.0215967468752692,0.01538595960425446,0.08819981851273906,-0.006210787271014741,-0.014437554674840154,0.2478693284990075,0.09071657676274261,,,front
510.7978674124242,0.0217008633090297,0.015446557747022426,0.08843445502480578,-0.006254305562007272,-0.014538717003888597,0.24844317872377877,0.09100399148378899,,,front
511.22144570806415,0.0218176749454008,0.015508202065159685,0.08868440436709729,-0.006309472880241116,-0.014666958583983047,0.24901691294854175,0.09131268155836436,,,front
511.6450138565648,0.0218705286946886,0.015570818488073245,0.08894816565254751,-0.006299710206615353,-0.014644264337972984,0.2495905290837407,0.09164060634040377,,,front
512.0685718525717,0.0220425591981478,0.015633731193555538,0.08921386743832073,-0.006408828004592262,-0.014897918843520458,0.250164025050197,0.09197200122811294,,,front
512.492119690733,0.0221101462700308,0.0156980660464641,0.08950084268409038,-0.0064120802235667,-0.014905478930061682,0.2507373987790882,0.0923334344320841,,,front
512.9156573656956,0.0222109402172931,0.015762448340509237,0.08978525974775901,-0.006448491876783861,-0.014990121216326655,0.251310648211916,0.09269207884597563,,,front
513.3391848721076,0.0223822278066889,0.015825640668695323,0.09004606118500293,-0.0065565871379935775,-0.015241398739723688,0.251883771300484,0.09301977332665197,,,front
513.7627022046171,0.0224709652230691,0.015888553326828824,0.09029900785816253,-0.006582411896240276,-0.015301430800536864,0.25245676600686834,0.09333761893533656,,,front
514.186209357874,0.0224925541844143,0.01595049127649318,0.09053246571560818,-0.0065420629079211215,-0.015207635811349107,0.2530296303033949,0.09362980399751224,,,front
514.6097063265271,0.0225752264477988,0.016011159204442234,0.0907417316763337,-0.006564067243356564,-0.01525878694277094,0.2536023621726079,0.0938900070690024,,,front
515.0331931052264,0.0226961418736711,0.01607182583842207,0.09094836268446668,-0.006624316035249031,-0.015398840882647459,0.25417495960724606,0.09414744770278008,,,front
515.4566696886229,0.0227265653479049,0.016132549632067415,0.0911533659003488,-0.006594015715837485,-0.015328404962194843,0.25474742061021655,0.09440404785554862,,,front
515.880136071367,0.0229017754178027,0.016193265113397436,0.09135567528156201,-0.006708510304405266,-0.015594558319295833,0.25531974319456474,0.09465772941501029,,,front
516.3035922481106,0.0229333077784156,0.016254837937671143,0.09156961710745395,-0.006678469840744456,-0.015524726457788584,0.2558919253834507,0.09492863838067554,,,front
516.7270382135054,0.0230891984671751,0.016316755982375617,0.09178661584284264,-0.006772442484799482,-0.0157431746395216,0.2564639652101196,0.09520465370852563,,,front
517.150473962204,0.023100143082307,0.016378601097018417,0.09199978608911573,-0.006721541985288584,-0.015624851677778105,0.25703586071787676,0.09547611802880684,,,front
517.5738994888592,0.0232177097367145,0.016440307574144792,0.09220810625381005,-0.0067774021625697095,-0.015754703873393675,0.25760760996005816,0.09574163011725276,,,front
517.9973147881248,0.0233632921608529,0.01650201117684939,0.09241384051349542,-0.0068612809840035115,-0.01594968802236998,0.2581792110000052,0.09600430611830339,,,front
518.4207198546541,0.0233866713045714,0.016562644819185453,0.0925997920278627,-0.006824026485385947,-0.01586308646330757,0.2587506619110357,0.09623982191938973,,,front
518.8441146831024,0.0234066012908896,0.016623250679224714,0.09278297365213209,-0.006783350611664886,-0.015768531598494312,0.25932196077641867,0.09647230164557222,,,front
519.2674992681236,0.0234935891879178,0.016684119413771334,0.0929680721986764,-0.006809469774146468,-0.01582924802942872,0.2598931056893434,0.09670782551220748,,,front
519.6908736043739,0.0236122801307373,0.016745133878862273,0.09315319454123161,-0.006867146251875025,-0.015963322384952766,0.2604640947528959,0.09694394115600173,,,front
520.1142376865096,0.0236806222133463,0.016806463048678402,0.0933410195501148,-0.006874159164667899,-0.015979624555266907,0.26103492608002943,0.09718465980776382,,,front
520.5375915091861,0.0237926708467696,0.016868689215831425,0.09354070729755666,-0.006923981630938176,-0.0160954415281279,0.2616055977935349,0.09744273471433605,,,front
520.9609350670613,0.0238877975768904,0.016930906463213456,0.09373785524403898,-0.006956891113676943,-0.016171942692252302,0.2621761080260175,0.09769802067676496,,,front
521.3842683547922,0.0239736474417798,0.01699163732530469,0.09390936237329285,-0.006982010116475111,-0.01623033415865601,0.26274645491986487,0.09792091377878055,,,front
521.807591367037,0.0239062910760294,0.017052192587318996,0.0940759947701439,-0.006854098488710405,-0.015932991641706622,0.26331663662722216,0.09813801226990207,,,front
522.2309040984532,0.0240065852449634,0.01711049913878814,0.09420563705562347,-0.006896086106175262,-0.016030595777279617,0.2638866513099611,0.0983067107075685,,,front
522.6542065437014,0.0240669742462676,0.017166892594738047,0.09430395414705478,-0.006900081651529555,-0.01603988379536673,0.2644564971396579,0.09843454832031386,,,front
523.0774986974394,0.0241925671562321,0.01722295412372373,0.09439568167409268,-0.006969613032508367,-0.016201515979934328,0.2650261722975566,0.09855426147927784,,,front
523.5007805543278,0.024196878071823,0.017277780364075877,0.09446706399342611,-0.006919097707747124,-0.01608408839284542,0.265595674974549,0.09864761509858526,,,front
523.9240521090273,0.0243526531869847,0.0173325145768477,0.09453580551035373,-0.007020138610137002,-0.016318967400770403,0.2661650033711435,0.09873809641041681,,,front
524.3473133561988,0.024405835780566,0.01738903122089315,0.09463041713218906,-0.007016804559672851,-0.01631121708929387,0.26673415569743586,0.09886384123730603,,,front
524.7705642905038,0.024497364265005,0.01744588572074978,0.09472871826084633,-0.007051478544255221,-0.016391820002637694,0.2673031301730831,0.09899513580724886,,,front
525.1938049066035,0.0245919822674317,0.01750404245837762,0.09484518863113081,-0.007087939809054079,-0.016476577615654655,0.2678719250272729,0.09915093338508975,,,front
525.6170351991616,0.0245595778573333,0.017563774404059602,0.09498369203595296,-0.006995803453273698,-0.016262398057399968,0.26844053849869987,0.09933629790117902,,,front
526.0402551628398,0.0246695920355636,0.017623637404978302,0.09512238090088386,-0.007045954630585299,-0.01637897914975568,0.2690089688355311,0.09952228710406012,,,front
526.4634647923024,0.0246886561668796,0.017685135306399764,0.09528361773333517,-0.007003520860479836,-0.01628033789072941,0.269577214295384,0.09973721390748257,,,front
526.8866640822129,0.0247805909435807,0.0177465990096464,0.0954423995810414,-0.007033991933934301,-0.01635117074489156,0.2701452731452934,0.0999494479915286,,,front
527.3098530272356,0.0248505480796042,0.01780662487851565,0.09557805766011933,-0.007043923201088549,-0.016374256902293705,0.2707131436616854,0.10013136785415412,,,front
527.7330316220365,0.0249452121990016,0.01786608391783149,0.09570367310656776,-0.007079128281170112,-0.016456094396693453,0.27128082413035043,0.10030048426495676,,,front
528.1561998612799,0.0249444299939756,0.017923421072622042,0.09579663132595154,-0.007021008921353558,-0.01632099052042092,0.2718483128464097,0.10042770240782102,,,front
528.5793577396331,0.0249876017583872,0.017977136847193584,0.09583550415401368,-0.007010464911193615,-0.01629647998471368,0.27241560811429394,0.10048518897110219,,,front
529.0025052517612,0.0250339103378902,0.018030724742840024,0.09587163059997635,-0.007003185595050178,-0.016279558534947274,0.27298270824770726,0.10053964096342115,,,front
