case_id,family,anchor_id,reference_case_id,d_PVK_nm,d_BEMA_front_nm,d_BEMA_rear_nm,d_gap_front_nm,d_gap_rear_nm,front_mean_deltaR_500_650,front_rms_deltaR_500_650,transition_mean_deltaR_650_810,transition_rms_deltaR_650_810,rear_mean_deltaR_810_1055,rear_rms_deltaR_810_1055,front_to_rear_rms_ratio,transition_to_rear_rms_ratio,front_plus_transition_to_rear_ratio,rear_best_shift_nm,rear_shift_aligned_rms_residual,rear_unaligned_rms_residual,rear_shift_explained_fraction,rear_peak_nm,rear_valley_nm,rear_peak_valley_spacing_nm,rear_peak_valley_contrast_percent
D1_0070,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,0.5,0.0,-0.0006386838616202364,0.0007827545780905667,0.0003299132344206041,0.0004503172633401992,-0.00024293410096798643,0.0007825375185184048,1.0002773791249944,0.5754577290975066,1.5757351082225008,0.0,0.0007825375185184048,0.0007825375185184048,0.0,932.0,826.0,106.0,26.74756168379068
D1_0071,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,1.0,0.0,-0.0012646182415504796,0.0015505040545632071,0.0006617766756793764,0.0009059589902948385,-0.0004870446094944695,0.0015654764111469807,0.9904359104505421,0.578711364696366,1.569147275146908,-1.0,0.0015439443570496453,0.0015654764111469807,0.013754313986474864,932.0,826.0,106.0,26.6906239394157
D1_0072,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,2.0,0.0,-0.0024778021788298857,0.0030405482614190606,0.0013309419651475506,0.0018333497067479197,-0.000978649261087478,0.0031322383597509134,0.9707269729181325,0.5853161529168278,1.5560431258349603,-1.0,0.0018521506613358237,0.0031322383597509134,0.40868144483004376,933.0,826.0,107.0,26.5760699695598
D1_0073,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,3.0,0.0,-0.003638744937732804,0.0044693484296642145,0.0020066816240757544,0.002782394119172644,-0.0014745216831362929,0.0046996485955766686,0.9509963008448731,0.5920430139801189,1.543039314824992,-2.0,0.0030140527143079432,0.0046996485955766686,0.3586642377592265,933.0,826.0,107.0,26.45743526725405
D1_0074,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,5.0,0.0,-0.005801204419372149,0.007140836423266717,0.0033747177461641562,0.004745958369354925,-0.0024778942438687134,0.007833890354749165,0.9115313209531589,0.6058239462692718,1.5173552672224306,-3.0,0.004762883632931366,0.007833890354749165,0.3920155354173489,935.0,826.0,109.0,26.220771978945002
D1_0075,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,10.0,0.0,-0.010256626661716306,0.012721810348981273,0.006856718818321791,0.010034825473605787,-0.005040403216802638,0.015637391505159817,0.8135506708253419,0.6417199102736942,1.455270581099036,-5.0,0.009362973284334053,0.015637391505159817,0.40124455659726976,938.0,825.0,113.0,25.597545064671667
D1_0076,front_gap_on_background,anchor_02_pvk690,D1_0002,690.0,10.0,20.0,15.0,0.0,-0.013340940173794998,0.016755440603495087,0.010361025755015466,0.015838286463310838,-0.0076509966854850595,0.023336387221283554,0.717996339562517,0.6786948773658418,1.3966912169283587,-8.0,0.014063111800173724,0.023336387221283554,0.3973740807939756,941.0,825.0,116.0,24.937083785893567
D1_0003,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,952.0,846.0,106.0,26.9018632665284
D1_0084,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,0.5,0.0,-0.0006376666029087071,0.0007830176056722558,0.00017865272196637366,0.0006476164881906532,-0.000238018958002917,0.0008178340917210508,0.9574284241739945,0.7918678063759955,1.7492962305499902,0.0,0.0008178340917210508,0.0008178340917210508,0.0,952.0,846.0,106.0,26.8458233441513
D1_0085,front_gap_on_background,anchor_03_pvk710,D1_0003,710.0,10.0,20.0,1.0,0.0,-0.0012625933505531683,0.0015510388453921797,0.0003574456949158494,0.001302271297940014,-0.0004775816566987051,0.0016359526967003484,0.9480951671283426,0.7960323672968317,1.7441275344251743,0.0,0.0016359526967003484,0.0016359526967003484,0.0,952.0,846.0,106.0,26.787178754541507
