Wavelength_nm,Absolute_Reflectance,window_label,with_ag
500.2051278699528,0.0185488075079901,front,False
500.6289581027754,0.0187730066653601,front,False
501.05277832245406,0.0189392823380438,front,False
501.4765885236226,0.0189820997660225,front,False
501.9003887009168,0.0191601402991709,front,False
502.324178848971,0.0193872695004215,front,False
502.7479589624216,0.019329315692594,front,False
503.1717290359048,0.0195785484754002,front,False
503.5954890640572,0.0197414377367554,front,False
504.019239041516,0.0198212844241216,front,False
504.4429789629192,0.0199370488271995,front,False
504.86670882290514,0.0201014838078432,front,False
505.29042861611214,0.0201414178212744,front,False
505.714138337179,0.0202959298968002,front,False
506.1378379807463,0.0204263510174733,front,False
506.5615275414538,0.0205221706449989,front,False
506.98520701394233,0.0207306690550155,front,False
507.4088763928525,0.0207666488555099,front,False
507.8325356728262,0.0209723617417487,front,False
508.2561848485058,0.0210204768899595,front,False
508.6798239145338,0.0211429681071728,front,False
509.103452865553,0.0211968332540524,front,False
509.52707169620766,0.0213262453376453,front,False
509.95068040114126,0.0213917645685301,front,False
510.3742789749982,0.0215967468752692,front,False
510.7978674124242,0.0217008633090297,front,False
511.22144570806415,0.0218176749454008,front,False
511.6450138565648,0.0218705286946886,front,False
512.0685718525717,0.0220425591981478,front,False
512.492119690733,0.0221101462700308,front,False
512.9156573656956,0.0222109402172931,front,False
513.3391848721076,0.0223822278066889,front,False
513.7627022046171,0.0224709652230691,front,False
514.186209357874,0.0224925541844143,front,False
514.6097063265271,0.0225752264477988,front,False
515.0331931052264,0.0226961418736711,front,False
515.4566696886229,0.0227265653479049,front,False
515.880136071367,0.0229017754178027,front,False
516.3035922481106,0.0229333077784156,front,False
516.7270382135054,0.0230891984671751,front,False
517.150473962204,0.023100143082307,front,False
517.5738994888592,0.0232177097367145,front,False
517.9973147881248,0.0233632921608529,front,False
518.4207198546541,0.0233866713045714,front,False
518.8441146831024,0.0234066012908896,front,False
519.2674992681236,0.0234935891879178,front,False
519.6908736043739,0.0236122801307373,front,False
520.1142376865096,0.0236806222133463,front,False
520.5375915091861,0.0237926708467696,front,False
520.9609350670613,0.0238877975768904,front,False
521.3842683547922,0.0239736474417798,front,False
521.807591367037,0.0239062910760294,front,False
522.2309040984532,0.0240065852449634,front,False
522.6542065437014,0.0240669742462676,front,False
523.0774986974394,0.0241925671562321,front,False
523.5007805543278,0.024196878071823,front,False
523.9240521090273,0.0243526531869847,front,False
524.3473133561988,0.024405835780566,front,False
524.7705642905038,0.024497364265005,front,False
525.1938049066035,0.0245919822674317,front,False
525.6170351991616,0.0245595778573333,front,False
526.0402551628398,0.0246695920355636,front,False
526.4634647923024,0.0246886561668796,front,False
526.8866640822129,0.0247805909435807,front,False
527.3098530272356,0.0248505480796042,front,False
527.7330316220365,0.0249452121990016,front,False
528.1561998612799,0.0249444299939756,front,False
528.5793577396331,0.0249876017583872,front,False
529.0025052517612,0.0250339103378902,front,False
529.4256423923318,0.0251387306608677,front,False
529.8487691560126,0.0251624328266779,front,False
530.2718855374709,0.0252651891154452,front,False
530.6949915313766,0.0252925394734227,front,False
531.1180871323968,0.025279248551284,front,False
531.5411723352032,0.0253456195614588,front,False
531.9642471344634,0.0254043689980537,front,False
532.3873115248504,0.0254455685824949,front,False
532.8103655010332,0.0255244863467495,front,False
533.2334090576846,0.0254798220757191,front,False
533.6564421894765,0.0255113100906069,front,False
534.0794648910813,0.0255311505273291,front,False
534.5024771571718,0.0255528272605178,front,False
534.9254789824223,0.0255916267099236,front,False
535.3484703615062,0.0256520087488093,front,False
535.7714512890982,0.0256918795912291,front,False
536.1944217598741,0.025708461497513,front,False
536.6173817685088,0.0256977971313844,front,False
537.0403313096789,0.0257494673139404,front,False
537.4632703780611,0.0258571458234968,front,False
537.8861989683325,0.025837498610507,front,False
538.3091170751703,0.02590791283101,front,False
538.7320246932532,0.0258855923064378,front,False
539.15492181726,0.0258987945218647,front,False
539.5778084418696,0.0258841254021588,front,False
540.0006845617617,0.0259518691962548,front,False
540.4235501716169,0.0259618178442691,front,False
540.8464052661157,0.02599433978694,front,False
541.2692498399398,0.0260509186911041,front,False
541.6920838877705,0.0260651172200892,front,False
542.1149074042906,0.0261096040135126,front,False
542.5377203841829,0.0260913125675206,front,False
542.96052282213,0.0260860055256883,front,False
543.3833147128166,0.0260850346563172,front,False
543.8060960509267,0.0261143278627229,front,False
544.2288668311452,0.0261224979617683,front,False
544.6516270481582,0.0260908928740803,front,False
545.0743766966502,0.0261131809271842,front,False
545.497115771309,0.0261518014350643,front,False
545.919844266821,0.0261137010733862,front,False
546.3425621778741,0.0260754197965463,front,False
546.7652694991556,0.0261442299363302,front,False
547.1879662253544,0.0261609949202457,front,False
547.6106523511598,0.0260964861227147,front,False
548.0333278712616,0.0260989990497073,front,False
548.4559927803492,0.0261595831194125,front,False
548.8786470731135,0.0261202416504014,front,False
549.3012907442454,0.0261292988254211,front,False
549.7239237884368,0.026147035464407,front,False
550.1465462003798,0.0261308857143508,front,False
550.5691579747676,0.0261650977936858,front,False
550.9917591062928,0.0261807853596983,front,False
551.4143495896493,0.0261814907640175,front,False
551.8369294195315,0.026146388177593,front,False
552.2594985906343,0.0261145955086961,front,False
552.6820570976528,0.0260902435485823,front,False
553.1046049352823,0.0261043052400107,front,False
553.5271420982203,0.0260753407533023,front,False
553.9496685811631,0.0260596040734764,front,False
554.372184378808,0.0260484095406253,front,False
554.7946894858537,0.0260465444473084,front,False
555.2171838969977,0.0260159112185905,front,False
555.6396676069392,0.026034561217793,front,False
556.0621406103782,0.0259734009950869,front,False
556.4846029020141,0.0260055556623498,front,False
556.9070544765481,0.0259274885805125,front,False
557.329495328681,0.0259008940019653,front,False
557.7519254531144,0.0259591345429471,front,False
558.1743448445511,0.0259069508878852,front,False
558.5967534976924,0.0258697172646078,front,False
559.0191514072427,0.0257759772105945,front,False
559.4415385679058,0.0257496839185762,front,False
559.863914974385,0.0257777511243342,front,False
560.2862806213858,0.0257700496549621,front,False
560.7086355036138,0.0257588511385844,front,False
561.1309796157743,0.0257405561321146,front,False
561.5533129525737,0.0256247380988864,front,False
561.9756355087193,0.0256883828866763,front,False
562.3979472789182,0.0255937092229103,front,False
562.820248257879,0.0256343116661141,front,False
563.2425384403093,0.0255900095117566,front,False
563.664817820919,0.0254967249365837,front,False
564.0870863944172,0.0254719587078113,front,False
564.509344155514,0.0254861888679433,front,False
564.9315910989204,0.0254715486189892,front,False
565.3538272193476,0.0254218763520742,front,False
565.7760525115069,0.0253369181319925,front,False
566.198266970111,0.0253619659254437,front,False
566.620470589872,0.0252714837533191,front,False
567.0426633655044,0.0252524445933477,front,False
567.4648452917211,0.0252029763226195,front,False
567.8870163632369,0.025255705745818,front,False
568.3091765747665,0.0251380014782797,front,False
568.7313259210257,0.02506239075295,front,False
569.1534643967299,0.0251151572658992,front,False
569.5755919965967,0.0250601404035034,front,False
569.9977087153425,0.0250155585089837,front,False
570.4198145476845,0.0249428408581552,front,False
570.8419094883409,0.0249090708724303,front,False
571.2639935320317,0.0248619419988231,front,False
571.6860666734749,0.024812153893209,front,False
572.1081289073906,0.0247935510009312,front,False
572.5301802284994,0.0247149466677004,front,False
572.9522206315216,0.0247322119783885,front,False
573.3742501111792,0.0246458655816898,front,False
573.7962686621936,0.0246196873415587,front,False
574.2182762792878,0.0245553318858604,front,False
574.6402729571845,0.0245141024650578,front,False
575.0622586906068,0.0245158110658561,front,False
575.4842334742796,0.0244457763243897,front,False
575.9061973029272,0.0243716365643757,front,False
576.328150171275,0.0243775748070533,front,False
576.7500920740482,0.0243027176520335,front,False
577.1720230059739,0.0242166808401557,front,False
577.5939429617781,0.0241630863888303,front,False
578.015851936188,0.0241983975461346,front,False
578.4377499239322,0.0241461283933265,front,False
578.8596369197395,0.0240843008493123,front,False
579.2815129183376,0.0240817470680925,front,False
579.7033779144576,0.0240167350134385,front,False
580.1252319028277,0.023938399639404,front,False
580.5470748781803,0.0238721173311007,front,False
580.9689068352454,0.0238796887084718,front,False
581.3907277687553,0.0238016133951216,front,False
581.812537673442,0.0237666050745819,front,False
582.2343365440385,0.0236853553062257,front,False
582.6561243752776,0.0236875904169456,front,False
583.0779011618938,0.023666189345264,front,False
583.499666898622,0.0235990969367351,front,False
583.921421580196,0.0235650719321552,front,False
584.3431652013518,0.0235598835778302,front,False
584.7648977568264,0.0234616052985854,front,False
585.1866192413552,0.0234433457642811,front,False
585.608329649676,0.0234097912413461,front,False
586.0300289765262,0.0233737062606167,front,False
586.4517172166445,0.023299835975341,front,False
586.8733943647695,0.0232988042596726,front,False
587.2950604156404,0.0231985712428303,front,False
587.7167153639979,0.0232138944440455,front,False
588.1383592045818,0.0231029555743842,front,False
588.5599919321332,0.0230635388540042,front,False
588.9816135413942,0.023048759793901,front,False
589.4032240271061,0.023010474749923,front,False
589.8248233840126,0.0229297371922324,front,False
590.2464116068564,0.0228597530071751,front,False
590.6679886903812,0.0227968270854725,front,False
591.0895546293314,0.0228024554018785,front,False
591.5111094184521,0.0227752342654461,front,False
591.9326530524892,0.0227525042276216,front,False
592.3541855261877,0.0227356236367207,front,False
592.7757068342949,0.0226933435469118,front,False
593.1972169715581,0.0226337480140436,front,False
593.6187159327243,0.022557142412047,front,False
594.0402037125427,0.0225514148823616,front,False
594.4616803057606,0.0225168628111949,front,False
594.883145707129,0.0224420490780663,front,False
595.3045999113968,0.0224314722007579,front,False
595.726042913315,0.0224139536112869,front,False
596.1474747076344,0.0224173184090288,front,False
596.5688952891071,0.0223414136705454,front,False
596.990304652484,0.0223020556586724,front,False
597.4117027925188,0.0223171313602442,front,False
597.8330897039647,0.0222560671728997,front,False
598.2544653815753,0.0222002369620146,front,False
598.6758298201047,0.0221312311608699,front,False
599.0971830143083,0.0220460770168179,front,False
599.5185249589417,0.0220081903129932,front,False
599.9398556487611,0.0220096576602615,front,False
600.3611750785226,0.0219559981480393,front,False
600.7824832429833,0.0219184406704563,front,False
601.2037801369014,0.021885224876487,front,False
601.6250657550347,0.0218291877148584,front,False
602.0463400921426,0.0218341517610934,front,False
602.4676031429846,0.0217793789623354,front,False
602.8888549023205,0.0217617814186583,front,False
603.3100953649101,0.0216623948831884,front,False
603.7313245255159,0.0216232271251532,front,False
604.1525423788987,0.02161714667471,front,False
604.5737489198209,0.0215511538737357,front,False
604.9949441430452,0.0215813518676024,front,False
