Wavelength_nm,Absolute_Reflectance,window_label,with_ag
500.2051278699528,0.0193940349168289,front,True
500.6289581027754,0.0195190284868637,front,True
501.05277832245406,0.0196657069618714,front,True
501.4765885236226,0.0197965461430384,front,True
501.9003887009168,0.0199652977728842,front,True
502.324178848971,0.0201727609902621,front,True
502.7479589624216,0.0201509382646469,front,True
503.1717290359048,0.0204631124823426,front,True
503.5954890640572,0.0205817152583841,front,True
504.019239041516,0.0206184138662117,front,True
504.4429789629192,0.0207587354800512,front,True
504.86670882290514,0.0209569909455305,front,True
505.29042861611214,0.0209764612641399,front,True
505.714138337179,0.0211679669986872,front,True
506.1378379807463,0.0212566740175058,front,True
506.5615275414538,0.0215065813929272,front,True
506.98520701394233,0.0215650540265089,front,True
507.4088763928525,0.0216650209341447,front,True
507.8325356728262,0.0218378265357762,front,True
508.2561848485058,0.0218991343936994,front,True
508.6798239145338,0.0220990922015952,front,True
509.103452865553,0.0221212859693517,front,True
509.52707169620766,0.0222052490278914,front,True
509.95068040114126,0.0223714589674952,front,True
510.3742789749982,0.0224428721526856,front,True
510.7978674124242,0.0226256787960051,front,True
511.22144570806415,0.0227323577747268,front,True
511.6450138565648,0.0227994563365095,front,True
512.0685718525717,0.0229359058037704,front,True
512.492119690733,0.0230647671849353,front,True
512.9156573656956,0.0231245354746873,front,True
513.3391848721076,0.0232296212591286,front,True
513.7627022046171,0.0234034073511242,front,True
514.186209357874,0.0234421587239858,front,True
514.6097063265271,0.0235091218434211,front,True
515.0331931052264,0.0235839461183799,front,True
515.4566696886229,0.0236446929924114,front,True
515.880136071367,0.023799638849812,front,True
516.3035922481106,0.0239380634058403,front,True
516.7270382135054,0.0240306362362071,front,True
517.150473962204,0.0240675487210048,front,True
517.5738994888592,0.0242006500922049,front,True
517.9973147881248,0.0242706531087217,front,True
518.4207198546541,0.0243873996973956,front,True
518.8441146831024,0.0243706945424733,front,True
519.2674992681236,0.0244615318139444,front,True
519.6908736043739,0.0246635968240893,front,True
520.1142376865096,0.0247030646484844,front,True
520.5375915091861,0.0247246135556599,front,True
520.9609350670613,0.0248677794410529,front,True
521.3842683547922,0.0249493435442697,front,True
521.807591367037,0.0249569246215869,front,True
522.2309040984532,0.0249971347666388,front,True
522.6542065437014,0.024963349485401,front,True
523.0774986974394,0.0251600764125763,front,True
523.5007805543278,0.0252693612862289,front,True
523.9240521090273,0.0253720974403628,front,True
524.3473133561988,0.0254150095262367,front,True
524.7705642905038,0.0254734514863237,front,True
525.1938049066035,0.0255876685565047,front,True
525.6170351991616,0.0256260586509778,front,True
526.0402551628398,0.0256866526808697,front,True
526.4634647923024,0.0257246921853953,front,True
526.8866640822129,0.0257945692720223,front,True
527.3098530272356,0.0258246443943234,front,True
527.7330316220365,0.0259396342513386,front,True
528.1561998612799,0.0259478954451038,front,True
528.5793577396331,0.0260278660440191,front,True
529.0025052517612,0.0261163101961083,front,True
529.4256423923318,0.0261160398922367,front,True
529.8487691560126,0.0261473059234333,front,True
530.2718855374709,0.0261983959365217,front,True
530.6949915313766,0.0263069205676412,front,True
531.1180871323968,0.0262728915212629,front,True
531.5411723352032,0.0263465207145544,front,True
531.9642471344634,0.026408651995997,front,True
532.3873115248504,0.0264574829141046,front,True
532.8103655010332,0.02642802259899,front,True
533.2334090576846,0.0265190809538265,front,True
533.6564421894765,0.026507851528156,front,True
534.0794648910813,0.0265914669949056,front,True
534.5024771571718,0.0265333366161963,front,True
534.9254789824223,0.026602083609465,front,True
535.3484703615062,0.0266359014829496,front,True
535.7714512890982,0.0267292607549124,front,True
536.1944217598741,0.0267337870720768,front,True
536.6173817685088,0.02674705895003,front,True
537.0403313096789,0.0267674346149436,front,True
537.4632703780611,0.0268481304651988,front,True
537.8861989683325,0.0269100319074786,front,True
538.3091170751703,0.026878716224872,front,True
538.7320246932532,0.0268427243583697,front,True
539.15492181726,0.0268957782288746,front,True
539.5778084418696,0.0269407737289759,front,True
540.0006845617617,0.0269032669484265,front,True
540.4235501716169,0.0269555135356092,front,True
540.8464052661157,0.0269488733424112,front,True
541.2692498399398,0.0270637369888452,front,True
541.6920838877705,0.027099668883193,front,True
542.1149074042906,0.0270798804027907,front,True
542.5377203841829,0.0270777640314088,front,True
542.96052282213,0.0271258193001865,front,True
