wavelength_nm,reference_intensity_raw,sample_intensity_raw,reference_intensity_processed,sample_intensity_processed,reference_reflectance,sample_reference_ratio,calculated_reflectance,valid_mask,mask_reason
400.21336269574215,0.4000000059604644,3.180000066757202,0.02000000029802322,0.1590000033378601,1.0,7.950000048428774,7.950000048428774,True,ok
400.6407517816078,-1.600000023841858,1.7000000476837158,-0.0800000011920929,0.08500000238418579,1.0,,,False,reference_nonpositive
401.0681356382816,18.5,21.899999618530277,0.925,1.0949999809265138,1.0,1.1837837631637986,1.1837837631637986,True,ok
401.49551426003313,3.5,5.940000057220459,0.175,0.29700000286102296,1.0,1.69714287349156,1.69714287349156,True,ok
401.9228876411324,-2.0,-0.3199999928474426,-0.1,-0.015999999642372132,1.0,,,False,reference_nonpositive
402.35025577584906,2.0999999046325684,2.180000066757202,0.10499999523162842,0.10900000333786011,1.0,1.0380953170274696,1.0380953170274696,True,ok
402.777618658454,3.650000095367432,6.179999828338623,0.1825000047683716,0.30899999141693113,1.0,1.693150593662246,1.693150593662246,True,ok
403.204976283217,6.650000095367432,8.0,0.3325000047683716,0.4,1.0,1.2030075015447015,1.2030075015447015,True,ok
403.63232864440863,9.300000190734863,9.5,0.46500000953674314,0.475,1.0,1.0215053553939049,1.0215053553939049,True,ok
404.0596757363001,4.300000190734863,7.019999980926514,0.21500000953674317,0.3509999990463257,1.0,1.632558062683901,1.632558062683901,True,ok
404.4870175531606,4.199999809265137,6.079999923706056,0.20999999046325685,0.30399999618530277,1.0,1.4476190951946393,1.4476190951946393,True,ok
404.9143540892625,13.800000190734863,14.9399995803833,0.6900000095367431,0.746999979019165,1.0,1.0826086502820353,1.0826086502820353,True,ok
405.34168533887566,15.300000190734863,19.1200008392334,0.7650000095367432,0.9560000419616699,1.0,1.2496732418873948,1.2496732418873948,True,ok
405.7690112962718,6.300000190734863,10.100000381469728,0.3150000095367432,0.5050000190734865,1.0,1.603174615188641,1.603174615188641,True,ok
406.1963319557221,9.699999809265137,7.179999828338623,0.4849999904632568,0.3589999914169312,1.0,0.7402061824249225,0.7402061824249225,True,ok
406.6236473114972,13.100000381469728,16.399999618530273,0.6550000190734864,0.8199999809265137,1.0,1.251908331371385,1.251908331371385,True,ok
407.050957357869,4.099999904632568,4.139999866485596,0.20499999523162843,0.2069999933242798,1.0,1.009756088483766,1.009756088483766,True,ok
407.4782620891088,9.75,8.239999771118164,0.4875,0.4119999885559082,1.0,0.8451281816531451,0.8451281816531451,True,ok
407.9055614994885,9.600000381469727,15.340000152587892,0.48000001907348633,0.7670000076293946,1.0,1.597916619065737,1.597916619065737,True,ok
408.33285558327935,12.149999618530272,8.460000038146973,0.6074999809265136,0.42300000190734866,1.0,0.6962963212973614,0.6962963212973614,True,ok
408.7601443347542,2.5,3.559999942779541,0.125,0.17799999713897705,1.0,1.4239999771118164,1.4239999771118164,True,ok
409.1874277481842,7.949999809265136,11.920000076293944,0.3974999904632568,0.5960000038146972,1.0,1.4993711147517346,1.4993711147517346,True,ok
409.61470581784215,14.399999618530272,14.579999923706056,0.7199999809265136,0.7289999961853029,1.0,1.0125000215239004,1.0125000215239004,True,ok
410.0419785380004,10.350000381469728,11.81999969482422,0.5175000190734864,0.5909999847412111,1.0,1.1420289139299287,1.1420289139299287,True,ok
410.46924590293,17.0,18.100000381469727,0.85,0.9050000190734864,1.0,1.0647059047923368,1.0647059047923368,True,ok
410.89650790690513,1.149999976158142,-0.3799999952316284,0.057499998807907106,-0.01899999976158142,1.0,-0.3304347853128762,-0.3304347853128762,False,sample_nonpositive
411.3237645441979,10.649999618530272,10.739999771118164,0.5324999809265136,0.5369999885559082,1.0,1.008450718855548,1.008450718855548,True,ok
411.75101580908114,5.449999809265137,9.819999694824217,0.27249999046325685,0.49099998474121087,1.0,1.8018348694489807,1.8018348694489807,True,ok
412.17826169582753,11.399999618530272,14.5,0.5699999809265136,0.725,1.0,1.2719298671230475,1.2719298671230475,True,ok
412.6055021987102,5.0,4.840000152587891,0.25,0.24200000762939453,1.0,0.9680000305175781,0.9680000305175781,True,ok
413.0327373120023,6.949999809265137,7.619999885559082,0.34749999046325686,0.3809999942779541,1.0,1.0964028913210557,1.0964028913210557,True,ok
413.4599670299771,11.649999618530272,15.520000457763672,0.5824999809265136,0.7760000228881836,1.0,1.3321889241161733,1.3321889241161733,True,ok
413.8871913469087,7.349999904632568,10.199999809265137,0.3674999952316284,0.5099999904632568,1.0,1.3877550940968404,1.3877550940968404,True,ok
414.31441025706965,15.399999618530272,16.280000686645508,0.7699999809265136,0.8140000343322754,1.0,1.0571429279164632,1.0571429279164632,True,ok
414.7416237547343,3.75,2.2799999713897705,0.1875,0.11399999856948853,1.0,0.6079999923706055,0.6079999923706055,True,ok
415.1688318341764,11.649999618530272,11.579999923706056,0.5824999809265136,0.5789999961853028,1.0,0.9939914423076139,0.9939914423076139,True,ok
